alias,name
UK,United Kingdom
Myanmar,Burma
Congo,Congo (Kinshasa)
Republic of the Congo,Congo (Kinshasa)
Côte d'Ivoire,Cote d'Ivoire
Ivory Coast,Cote d'Ivoire
Republic of Moldova,Moldova
Curacao,"Curacao, Netherlands"
Curaçao,"Curacao, Netherlands"
Czech Republic (Czechia),Czechia
Czech Republic,Czechia
Faroe Islands,"Faroe Islands, Denmark"
Faeroe Islands,"Faroe Islands, Denmark"
French Guiana,"French Guiana, France"
Martinique,"Martinique, France"
Reunion,"Reunion, France"
Réunion,"Reunion, France"
Saint Kitts & Nevis,Saint Kitts and Nevis
St. Vincent & Grenadines,Saint Vincent and the Grenadines
South Korea,"Korea, South"
Republic of Korea,"Korea, South"
Saint Barthelemy,"Saint Barthelemy, France"
Turks and Caicos Islands,"Turks and Caicos Islands, United Kingdom"
Turks and Caicos,"Turks and Caicos Islands, United Kingdom"
Gibraltar,"Gibraltar, United Kingdom"
US,United States
U.S. Virgin Islands,"Virgin Islands, US"
"Virgin Islands, U.S., US","Virgin Islands, US"
Abruzzo,"Abruzzo, Italy"
Basilicata,"Basilicata, Italy"
Calabria,"Calabria, Italy"
Campania,"Campania, Italy"
Emilia-Romagna,"Emilia-Romagna, Italy"
Friuli Venezia Giulia,"Friuli Venezia Giulia, Italy"
Friuli-Venezia Giulia,"Friuli Venezia Giulia, Italy"
Lazio,"Lazio, Italy"
Liguria,"Liguria, Italy"
Lombardia,"Lombardia, Italy"
Marche,"Marche, Italy"
Molise,"Molise, Italy"
P.A. Bolzano,"P.A. Bolzano, Italy"
Provincia autonoma di Bolzano,"P.A. Bolzano, Italy"
P.A. Trento,"P.A. Trento, Italy"
Provincia autonoma di Trento,"P.A. Trento, Italy"
Piemonte,"Piemonte, Italy"
Puglia,"Puglia, Italy"
Sardegna,"Sardegna, Italy"
Sicilia,"Sicilia, Italy"
Toscana,"Toscana, Italy"
Umbria,"Umbria, Italy"
Valle d'Aosta,"Valle d'Aosta, Italy"
Veneto,"Veneto, Italy"
Baden-Wurttemberg,"Baden-Wurttemberg, Germany"
Bayern,"Bayern, Germany"
Bavaria,"Bayern, Germany"
"Bavaria, Germany","Bayern, Germany"
Berlin,"Berlin, Germany"
Brandenburg,"Brandenburg, Germany"
Bremen,"Bremen, Germany"
Hamburg,"Hamburg, Germany"
Hessen,"Hessen, Germany"
Hesse,"Hessen, Germany"
Mecklenburg-Vorpommern,"Mecklenburg-Vorpommern, Germany"
Niedersachsen,"Niedersachsen, Germany"
Lower Saxony,"Niedersachsen, Germany"
Nordrhein-Westfalen,"Nordrhein-Westfalen, Germany"
North Rhine-Westphalia,"Nordrhein-Westfalen, Germany"
Rheinland-Pfalz,"Rheinland-Pfalz, Germany"
Rhineland-Palatinate,"Rheinland-Pfalz, Germany"
Saarland,"Saarland, Germany"
Sachsen,"Sachsen, Germany"
Saxony,"Sachsen, Germany"
Sachsen-Anhalt,"Sachsen-Anhalt, Germany"
Saxony-Anhalt,"Sachsen-Anhalt, Germany"
Schleswig-Holstein,"Schleswig-Holstein, Germany"
Thuringen,"Thuringen, Germany"
Thuringia,"Thuringen, Germany"
Andalusia,"Andalusia, Spain"
Andalucia,"Andalusia, Spain"
Aragon,"Aragon, Spain"
Asturias,"Asturias, Spain"
Baleares,"Baleares, Spain"
Balearic Islands,"Baleares, Spain"
Canarias,"Canarias, Spain"
Canary Islands,"Canarias, Spain"
Cantabria,"Cantabria, Spain"
Castilla - La Mancha,"Castilla - La Mancha, Spain"
Castilla-La Mancha,"Castilla - La Mancha, Spain"
Castilla y Leon,"Castilla y Leon, Spain"
Castile and Leon,"Castilla y Leon, Spain"
Catalonia,"Catalonia, Spain"
Ceuta,"Ceuta, Spain"
C. Valenciana,"C. Valenciana, Spain"
Extremadura,"Extremadura, Spain"
Galicia,"Galicia, Spain"
Madrid,"Madrid, Spain"
Community of Madrid,"Madrid, Spain"
Melilla,"Melilla, Spain"
Murcia,"Murcia, Spain"
Navarra,"Navarra, Spain"
Navarre,"Navarra, Spain"
Pais Vasco,"Pais Vasco, Spain"
Basque Country,"Pais Vasco, Spain"
La Rioja,"La Rioja, Spain"
Alberta,"Alberta, Canada"
British Columbia,"British Columbia, Canada"
Manitoba,"Manitoba, Canada"
New Brunswick,"New Brunswick, Canada"
Newfoundland and Labrador,"Newfoundland and Labrador, Canada"
Northwest Territories,"Northwest Territories,Canada"
Nova Scotia,"Nova Scotia, Canada"
Ontario,"Ontario, Canada"
Prince Edward Island,"Prince Edward Island, Canada"
Quebec,"Quebec, Canada"
Saskatchewan,"Saskatchewan, Canada"
Yukon,"Yukon, Canada"
Acre,"Acre, Brazil"
Alagoas,"Alagoas, Brazil"
Amapa,"Amapa, Brazil"
Amazonas,"Amazonas, Brazil"
Bahia,"Bahia, Brazil"
Ceara,"Ceara, Brazil"
Distrito Federal,"Distrito Federal, Brazil"
Espirito Santo,"Espirito Santo, Brazil"
Goias,"Goias, Brazil"
Maranhao,"Maranhao, Brazil"
Mato Grosso,"Mato Grosso, Brazil"
Mato Grosso do Sul,"Mato Grosso do Sul, Brazil"
Minas Gerais,"Minas Gerais, Brazil"
Para,"Para, Brazil"
Paraiba,"Paraiba, Brazil"
Parana,"Parana, Brazil"
Pernambuco,"Pernambuco, Brazil"
Piaui,"Piaui, Brazil"
Rio de Janeiro,"Rio de Janeiro, Brazil"
