state_name,state_abbr,long_name,fips,sumlev,region,division,state,region_name,division_name,fema_region
Alabama,AL,Alabama AL,1,40,3,6,1,South,East South Central,4
Alaska,AK,Alaska AK,2,40,4,9,2,West,Pacific,10
Arizona,AZ,Arizona AZ,4,40,4,8,4,West,Mountain,9
Arkansas,AR,Arkansas AR,5,40,3,7,5,South,West South Central,6
California,CA,California CA,6,40,4,9,6,West,Pacific,9
Colorado,CO,Colorado CO,8,40,4,8,8,West,Mountain,8
Connecticut,CT,Connecticut CT,9,40,1,1,9,Northeast,New England,1
Delaware,DE,Delaware DE,10,40,3,5,10,South,South Atlantic,3
District of Columbia,DC,District of Columbia DC,11,0,3,5,11,South,South Atlantic,3
Florida,FL,Florida FL,12,40,3,5,12,South,South Atlantic,4
Georgia,GA,Georgia GA,13,40,3,5,13,South,South Atlantic,4
Hawaii,HI,Hawaii HI,15,40,4,9,15,West,Pacific,9
Idaho,ID,Idaho ID,16,40,4,8,16,West,Mountain,10
Illinois,IL,Illinois IL,17,40,2,3,17,Midwest,East North Central,5
Indiana,IN,Indiana IN,18,40,2,3,18,Midwest,East North Central,5
Iowa,IA,Iowa IA,19,40,2,4,19,Midwest,West North Central,7
Kansas,KS,Kansas KS,20,40,2,4,20,Midwest,West North Central,7
Kentucky,KY,Kentucky KY,21,40,3,6,21,South,East South Central,4
Louisiana,LA,Louisiana LA,22,40,3,7,22,South,West South Central,6
Maine,ME,Maine ME,23,40,1,1,23,Northeast,New England,1
Maryland,MD,Maryland MD,24,40,3,5,24,South,South Atlantic,3
Massachusetts,MA,Massachusetts MA,25,40,1,1,25,Northeast,New England,1
Michigan,MI,Michigan MI,26,40,2,3,26,Midwest,East North Central,5
Minnesota,MN,Minnesota MN,27,40,2,4,27,Midwest,West North Central,5
Mississippi,MS,Mississippi MS,28,40,3,6,28,South,East South Central,4
Missouri,MO,Missouri MO,29,40,2,4,29,Midwest,West North Central,7
Montana,MT,Montana MT,30,40,4,8,30,West,Mountain,8
Nebraska,NE,Nebraska NE,31,40,2,4,31,Midwest,West North Central,7
Nevada,NV,Nevada NV,32,40,4,8,32,West,Mountain,9
New Hampshire,NH,New Hampshire NH,33,40,1,1,33,Northeast,New England,1
New Jersey,NJ,New Jersey NJ,34,40,1,2,34,Northeast,Middle Atlantic,2
New Mexico,NM,New Mexico NM,35,40,4,8,35,West,Mountain,6
New York,NY,New York NY,36,40,1,2,36,Northeast,Middle Atlantic,2
North Carolina,NC,North Carolina NC,37,40,3,5,37,South,South Atlantic,4
North Dakota,ND,North Dakota ND,38,40,2,4,38,Midwest,West North Central,8
Ohio,OH,Ohio OH,39,40,2,3,39,Midwest,East North Central,5
Oklahoma,OK,Oklahoma OK,40,40,3,7,40,South,West South Central,6
Oregon,OR,Oregon OR,41,40,4,9,41,West,Pacific,10
Pennsylvania,PA,Pennsylvania PA,42,40,1,2,42,Northeast,Middle Atlantic,3
Rhode Island,RI,Rhode Island RI,44,40,1,1,44,Northeast,New England,1
South Carolina,SC,South Carolina SC,45,40,3,5,45,South,South Atlantic,4
South Dakota,SD,South Dakota SD,46,40,2,4,46,Midwest,West North Central,8
Tennessee,TN,Tennessee TN,47,40,3,6,47,South,East South Central,4
Texas,TX,Texas TX,48,40,3,7,48,South,West South Central,6
Utah,UT,Utah UT,49,40,4,8,49,West,Mountain,8
Vermont,VT,Vermont VT,50,40,1,1,50,Northeast,New England,1
Virginia,VA,Virginia VA,51,40,3,5,51,South,South Atlantic,3
Washington,WA,Washington WA,53,40,4,9,53,West,Pacific,10
West Virginia,WV,West Virginia WV,54,40,3,5,54,South,South Atlantic,3
Wisconsin,WI,Wisconsin WI,55,40,2,3,55,Midwest,East North Central,5
Wyoming,WY,Wyoming WY,56,40,4,8,56,West,Mountain,8
American Samoa,AS,American Samoa AS,60,0,0,0,0,,,9
Federated States of Micronesia,FM,Federated States of Micronesia FM,64,0,0,0,0,,,
Guam,GU,Guam GU,66,0,0,0,0,,,9
Marshall Islands,MH,Marshall Islands MH,68,0,0,0,0,,,
Northern Mariana Islands,MP,Northern Mariana Islands MP,69,0,0,0,0,,,9
Palau,PW,Palau PW,70,0,0,0,0,,,
Puerto Rico,PR,Puerto Rico PR,72,0,0,0,0,,,2
Minor Outlying Islands,UM,Minor Outlying Islands UM,74,0,0,0,0,,,
Virgin Islands,VI,Virgin Islands VI,78,0,0,0,0,,,2
