CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,CBSA Type,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,FIPS Combined,Central/Outlying County
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,013,46013,Central
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds County,South Dakota,46,045,46045,Outlying
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,027,53027,Central
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Callahan County,Texas,48,059,48059,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Jones County,Texas,48,253,48253,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Taylor County,Texas,48,441,48441,Central
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,40123,Central
10300,,220,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091,26091,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguada Municipio,Puerto Rico,72,003,72003,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguadilla Municipio,Puerto Rico,72,005,72005,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Añasco Municipio,Puerto Rico,72,011,72011,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Isabela Municipio,Puerto Rico,72,071,72071,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Lares Municipio,Puerto Rico,72,081,72081,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Moca Municipio,Puerto Rico,72,099,72099,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Rincón Municipio,Puerto Rico,72,117,72117,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,San Sebastián Municipio,Puerto Rico,72,131,72131,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Utuado Municipio,Puerto Rico,72,141,72141,Central
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,39133,Central
10420,,184,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153,39153,Central
10460,,,"Alamogordo, NM",Micropolitan Statistical Area,,,Otero County,New Mexico,35,035,35035,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Dougherty County,Georgia,13,095,13095,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Lee County,Georgia,13,177,13177,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Terrell County,Georgia,13,273,13273,Outlying
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Worth County,Georgia,13,321,13321,Outlying
10540,,440,"Albany-Lebanon, OR",Metropolitan Statistical Area,,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,043,41043,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Albany County,New York,36,001,36001,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Rensselaer County,New York,36,083,36083,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Saratoga County,New York,36,091,36091,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Schenectady County,New York,36,093,36093,Central
10580,,104,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Schoharie County,New York,36,095,36095,Outlying
10620,,172,"Albemarle, NC",Micropolitan Statistical Area,,"Charlotte-Concord, NC-SC",Stanly County,North Carolina,37,167,37167,Central
10660,,,"Albert Lea, MN",Micropolitan Statistical Area,,,Freeborn County,Minnesota,27,047,27047,Central
10700,,,"Albertville, AL",Micropolitan Statistical Area,,,Marshall County,Alabama,01,095,01095,Central
10740,,106,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Las Vegas, NM",Bernalillo County,New Mexico,35,001,35001,Central
10740,,106,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Las Vegas, NM",Sandoval County,New Mexico,35,043,35043,Central
10740,,106,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Las Vegas, NM",Torrance County,New Mexico,35,057,35057,Outlying
10740,,106,"Albuquerque, NM",Metropolitan Statistical Area,,"Albuquerque-Santa Fe-Las Vegas, NM",Valencia County,New Mexico,35,061,35061,Outlying
10760,,388,"Alexander City, AL",Micropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Coosa County,Alabama,01,037,01037,Outlying
10760,,388,"Alexander City, AL",Micropolitan Statistical Area,,"Montgomery-Selma-Alexander City, AL",Tallapoosa County,Alabama,01,123,01123,Central
10780,,,"Alexandria, LA",Metropolitan Statistical Area,,,Grant Parish,Louisiana,22,043,22043,Outlying
10780,,,"Alexandria, LA",Metropolitan Statistical Area,,,Rapides Parish,Louisiana,22,079,22079,Central
10820,,,"Alexandria, MN",Micropolitan Statistical Area,,,Douglas County,Minnesota,27,041,27041,Central
10860,,204,"Alice, TX",Micropolitan Statistical Area,,"Corpus Christi-Kingsville-Alice, TX",Duval County,Texas,48,131,48131,Outlying
10860,,204,"Alice, TX",Micropolitan Statistical Area,,"Corpus Christi-Kingsville-Alice, TX",Jim Wells County,Texas,48,249,48249,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,,Warren County,New Jersey,34,041,34041,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,,Carbon County,Pennsylvania,42,025,42025,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,,Lehigh County,Pennsylvania,42,077,42077,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,,,Northampton County,Pennsylvania,42,095,42095,Central
10940,,394,"Alma, MI",Micropolitan Statistical Area,,"Mount Pleasant-Alma, MI",Gratiot County,Michigan,26,057,26057,Central
10980,,,"Alpena, MI",Micropolitan Statistical Area,,,Alpena County,Michigan,26,007,26007,Central
11020,,107,"Altoona, PA",Metropolitan Statistical Area,,"Altoona-Huntingdon, PA",Blair County,Pennsylvania,42,013,42013,Central
11060,,,"Altus, OK",Micropolitan Statistical Area,,,Jackson County,Oklahoma,40,065,40065,Central
11100,,108,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Armstrong County,Texas,48,011,48011,Outlying
11100,,108,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Carson County,Texas,48,065,48065,Outlying
11100,,108,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Oldham County,Texas,48,359,48359,Outlying
11100,,108,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Potter County,Texas,48,375,48375,Central
11100,,108,"Amarillo, TX",Metropolitan Statistical Area,,"Amarillo-Pampa-Borger, TX",Randall County,Texas,48,381,48381,Central
11140,,,"Americus, GA",Micropolitan Statistical Area,,,Schley County,Georgia,13,249,13249,Outlying
11140,,,"Americus, GA",Micropolitan Statistical Area,,,Sumter County,Georgia,13,261,13261,Central
11180,,218,"Ames, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Boone County,Iowa,19,015,19015,Outlying
11180,,218,"Ames, IA",Metropolitan Statistical Area,,"Des Moines-Ames-West Des Moines, IA",Story County,Iowa,19,169,19169,Central
11220,,104,"Amsterdam, NY",Micropolitan Statistical Area,,"Albany-Schenectady, NY",Montgomery County,New York,36,057,36057,Central
11260,,,"Anchorage, AK",Metropolitan Statistical Area,,,Anchorage Municipality,Alaska,02,020,02020,Central
11260,,,"Anchorage, AK",Metropolitan Statistical Area,,,Matanuska-Susitna Borough,Alaska,02,170,02170,Outlying
11380,,,"Andrews, TX",Micropolitan Statistical Area,,,Andrews County,Texas,48,003,48003,Central
11420,,258,"Angola, IN",Micropolitan Statistical Area,,"Fort Wayne-Huntington-Auburn, IN",Steuben County,Indiana,18,151,18151,Central
11460,,220,"Ann Arbor, MI",Metropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Washtenaw County,Michigan,26,161,26161,Central
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,,,Calhoun County,Alabama,01,015,01015,Central
11540,,118,"Appleton, WI",Metropolitan Statistical Area,,"Appleton-Oshkosh-Neenah, WI",Calumet County,Wisconsin,55,015,55015,Central
11540,,118,"Appleton, WI",Metropolitan Statistical Area,,"Appleton-Oshkosh-Neenah, WI",Outagamie County,Wisconsin,55,087,55087,Central
11580,,412,"Arcadia, FL",Micropolitan Statistical Area,,"North Port-Sarasota, FL",DeSoto County,Florida,12,027,12027,Central
