location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Djibouti,,Confirmed (per 100k),74.089,8.415,0.114,2.999,5,4,9,2
Guadeloupe,,Confirmed (per 100k),13.246,1.500,0.113,1.860,4,5,9,1
Cabo Verde,,Confirmed (per 100k),10.432,1.259,0.121,2.538,4,4,8,-1
Singapore,,Confirmed (per 100k),102.421,7.184,0.070141,5.342,5,2,7,0
Martinique,,Confirmed (per 100k),8.527,0.761,0.089286,2.897,3,4,7,0
Equatorial Guinea,,Confirmed (per 100k),5.631,0.621,0.110,2.844,3,4,7,2
Reunion,,Confirmed (per 100k),5.026,0.367,0.073016,2.197,3,4,7,3
"Isle of Man, United Kingdom",,Confirmed (per 100k),349.276,15.120,0.043290,13.367,5,1,6,0
Ireland,,Confirmed (per 100k),298.879,17.043,0.057025,9.122,5,1,6,-1
"Quebec, Canada",,Confirmed (per 100k),205.220,8.569,0.041754,13.248,5,1,6,0
Qatar,,Confirmed (per 100k),173.825,10.666,0.061359,7.654,5,1,6,0
United Kingdom,,Confirmed (per 100k),168.248,7.351,0.043694,12.667,5,1,6,0
"Bermuda, United Kingdom",,Confirmed (per 100k),133.273,8.029,0.060241,8.838,5,1,6,-1
Bahrain,,Confirmed (per 100k),104.198,6.842,0.065668,8.303,5,1,6,-1
Turkey,,Confirmed (per 100k),97.617,5.338,0.054688,9.709,5,1,6,0
Belarus,,Confirmed (per 100k),50.575,4.230,0.083640,5.521,4,2,6,0
Peru,,Confirmed (per 100k),43.734,3.289,0.075213,6.212,4,2,6,0
Russia,,Confirmed (per 100k),25.212,1.967,0.078008,4.931,4,2,6,0
Oman,,Confirmed (per 100k),23.107,1.637,0.070823,6.381,4,2,6,0
Timor-Leste,,Confirmed (per 100k),1.365,0.173,0.127,2.147,2,4,6,-1
Somalia,,Confirmed (per 100k),0.849,0.085391,0.101,2.864,2,4,6,1
San Marino,,Confirmed (per 100k),1340.957,38.313,0.028571,20.004,5,0,5,0
Andorra,,Confirmed (per 100k),911.150,17.565,0.019278,33.113,5,0,5,0
Luxembourg,,Confirmed (per 100k),565.036,5.865,0.010380,62.891,5,0,5,0
Spain,,Confirmed (per 100k),410.067,9.950,0.024265,25.745,5,0,5,0
Belgium,,Confirmed (per 100k),320.830,11.674,0.036388,16.037,5,0,5,-1
Italy,,Confirmed (per 100k),290.969,5.873,0.020185,31.363,5,0,5,0
"Channel Islands, United Kingdom",,Confirmed (per 100k),278.380,5.916,0.021251,29.380,5,0,5,0
France,,Confirmed (per 100k),226.691,5.056,0.022302,28.654,5,0,5,0
US,,Confirmed (per 100k),221.206,8.769,0.039640,14.231,5,0,5,-1
"Montserrat, United Kingdom",,Confirmed (per 100k),220.353,5.723,0.025974,24.952,5,0,5,0
Netherlands,,Confirmed (per 100k),184.355,6.130,0.033248,17.733,5,0,5,0
Panama,,Confirmed (per 100k),97.572,4.185,0.042891,13.042,4,1,5,0
Canada,,Confirmed (per 100k),90.662,4.054,0.044721,12.035,4,1,5,0
"Ontario, Canada",,Confirmed (per 100k),74.858,4.097,0.054728,9.155,4,1,5,0
Serbia,,Confirmed (per 100k),68.602,4.227,0.061609,8.071,4,1,5,0
"Nova Scotia, Canada",,Confirmed (per 100k),66.397,2.908,0.043804,12.183,4,1,5,0
United Arab Emirates,,Confirmed (per 100k),63.718,4.249,0.066691,7.849,4,1,5,0
Moldova,,Confirmed (per 100k),58.949,2.925,0.049622,10.840,4,1,5,0
"Alberta, Canada",,Confirmed (per 100k),58.054,3.062,0.052749,9.174,4,1,5,1
North Macedonia,,Confirmed (per 100k),56.159,2.784,0.049573,10.784,4,1,5,0
Chile,,Confirmed (per 100k),50.899,2.056,0.040391,13.739,4,1,5,0
Romania,,Confirmed (per 100k),43.758,1.931,0.044123,12.658,4,1,5,0
Kuwait,,Confirmed (per 100k),41.002,2.225,0.054255,9.687,4,1,5,0
Dominican Republic,,Confirmed (per 100k),39.962,1.983,0.049629,10.546,4,1,5,0
"Tasmania, Australia",,Confirmed (per 100k),33.613,1.547,0.046032,12.665,4,1,5,0
Saudi Arabia,,Confirmed (per 100k),23.766,1.433,0.060275,7.229,4,1,5,0
Ukraine,,Confirmed (per 100k),11.675,0.803,0.068799,6.511,3,2,5,0
French Guiana,,Confirmed (per 100k),6.026,0.478,0.079365,4.427,3,2,5,0
Jamaica,,Confirmed (per 100k),5.505,0.386,0.070114,5.633,3,2,5,0
Gabon,,Confirmed (per 100k),4.852,0.411,0.084656,4.811,3,2,5,1
Uzbekistan,,Confirmed (per 100k),4.452,0.333,0.074880,6.615,3,2,5,0
Guinea,,Confirmed (per 100k),3.944,0.288,0.073083,6.189,3,2,5,0
Bangladesh,,Confirmed (per 100k),1.302,0.123,0.094216,3.347,2,3,5,-1
Tanzania,,Confirmed (per 100k),0.246,0.027503,0.112,2.622,1,4,5,1
Iceland,,Confirmed (per 100k),515.761,3.307,0.006412,105.301,4,0,4,0
"Gibraltar, United Kingdom",,Confirmed (per 100k),391.796,2.120,0.005411,125.806,4,0,4,0
Switzerland,,Confirmed (per 100k),316.640,4.171,0.013173,49.655,4,0,4,-1
Monaco,,Confirmed (per 100k),239.539,1.456,0.006079,112.463,4,0,4,0
Portugal,,Confirmed (per 100k),193.052,4.974,0.025763,23.650,4,0,4,-1
Germany,,Confirmed (per 100k),171.085,3.278,0.019161,33.111,4,0,4,0
Austria,,Confirmed (per 100k),162.895,1.650,0.010127,65.918,4,0,4,0
Israel,,Confirmed (per 100k),153.255,4.248,0.027721,22.207,4,0,4,-1
"Sint Maarten, Netherlands",,Confirmed (per 100k),149.268,2.332,0.015625,36.191,4,0,4,0
Sweden,,Confirmed (per 100k),136.861,4.995,0.036495,15.494,4,0,4,0
Norway,,Confirmed (per 100k),129.786,1.642,0.012649,51.648,4,0,4,0
Denmark,,Confirmed (per 100k),125.030,3.093,0.024737,24.875,4,0,4,0
Estonia,,Confirmed (per 100k),113.981,2.165,0.018991,32.796,4,0,4,0
Malta,,Confirmed (per 100k),96.480,2.329,0.024145,26.203,4,0,4,0
Iran,,Confirmed (per 100k),96.280,1.922,0.019966,31.775,4,0,4,0
"St Martin, France",,Confirmed (per 100k),95.691,1.108,0.011583,53.487,4,0,4,0
"Mayotte, France",,Confirmed (per 100k),93.103,2.828,0.030371,19.047,4,0,4,0
"Cayman Islands, United Kingdom",,Confirmed (per 100k),92.815,3.478,0.037471,16.113,4,0,4,0
"Aruba, Netherlands",,Confirmed (per 100k),89.916,1.338,0.014881,44.846,4,0,4,0
Finland,,Confirmed (per 100k),66.435,1.856,0.027943,21.023,4,0,4,0
Cyprus,,Confirmed (per 100k),63.030,1.834,0.029097,21.144,4,0,4,0
Czechia,,Confirmed (per 100k),61.687,1.090,0.017668,36.295,4,0,4,0
Ecuador,,Confirmed (per 100k),51.136,1.044,0.020410,28.899,4,0,4,-1
Montenegro,,Confirmed (per 100k),48.880,1.092,0.022336,28.331,4,0,4,1
Croatia,,Confirmed (per 100k),44.626,1.110,0.024875,25.366,4,0,4,0
Armenia,,Confirmed (per 100k),42.116,1.273,0.030220,19.493,4,0,4,0
Bosnia and Herzegovina,,Confirmed (per 100k),38.649,1.363,0.035264,16.406,4,0,4,0
Global,,Confirmed (per 100k),29.808,1.008,0.033806,17.294,4,0,4,0
"Turks and Caicos Islands, United Kingdom",,Confirmed (per 100k),28.411,1.107,0.038961,15.593,4,0,4,1
Slovakia,,Confirmed (per 100k),19.946,0.874,0.043815,12.025,3,1,4,1
Hungary,,Confirmed (per 100k),18.985,0.847,0.044633,12.574,3,1,4,-1
Brazil,,Confirmed (per 100k),17.246,0.944,0.054730,8.732,3,1,4,0
South Korea,,Confirmed (per 100k),14.586,0.997,0.068353,7.819,3,1,4,-2
Cuba,,Confirmed (per 100k),8.705,0.453,0.052014,10.037,3,1,4,0
Kazakhstan,,Confirmed (per 100k),8.601,0.558,0.064927,7.564,3,1,4,0
Japan,,Confirmed (per 100k),8.141,0.481,0.059066,8.487,3,1,4,0
Guyana,,Confirmed (per 100k),8.010,0.472,0.058957,9.113,3,1,4,0
Kyrgyzstan,,Confirmed (per 100k),7.756,0.418,0.053924,10.424,3,1,4,0
Morocco,,Confirmed (per 100k),7.274,0.432,0.059377,8.175,3,1,4,0
Maldives,,Confirmed (per 100k),6.475,0.238,0.036735,11.510,3,1,4,2
Mexico,,Confirmed (per 100k),5.332,0.316,0.059345,8.211,3,1,4,0
Belize,,Confirmed (per 100k),4.527,0.287,0.063492,9.787,3,1,4,-1
Bolivia,,Confirmed (per 100k),4.223,0.241,0.057085,8.663,3,1,4,0
Liberia,,Confirmed (per 100k),1.503,0.110,0.073308,6.935,2,2,4,1
Libya,,Confirmed (per 100k),0.713,0.051976,0.072886,6.745,2,2,4,0
Sierra Leone,,Confirmed (per 100k),0.376,0.032236,0.085714,3.222,1,3,4,2
Nepal,,Confirmed (per 100k),0.106,0.010296,0.096774,3.371,1,3,4,3
Papua New Guinea,,Confirmed (per 100k),0.078238,0.007984,0.102,2.967,0,4,4,4
