location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Monaco,Deaths (per 100k),7.64,0.73,0.10,2.76,3,4,7,7
"Isle of Man, United Kingdom",Deaths (per 100k),4.70,0.50,0.11,2.87,3,4,7,4
Andorra,Deaths (per 100k),42.71,1.85,0.04,13.44,4,1,5,1
Belgium,Deaths (per 100k),41.91,2.71,0.06,7.52,4,1,5,-1
France,Deaths (per 100k),27.45,1.38,0.05,10.82,4,1,5,0
United Kingdom,Deaths (per 100k),20.22,1.21,0.06,8.50,4,1,5,-1
"Channel Islands, United Kingdom",Deaths (per 100k),10.93,0.58,0.05,6.78,3,2,5,3
"Quebec, Canada",Deaths (per 100k),7.38,0.52,0.07,4.88,3,2,5,0
"Ontario, Canada",Deaths (per 100k),3.33,0.23,0.07,5.50,3,2,5,2
Canada,Deaths (per 100k),3.32,0.23,0.07,5.55,3,2,5,1
Martinique,Deaths (per 100k),0.27,0.04,0.14,2.41,1,4,5,-1
New Zealand,Deaths (per 100k),0.19,0.02,0.13,2.58,1,4,5,-1
Slovakia,Deaths (per 100k),0.15,0.01,0.07,2.76,1,4,5,5
Somalia,Deaths (per 100k),0.03,0.00,0.11,1.88,0,5,5,1
Burundi,Deaths (per 100k),0.01,0.00,0.14,1.71,0,5,5,0
Spain,Deaths (per 100k),41.31,1.20,0.03,20.87,4,0,4,0
"Sint Maarten, Netherlands",Deaths (per 100k),20.99,1.00,0.05,13.28,3,1,4,0
Sweden,Deaths (per 100k),13.20,0.73,0.06,8.52,3,1,4,0
Luxembourg,Deaths (per 100k),11.02,0.52,0.05,12.94,3,1,4,0
US,Deaths (per 100k),9.94,0.59,0.06,7.54,3,1,4,-1
Ireland,Deaths (per 100k),9.84,0.60,0.06,7.67,3,1,4,-1
"Bermuda, United Kingdom",Deaths (per 100k),8.03,0.46,0.06,10.39,3,1,4,-1
Portugal,Deaths (per 100k),6.17,0.31,0.05,10.79,3,1,4,0
Germany,Deaths (per 100k),4.84,0.25,0.05,9.87,3,1,4,0
Hungary,Deaths (per 100k),1.47,0.11,0.08,5.96,2,2,4,0
Brazil,Deaths (per 100k),0.91,0.06,0.07,6.41,2,2,4,0
Peru,Deaths (per 100k),0.83,0.06,0.07,6.84,2,2,4,0
