location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"British Virgin Islands, United Kingdom",,Deaths (per 100k),3.308,0.473,0.143,1.710,3,5,8,0
"Isle of Man, United Kingdom",,Deaths (per 100k),10.584,1.176,0.111,3.802,4,3,7,2
"Quebec, Canada",,Deaths (per 100k),12.228,1.019,0.083333,5.674,4,2,6,1
Belgium,,Deaths (per 100k),51.753,2.269,0.043848,13.740,4,1,5,0
United Kingdom,,Deaths (per 100k),25.538,1.101,0.043095,13.771,4,1,5,0
Sweden,,Deaths (per 100k),17.477,1.035,0.059247,9.433,4,1,5,1
Canada,,Deaths (per 100k),5.038,0.380,0.075507,6.668,3,2,5,0
"Martinique, France",,Deaths (per 100k),3.731,0.305,0.081633,5.711,3,2,5,0
San Marino,,Deaths (per 100k),117.886,1.684,0.014286,46.440,4,0,4,0
Andorra,,Deaths (per 100k),47.887,1.109,0.023166,28.071,4,0,4,0
France,,Deaths (per 100k),31.860,1.109,0.034808,17.964,4,0,4,0
Ireland,,Deaths (per 100k),14.784,0.937,0.063405,8.330,3,1,4,0
"Channel Islands, United Kingdom",,Deaths (per 100k),13.804,0.904,0.065476,8.723,3,1,4,-2
US,,Deaths (per 100k),13.548,0.821,0.060571,9.283,3,1,4,0
Germany,,Deaths (per 100k),6.007,0.297,0.049360,12.065,3,1,4,0
"Ontario, Canada",,Deaths (per 100k),4.717,0.350,0.074105,7.103,3,1,4,-1
Finland,,Deaths (per 100k),2.545,0.199,0.078014,5.515,2,2,4,1
Peru,,Deaths (per 100k),1.468,0.110,0.074970,6.483,2,2,4,0
"Nova Scotia, Canada",,Deaths (per 100k),1.023,0.102,0.100000,4.100,2,2,4,-2
Martinique,,Deaths (per 100k),0.266,0.038068,0.143,3.106,1,3,4,-2
Kuwait,,Deaths (per 100k),0.258,0.026761,0.104,3.454,1,3,4,-1
Slovakia,,Deaths (per 100k),0.256,0.031399,0.122,3.860,1,3,4,0
Guinea,,Deaths (per 100k),0.045687,0.006527,0.143,2.409,0,4,4,-1
Spain,,Deaths (per 100k),45.518,0.986,0.021655,29.874,3,0,3,0
Italy,,Deaths (per 100k),40.766,0.846,0.020755,31.050,3,0,3,0
"Sint Maarten, Netherlands",,Deaths (per 100k),23.323,0.333,0.014286,45.400,3,0,3,0
Netherlands,,Deaths (per 100k),22.854,0.810,0.035422,17.397,3,0,3,0
Switzerland,,Deaths (per 100k),17.078,0.502,0.029383,21.347,3,0,3,0
Luxembourg,,Deaths (per 100k),12.461,0.205,0.016484,38.777,3,0,3,1
"Hubei, China",,Deaths (per 100k),7.645,0.312,0.040875,15.223,3,0,3,-1
Portugal,,Deaths (per 100k),7.473,0.273,0.036558,16.653,3,0,3,0
Panama,,Deaths (per 100k),3.152,0.139,0.044118,12.936,2,1,3,0
"Guadeloupe, France",,Deaths (per 100k),2.999,0.143,0.047619,10.047,2,1,3,3
Turkey,,Deaths (per 100k),2.678,0.145,0.054133,10.367,2,1,3,0
Romania,,Deaths (per 100k),2.589,0.109,0.042169,13.905,2,1,3,0
Hungary,,Deaths (per 100k),2.205,0.135,0.061033,8.827,2,1,3,0
Israel,,Deaths (per 100k),2.126,0.101,0.047360,12.377,2,1,3,0
Moldova,,Deaths (per 100k),1.785,0.113,0.063492,8.790,2,1,3,-1
