location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Seward, Kansas",20175,Confirmed (per 100k),662.684,90.002,0.136,1.871,5,5,10,0
"Richmond, Virginia",51159,Confirmed (per 100k),587.388,72.830,0.124,1.847,5,5,10,5
"Nobles, Minnesota",27105,Confirmed (per 100k),582.551,81.240,0.139,1.966,5,5,10,0
"Dakota, Nebraska",31043,Confirmed (per 100k),429.442,59.922,0.140,1.885,5,5,10,0
"Jefferson, Illinois",17081,Confirmed (per 100k),199.023,25.020,0.126,1.784,5,5,10,2
"Alpena, Michigan",26007,Confirmed (per 100k),133.779,18.608,0.139,1.653,5,5,10,0
"Saline, Nebraska",31151,Confirmed (per 100k),112.486,15.065,0.134,1.943,5,5,10,0
"Sheridan, Kansas",20179,Confirmed (per 100k),79.334,11.333,0.143,1.357,5,5,10,0
"East Carroll, Louisiana",22035,Confirmed (per 100k),72.876,8.329,0.114,1.534,5,5,10,10
"Polk, Minnesota",27119,Confirmed (per 100k),54.202,7.288,0.134,1.000,5,5,10,5
"Guadalupe, New Mexico",35019,Confirmed (per 100k),46.512,6.645,0.143,1.710,5,5,10,2
"Edwards, Kansas",20047,Confirmed (per 100k),35.740,5.106,0.143,1.710,5,5,10,0
"Lincoln, Arkansas",5079,Confirmed (per 100k),3416.769,423.394,0.124,2.035,5,4,9,0
"Pickaway, Ohio",39129,Confirmed (per 100k),2836.273,363.148,0.128,2.326,5,4,9,-1
"Dawson, Nebraska",31047,Confirmed (per 100k),834.923,108.376,0.130,2.515,5,4,9,-1
"Jasper, Illinois",17079,Confirmed (per 100k),374.610,47.569,0.127,2.388,5,4,9,-1
"Moniteau, Missouri",29135,Confirmed (per 100k),365.733,48.705,0.133,2.878,5,4,9,0
"Gosper, Nebraska",31073,Confirmed (per 100k),351.759,43.073,0.122,2.990,5,4,9,0
"Sherman, Texas",48421,Confirmed (per 100k),330.907,47.272,0.143,2.688,5,4,9,1
"Falls Church, Virginia",51610,Confirmed (per 100k),171.034,22.479,0.131,2.075,5,4,9,-1
"Warren, Illinois",17187,Confirmed (per 100k),112.800,14.418,0.128,2.492,5,4,9,-1
"Kearny, Kansas",20093,Confirmed (per 100k),104.221,11.167,0.107,2.874,5,4,9,3
"Fairfax City, Virginia",51600,Confirmed (per 100k),104.084,14.274,0.137,2.089,5,4,9,-1
"Woodbury, Iowa",19193,Confirmed (per 100k),96.987,10.946,0.113,2.657,5,4,9,3
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,2.631,5,4,9,6
"Walker, Georgia",13295,Confirmed (per 100k),84.574,9.420,0.111,2.045,5,4,9,3
"Missaukee, Michigan",26113,Confirmed (per 100k),79.376,9.449,0.119,2.130,5,4,9,2
"Howard, Nebraska",31093,Confirmed (per 100k),77.580,11.083,0.143,2.270,5,4,9,-1
"Marion, Texas",48315,Confirmed (per 100k),60.889,8.698,0.143,2.758,5,4,9,2
"Norton, Virginia",51720,Confirmed (per 100k),50.239,7.177,0.143,2.758,5,4,9,-1
"Furnas, Nebraska",31065,Confirmed (per 100k),42.772,6.110,0.143,2.409,5,4,9,-1
"Crockett, Tennessee",47033,Confirmed (per 100k),42.164,6.023,0.143,2.293,5,4,9,-1
"Woods, Oklahoma",40151,Confirmed (per 100k),34.118,4.874,0.143,1.943,4,5,9,0
"Parmer, Texas",48369,Confirmed (per 100k),31.234,4.462,0.143,1.239,4,5,9,0
"Haskell, Kansas",20081,Confirmed (per 100k),25.202,3.600,0.143,1.710,4,5,9,0
"Haskell, Oklahoma",40061,Confirmed (per 100k),23.759,3.394,0.143,1.943,4,5,9,0
"Roosevelt, New Mexico",35041,Confirmed (per 100k),21.622,2.317,0.107,1.943,4,5,9,9
"Dixon, Nebraska",31051,Confirmed (per 100k),17.743,2.535,0.143,1.710,4,5,9,0
"Chippewa, Minnesota",27023,Confirmed (per 100k),8.475,1.211,0.143,1.710,4,5,9,0
"Marion, Ohio",39101,Confirmed (per 100k),3282.995,433.007,0.132,3.106,5,3,8,-2
"Ford, Kansas",20057,Confirmed (per 100k),618.698,74.788,0.121,3.359,5,3,8,-1
"Marshall, Iowa",19127,Confirmed (per 100k),607.077,70.759,0.117,3.188,5,3,8,-1
