location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bienville, Louisiana",Deaths (per 100k),52.87,5.39,0.10,1.43,5,5,10,10
"Upson, Georgia",Deaths (per 100k),19.00,2.71,0.14,0.85,4,5,9,0
"Pointe Coupee, Louisiana",Deaths (per 100k),18.41,2.63,0.14,1.88,4,5,9,1
"Henrico, Virginia",Deaths (per 100k),15.72,1.73,0.11,1.96,4,5,9,0
"Hale, Texas",Deaths (per 100k),14.97,2.14,0.14,1.85,4,5,9,1
"Monroe, Illinois",Deaths (per 100k),11.55,1.24,0.11,1.71,4,5,9,3
"Franklin, Louisiana",Deaths (per 100k),9.99,1.43,0.14,1.71,4,5,9,2
"Jefferson, Arkansas",Deaths (per 100k),8.98,1.07,0.12,1.85,4,5,9,1
"Burke, Georgia",Deaths (per 100k),8.94,1.28,0.14,1.71,4,5,9,0
"Jefferson, Florida",Deaths (per 100k),7.02,1.00,0.14,1.71,4,5,9,0
"Coffey, Kansas",Deaths (per 100k),36.68,3.49,0.10,2.76,4,4,8,8
"East Feliciana, Louisiana",Deaths (per 100k),36.58,2.99,0.08,2.23,4,4,8,1
"Wilkin, Minnesota",Deaths (per 100k),32.22,4.60,0.14,2.41,4,4,8,1
"Thomas, Georgia",Deaths (per 100k),20.25,1.61,0.08,2.55,4,4,8,2
"Ouray, Colorado",Deaths (per 100k),20.19,2.88,0.14,2.41,4,4,8,-1
"Tallapoosa, Alabama",Deaths (per 100k),17.34,2.12,0.12,2.53,4,4,8,1
"Washington, North Carolina",Deaths (per 100k),17.27,2.47,0.14,2.06,4,4,8,-1
"Lancaster, Pennsylvania",Deaths (per 100k),12.64,1.10,0.09,2.59,4,4,8,3
"Alamosa, Colorado",Deaths (per 100k),12.32,1.76,0.14,2.41,4,4,8,-1
"Jones, North Carolina",Deaths (per 100k),10.62,1.52,0.14,2.41,4,4,8,-1
"San Juan, New Mexico",Deaths (per 100k),8.07,0.81,0.10,0.69,3,5,8,0
"Washington, Ohio",Deaths (per 100k),6.68,0.48,0.07,1.00,3,5,8,0
"Montgomery, Kansas",Deaths (per 100k),6.28,0.90,0.14,1.71,3,5,8,0
"Wakulla, Florida",Deaths (per 100k),5.93,0.85,0.14,1.00,3,5,8,0
"Phillips, Arkansas",Deaths (per 100k),5.62,0.80,0.14,1.71,3,5,8,0
"Bedford, Tennessee",Deaths (per 100k),4.02,0.57,0.14,1.71,3,5,8,1
"Cibola, New Mexico",Deaths (per 100k),3.75,0.54,0.14,1.71,3,5,8,0
"Clinton, New York",Deaths (per 100k),3.73,0.53,0.14,1.94,3,5,8,0
"Bradford, Florida",Deaths (per 100k),3.55,0.51,0.14,1.71,3,5,8,0
"Summit, Colorado",Deaths (per 100k),3.22,0.46,0.14,1.71,3,5,8,0
"Ashtabula, Ohio",Deaths (per 100k),3.09,0.29,0.10,1.71,3,5,8,0
"Shiawassee, Michigan",Deaths (per 100k),2.94,0.21,0.07,1.71,3,5,8,0
"Adams, Indiana",Deaths (per 100k),2.80,0.40,0.14,1.71,3,5,8,0
"Addison, Vermont",Deaths (per 100k),2.72,0.39,0.14,1.71,3,5,8,0
"Bay, Michigan",Deaths (per 100k),1.94,0.28,0.14,1.71,3,5,8,0
"Wayne, North Carolina",Deaths (per 100k),1.62,0.23,0.14,1.71,3,5,8,2
"Essex, New Jersey",Deaths (per 100k),73.84,5.42,0.07,5.95,5,2,7,1
"Westchester, New York",Deaths (per 100k),66.15,5.68,0.09,5.33,5,2,7,-1
"St. Tammany, Louisiana",Deaths (per 100k),23.04,2.08,0.09,3.98,4,3,7,1
"Jefferson Davis, Louisiana",Deaths (per 100k),22.32,2.73,0.12,3.45,4,3,7,-2
"St. Landry, Louisiana",Deaths (per 100k),19.48,2.09,0.11,3.51,4,3,7,0
"Union, Louisiana",Deaths (per 100k),18.09,2.58,0.14,3.45,4,3,7,0
"Tuscola, Michigan",Deaths (per 100k),17.23,1.91,0.11,3.50,4,3,7,1
"Steuben, New York",Deaths (per 100k),16.78,1.65,0.10,3.49,4,3,7,1
"Van Buren, Arkansas",Deaths (per 100k),12.09,1.73,0.14,3.11,4,3,7,-2
"Wilkinson, Georgia",Deaths (per 100k),11.17,1.60,0.14,3.11,4,3,7,-2
"Johnson, Georgia",Deaths (per 100k),10.37,1.48,0.14,3.11,4,3,7,-2
"Saginaw, Michigan",Deaths (per 100k),9.97,1.05,0.11,3.11,4,3,7,1
"Wyandot, Ohio",Deaths (per 100k),9.19,1.31,0.14,3.11,4,3,7,-2
"Wayne, Ohio",Deaths (per 100k),8.64,0.62,0.07,2.41,3,4,7,-1
"Jerome, Idaho",Deaths (per 100k),8.19,1.17,0.14,3.11,4,3,7,-2
"Twin Falls, Idaho",Deaths (per 100k),8.06,0.49,0.06,2.41,3,4,7,3
"Morehouse, Louisiana",Deaths (per 100k),8.04,1.15,0.14,3.11,4,3,7,-2
"Lamoille, Vermont",Deaths (per 100k),7.89,1.13,0.14,3.11,4,3,7,-2
"Charles, Maryland",Deaths (per 100k),7.35,0.88,0.12,2.76,3,4,7,0
"Sussex, Delaware",Deaths (per 100k),6.83,0.79,0.12,2.84,3,4,7,1
"Monroe, Michigan",Deaths (per 100k),5.98,0.76,0.13,2.32,3,4,7,-1
"Drew, Arkansas",Deaths (per 100k),5.49,0.78,0.14,2.41,3,4,7,-1
"Boulder, Colorado",Deaths (per 100k),4.60,0.48,0.10,2.98,3,4,7,0
"Sumner, Kansas",Deaths (per 100k),4.38,0.63,0.14,2.41,3,4,7,-1
"Franklin, North Carolina",Deaths (per 100k),4.31,0.41,0.10,2.41,3,4,7,1
"Geauga, Ohio",Deaths (per 100k),4.27,0.46,0.11,2.41,3,4,7,0
"Allen, Ohio",Deaths (per 100k),3.91,0.42,0.11,2.87,3,4,7,-1
"Cass, Missouri",Deaths (per 100k),3.78,0.41,0.11,2.64,3,4,7,3
"Livingston, Louisiana",Deaths (per 100k),3.55,0.30,0.09,2.41,3,4,7,7
"Union, Mississippi",Deaths (per 100k),3.47,0.50,0.14,2.41,3,4,7,-1
"Palo Pinto, Texas",Deaths (per 100k),3.43,0.49,0.14,2.41,3,4,7,-1
"Stanly, North Carolina",Deaths (per 100k),3.18,0.45,0.14,2.06,3,4,7,1
"Westmoreland, Pennsylvania",Deaths (per 100k),3.15,0.25,0.08,2.99,3,4,7,-1
"St. Louis, Minnesota",Deaths (per 100k),3.01,0.36,0.12,2.97,3,4,7,-1
"Rutherford, North Carolina",Deaths (per 100k),2.98,0.43,0.14,2.06,3,4,7,1
"Wexford, Michigan",Deaths (per 100k),2.97,0.42,0.14,2.41,3,4,7,-1
"Paulding, Georgia",Deaths (per 100k),2.96,0.25,0.09,2.87,3,4,7,2
"Nicollet, Minnesota",Deaths (per 100k),2.92,0.42,0.14,2.41,3,4,7,-1
"Cowley, Kansas",Deaths (per 100k),2.86,0.41,0.14,2.41,3,4,7,-1
"Howard, Texas",Deaths (per 100k),2.73,0.39,0.14,2.41,3,4,7,-1
"Champaign, Ohio",Deaths (per 100k),2.57,0.37,0.14,2.41,3,4,7,-1
"Tioga, Pennsylvania",Deaths (per 100k),2.46,0.35,0.14,2.41,3,4,7,-1
"Kenosha, Wisconsin",Deaths (per 100k),2.36,0.25,0.11,2.87,3,4,7,3
"Richmond, North Carolina",Deaths (per 100k),2.23,0.32,0.14,2.41,3,4,7,-1
"Habersham, Georgia",Deaths (per 100k),2.21,0.32,0.14,2.41,3,4,7,-1
"Auglaize, Ohio",Deaths (per 100k),2.19,0.31,0.14,2.41,3,4,7,-1
"Bedford, Pennsylvania",Deaths (per 100k),2.09,0.30,0.14,2.41,3,4,7,-1
"Armstrong, Pennsylvania",Deaths (per 100k),1.54,0.22,0.14,2.41,3,4,7,-1
"Lebanon, Pennsylvania",Deaths (per 100k),1.41,0.20,0.14,2.06,3,4,7,-1
"Monroe, Indiana",Deaths (per 100k),1.35,0.10,0.07,1.71,2,5,7,0
"Berkeley, South Carolina",Deaths (per 100k),1.32,0.19,0.14,1.24,2,5,7,1
"Warren, Ohio",Deaths (per 100k),1.28,0.18,0.14,0.76,2,5,7,0
"Union, North Carolina",Deaths (per 100k),1.25,0.18,0.14,1.47,2,5,7,2
"Josephine, Oregon",Deaths (per 100k),1.14,0.16,0.14,1.71,2,5,7,0
"Marathon, Wisconsin",Deaths (per 100k),0.74,0.11,0.14,1.71,2,5,7,0
"Kings, California",Deaths (per 100k),0.65,0.09,0.14,1.71,2,5,7,0
"Doña Ana, New Mexico",Deaths (per 100k),0.46,0.07,0.14,1.71,2,5,7,0
"Yavapai, Arizona",Deaths (per 100k),0.43,0.06,0.14,1.71,2,5,7,0
"Mitchell, Georgia",Deaths (per 100k),91.48,5.88,0.06,7.43,5,1,6,-2
"Rockland, New York",Deaths (per 100k),91.47,5.61,0.06,7.39,5,1,6,-1
"Nassau, New York",Deaths (per 100k),77.90,5.27,0.07,7.13,5,1,6,-2
"Bergen, New Jersey",Deaths (per 100k),65.22,4.40,0.07,6.82,4,2,6,0
"St. James, Louisiana",Deaths (per 100k),61.62,4.74,0.08,6.18,4,2,6,1
"Iberville, Louisiana",Deaths (per 100k),52.29,3.95,0.08,6.35,4,2,6,0
"Union, New Jersey",Deaths (per 100k),48.35,3.67,0.08,5.90,4,2,6,0
"Hudson, New Jersey",Deaths (per 100k),46.40,3.70,0.08,4.98,4,2,6,0
"Suffolk, New York",Deaths (per 100k),44.22,3.34,0.08,6.18,4,2,6,0
"Morris, New Jersey",Deaths (per 100k),43.10,3.05,0.07,6.39,4,2,6,0
"Sumter, Georgia",Deaths (per 100k),40.64,2.90,0.07,6.58,4,2,6,1
"Fairfield, Connecticut",Deaths (per 100k),38.69,2.35,0.06,6.49,4,2,6,0
"Macomb, Michigan",Deaths (per 100k),37.76,2.81,0.07,5.54,4,2,6,0
"Passaic, New Jersey",Deaths (per 100k),36.27,2.68,0.07,5.52,4,2,6,0
"Somerset, New Jersey",Deaths (per 100k),30.71,2.21,0.07,6.54,4,2,6,0
"Sussex, New Jersey",Deaths (per 100k),29.18,2.44,0.08,5.62,4,2,6,-1
"Warren, New Jersey",Deaths (per 100k),28.50,2.44,0.09,4.34,4,2,6,-1
"Claiborne, Louisiana",Deaths (per 100k),25.53,1.82,0.07,6.23,4,2,6,2
"Hartford, Connecticut",Deaths (per 100k),23.89,1.68,0.07,4.36,4,2,6,-1
"Caddo, Louisiana",Deaths (per 100k),23.73,1.78,0.08,5.75,4,2,6,1
"Red River, Louisiana",Deaths (per 100k),23.69,1.69,0.07,6.58,4,2,6,-2
"New Haven, Connecticut",Deaths (per 100k),22.81,1.52,0.07,5.34,4,2,6,0
"Dooly, Georgia",Deaths (per 100k),22.40,1.07,0.05,5.88,4,2,6,6
"Nez Perce, Idaho",Deaths (per 100k),22.27,1.41,0.06,4.84,4,2,6,0
"Genesee, Michigan",Deaths (per 100k),21.93,1.87,0.09,5.36,4,2,6,0
"Washington, Louisiana",Deaths (per 100k),21.65,2.16,0.10,4.99,4,2,6,0
"Ascension, Louisiana",Deaths (per 100k),21.33,1.81,0.08,5.93,4,2,6,0
"Norfolk, Massachusetts",Deaths (per 100k),20.80,1.13,0.05,5.53,4,2,6,-1
"Mercer, New Jersey",Deaths (per 100k),20.68,1.83,0.09,4.45,4,2,6,0
"Hillsdale, Michigan",Deaths (per 100k),19.73,1.57,0.08,5.75,4,2,6,2
"Litchfield, Connecticut",Deaths (per 100k),19.41,1.58,0.08,4.32,4,2,6,-1
"Wyandotte, Kansas",Deaths (per 100k),18.74,1.73,0.09,4.50,4,2,6,-1
"Hopkins, Kentucky",Deaths (per 100k),17.90,1.28,0.07,5.19,4,2,6,6
"Clarendon, South Carolina",Deaths (per 100k),17.78,1.69,0.10,4.15,4,2,6,2
"Essex, Massachusetts",Deaths (per 100k),17.74,1.19,0.07,5.36,4,2,6,-1
"Middlesex, Connecticut",Deaths (per 100k),17.24,1.23,0.07,5.29,4,2,6,0
"Gunnison, Colorado",Deaths (per 100k),17.18,1.64,0.10,4.15,4,2,6,-2
"Weld, Colorado",Deaths (per 100k),16.95,1.28,0.08,6.48,4,2,6,0
"Columbia, New York",Deaths (per 100k),16.82,1.20,0.07,6.02,4,2,6,1
"Coconino, Arizona",Deaths (per 100k),16.73,1.19,0.07,6.41,4,2,6,2
"Monroe, Pennsylvania",Deaths (per 100k),16.44,1.26,0.08,6.63,4,2,6,0
"Lauderdale, Mississippi",Deaths (per 100k),16.19,1.54,0.10,4.06,4,2,6,-1
"Marion, Indiana",Deaths (per 100k),16.07,1.38,0.09,5.24,4,2,6,0
"Johnson, Indiana",Deaths (per 100k),15.81,1.26,0.08,5.34,4,2,6,-1
"Pearl River, Mississippi",Deaths (per 100k),14.41,1.29,0.09,5.19,4,2,6,-2
"Philadelphia, Pennsylvania",Deaths (per 100k),14.01,1.27,0.09,4.53,4,2,6,-2
"Portage, Ohio",Deaths (per 100k),13.54,1.14,0.08,5.08,4,2,6,1
"Lackawanna, Pennsylvania",Deaths (per 100k),12.40,1.09,0.09,5.32,4,2,6,1
"Cook, Illinois",Deaths (per 100k),12.23,1.02,0.08,5.45,4,2,6,1
"Will, Illinois",Deaths (per 100k),11.73,1.20,0.10,4.22,4,2,6,1
"Lincoln, Mississippi",Deaths (per 100k),11.71,1.25,0.11,4.50,4,2,6,-2
"Montrose, Colorado",Deaths (per 100k),11.69,1.00,0.09,5.42,4,2,6,2
"Chittenden, Vermont",Deaths (per 100k),11.60,1.31,0.11,4.45,4,2,6,-1
"Hunterdon, New Jersey",Deaths (per 100k),11.26,1.03,0.09,4.03,4,2,6,-2
"Cape May, New Jersey",Deaths (per 100k),10.86,1.09,0.10,4.00,4,2,6,-2
"Lake, Illinois",Deaths (per 100k),8.90,0.88,0.10,3.85,3,3,6,1
"St. Mary, Louisiana",Deaths (per 100k),8.11,0.58,0.07,3.11,3,3,6,-2
"Lubbock, Texas",Deaths (per 100k),8.05,0.69,0.09,3.62,3,3,6,1
"Calcasieu, Louisiana",Deaths (per 100k),7.37,0.77,0.10,3.42,3,3,6,-1
"Jackson, Illinois",Deaths (per 100k),7.05,0.76,0.11,3.11,3,3,6,1
"Shelby, Indiana",Deaths (per 100k),6.71,0.96,0.14,3.11,3,3,6,-1
"Berks, Pennsylvania",Deaths (per 100k),6.65,0.78,0.12,3.35,3,3,6,-1
"Rockdale, Georgia",Deaths (per 100k),6.60,0.47,0.07,3.80,3,3,6,6
"Jefferson, Georgia",Deaths (per 100k),6.51,0.93,0.14,3.11,3,3,6,-2
"Stark, North Dakota",Deaths (per 100k),6.35,0.91,0.14,3.45,3,3,6,-1
"Smith, Mississippi",Deaths (per 100k),6.28,0.90,0.14,3.11,3,3,6,-2
"Greene, Indiana",Deaths (per 100k),6.27,0.45,0.07,3.11,3,3,6,-2
"Anne Arundel, Maryland",Deaths (per 100k),5.52,0.59,0.11,3.89,3,3,6,0
"Ouachita, Louisiana",Deaths (per 100k),5.22,0.56,0.11,3.57,3,3,6,1
"Susquehanna, Pennsylvania",Deaths (per 100k),4.96,0.71,0.14,3.45,3,3,6,-1
"Baltimore, Maryland",Deaths (per 100k),4.96,0.52,0.10,3.76,3,3,6,1
"Owen, Indiana",Deaths (per 100k),4.81,0.69,0.14,3.11,3,3,6,-2
"Warrick, Indiana",Deaths (per 100k),4.76,0.45,0.10,3.11,3,3,6,-2
"Belmont, Ohio",Deaths (per 100k),4.48,0.43,0.10,3.80,3,3,6,1
"Brown, Minnesota",Deaths (per 100k),4.00,0.57,0.14,3.11,3,3,6,-2
