location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Wilcox, Georgia",13315,Deaths (per 100k),57.904,8.272,0.143,1.286,5,5,10,0
"Delaware, Oklahoma",40041,Deaths (per 100k),20.926,2.989,0.143,1.553,4,5,9,0
"Graves, Kentucky",21083,Deaths (per 100k),16.100,2.300,0.143,1.475,4,5,9,2
"Morgan, Colorado",8087,Deaths (per 100k),13.761,1.966,0.143,1.357,4,5,9,1
"Boone, Illinois",17007,Deaths (per 100k),11.206,1.334,0.119,1.990,4,5,9,4
"Wilcox, Alabama",1131,Deaths (per 100k),9.640,1.377,0.143,1.710,4,5,9,0
"Bradley, Arkansas",5011,Deaths (per 100k),9.291,1.327,0.143,1.710,4,5,9,0
"Putnam, Georgia",13237,Deaths (per 100k),9.042,1.292,0.143,1.710,4,5,9,0
"Bradford, Pennsylvania",42015,Deaths (per 100k),8.289,1.184,0.143,0.553,4,5,9,0
"Turner, Georgia",13287,Deaths (per 100k),50.094,5.367,0.107,3.106,5,3,8,-2
"Jackson, Kentucky",21109,Deaths (per 100k),30.010,4.287,0.143,2.409,4,4,8,-1
"Boone, Indiana",18011,Deaths (per 100k),25.058,2.948,0.118,2.459,4,4,8,2
"Daviess, Indiana",18027,Deaths (per 100k),14.992,1.713,0.114,2.409,4,4,8,2
"Pike, Georgia",13231,Deaths (per 100k),10.547,1.507,0.143,2.758,4,4,8,2
"Navajo, Arizona",4017,Deaths (per 100k),9.917,1.288,0.130,2.897,4,4,8,-1
"Routt, Colorado",8107,Deaths (per 100k),7.801,1.114,0.143,2.758,4,4,8,-1
"Apache, Arizona",4001,Deaths (per 100k),6.955,0.994,0.143,1.990,3,5,8,0
"Cleburne, Alabama",1029,Deaths (per 100k),6.707,0.958,0.143,1.710,3,5,8,0
"Calhoun, Texas",48057,Deaths (per 100k),4.697,0.671,0.143,1.710,3,5,8,0
"Marion, Mississippi",28091,Deaths (per 100k),4.070,0.581,0.143,1.710,3,5,8,0
"Mille Lacs, Minnesota",27095,Deaths (per 100k),3.806,0.544,0.143,1.710,3,5,8,0
"Decatur, Georgia",13087,Deaths (per 100k),3.787,0.541,0.143,1.710,3,5,8,0
"Jasper, South Carolina",45053,Deaths (per 100k),3.325,0.475,0.143,1.710,3,5,8,0
"Cascade, Montana",30013,Deaths (per 100k),2.458,0.351,0.143,1.357,3,5,8,1
"Gratiot, Michigan",26057,Deaths (per 100k),2.456,0.351,0.143,1.710,3,5,8,0
"Mohave, Arizona",4015,Deaths (per 100k),1.414,0.202,0.143,1.000,3,5,8,1
"Randolph, Georgia",13243,Deaths (per 100k),236.058,21.077,0.089286,5.330,5,2,7,0
"Hudson, New Jersey",34017,Deaths (per 100k),94.588,7.627,0.080638,6.194,5,2,7,0
"Brooks, Georgia",13027,Deaths (per 100k),38.817,4.621,0.119,3.524,4,3,7,-1
"St. Mary, Louisiana",22101,Deaths (per 100k),32.423,4.053,0.125,3.156,4,3,7,0
"Butler, Kentucky",21031,Deaths (per 100k),23.294,2.218,0.095238,3.802,4,3,7,-1
"Monroe, Mississippi",28095,Deaths (per 100k),22.694,2.431,0.107,3.106,4,3,7,1
"Oglethorpe, Georgia",13221,Deaths (per 100k),19.661,1.872,0.095238,3.802,4,3,7,2
"Louisa, Iowa",19115,Deaths (per 100k),18.124,2.589,0.143,3.106,4,3,7,-2
"Avoyelles, Louisiana",22009,Deaths (per 100k),17.437,1.779,0.102,3.106,4,3,7,3
"Franklin, North Carolina",37069,Deaths (per 100k),15.785,1.845,0.117,3.338,4,3,7,-1
"San Juan, Utah",49037,Deaths (per 100k),13.065,1.866,0.143,3.106,4,3,7,-2
"Chester, Pennsylvania",42029,Deaths (per 100k),12.381,1.225,0.098901,3.771,4,3,7,2
"Marion, Georgia",13197,Deaths (per 100k),11.963,1.709,0.143,3.106,4,3,7,-2
"Russell, Kentucky",21207,Deaths (per 100k),11.159,1.594,0.143,3.106,4,3,7,-2
"Caddo, Oklahoma",40015,Deaths (per 100k),10.430,1.490,0.143,3.106,4,3,7,-1
"Arlington, Virginia",51013,Deaths (per 100k),9.289,1.206,0.130,3.454,4,3,7,1
"Macon, Illinois",17115,Deaths (per 100k),8.653,1.099,0.127,3.715,4,3,7,1
"Pickaway, Ohio",39129,Deaths (per 100k),8.553,1.222,0.143,3.245,4,3,7,-1
"Tallahatchie, Mississippi",28135,Deaths (per 100k),7.242,1.035,0.143,3.106,4,3,7,-2
"Hale, Alabama",1065,Deaths (per 100k),6.825,0.975,0.143,2.409,3,4,7,-1
"Bayfield, Wisconsin",55007,Deaths (per 100k),6.651,0.950,0.143,2.409,3,4,7,-1
"Marquette, Wisconsin",55077,Deaths (per 100k),6.421,0.917,0.143,2.409,3,4,7,-1
"Socorro, New Mexico",35053,Deaths (per 100k),6.011,0.859,0.143,2.409,3,4,7,-1
"Lebanon, Pennsylvania",42075,Deaths (per 100k),5.642,0.605,0.107,2.758,3,4,7,2
"Washington, Georgia",13303,Deaths (per 100k),4.908,0.701,0.143,2.409,3,4,7,-1
"La Paz, Arizona",4012,Deaths (per 100k),4.738,0.677,0.143,2.409,3,4,7,-1
"Clay, Minnesota",27027,Deaths (per 100k),4.671,0.667,0.143,2.874,3,4,7,0
"Logan, Colorado",8075,Deaths (per 100k),4.462,0.637,0.143,2.409,3,4,7,-1
