location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Rhode Island,,Confirmed (per 100k),423.935,33.039,0.077934,5.839,5,2,7,1
South Dakota,,Confirmed (per 100k),174.304,14.130,0.081064,5.272,5,2,7,0
New Jersey,,Confirmed (per 100k),916.666,38.406,0.041897,13.532,5,1,6,0
Massachusetts,,Confirmed (per 100k),527.704,27.831,0.052741,9.966,5,1,6,0
Connecticut,,Confirmed (per 100k),492.246,25.127,0.051046,10.522,5,1,6,0
District of Columbia,,Confirmed (per 100k),377.755,16.517,0.043725,12.128,5,1,6,0
Delaware,,Confirmed (per 100k),260.638,14.539,0.055781,8.874,5,1,6,0
Pennsylvania,,Confirmed (per 100k),247.243,10.977,0.044398,12.285,5,1,6,0
Illinois,,Confirmed (per 100k),230.117,10.925,0.047477,11.323,5,1,6,0
Maryland,,Confirmed (per 100k),203.881,10.879,0.053360,9.693,5,1,6,0
Georgia,,Confirmed (per 100k),166.415,7.681,0.046158,11.834,5,1,6,0
Indiana,,Confirmed (per 100k),158.061,6.890,0.043591,12.652,5,1,6,0
Mississippi,,Confirmed (per 100k),133.528,6.355,0.047595,11.287,5,1,6,0
New York,,Confirmed (per 100k),1242.508,42.775,0.034426,16.758,5,0,5,0
Louisiana,,Confirmed (per 100k),507.228,11.877,0.023416,26.686,5,0,5,0
Michigan,,Confirmed (per 100k),308.315,10.856,0.035210,16.765,5,0,5,0
Colorado,,Confirmed (per 100k),157.100,6.174,0.039303,14.799,5,0,5,-1
New Hampshire,,Confirmed (per 100k),98.697,4.917,0.049819,10.534,4,1,5,1
Alabama,,Confirmed (per 100k),96.101,4.732,0.049236,11.369,4,1,5,-1
Virginia,,Confirmed (per 100k),94.347,4.991,0.052900,9.682,4,1,5,0
Ohio,,Confirmed (per 100k),87.449,3.946,0.045127,10.904,4,1,5,0
New Mexico,,Confirmed (per 100k),85.749,3.516,0.040998,12.422,4,1,5,0
Iowa,,Confirmed (per 100k),79.650,4.274,0.053664,9.322,4,1,5,0
Arizona,,Confirmed (per 100k),64.902,2.746,0.042307,13.108,4,1,5,1
Nebraska,,Confirmed (per 100k),64.568,3.183,0.049297,9.492,4,1,5,0
Texas,,Confirmed (per 100k),64.506,2.830,0.043871,12.516,4,1,5,0
Kansas,,Confirmed (per 100k),62.506,3.006,0.048090,11.295,4,1,5,0
Kentucky,,Confirmed (per 100k),60.591,2.651,0.043749,12.099,4,1,5,0
North Carolina,,Confirmed (per 100k),60.335,2.833,0.046957,11.629,4,1,5,0
Arkansas,,Confirmed (per 100k),57.790,2.481,0.042923,13.275,4,1,5,0
Minnesota,,Confirmed (per 100k),39.169,1.859,0.047468,11.031,4,1,5,0
Puerto Rico,,Confirmed (per 100k),35.006,1.534,0.043828,12.980,4,1,5,0
Washington,,Confirmed (per 100k),154.644,2.623,0.016959,37.331,4,0,4,0
Vermont,,Confirmed (per 100k),128.688,2.289,0.017790,36.043,4,0,4,0
Florida,,Confirmed (per 100k),118.690,4.808,0.040506,14.193,4,0,4,-1
Nevada,,Confirmed (per 100k),117.721,3.720,0.031597,18.346,4,0,4,0
Tennessee,,Confirmed (per 100k),96.483,3.104,0.032175,18.640,4,0,4,0
Idaho,,Confirmed (per 100k),92.610,2.038,0.022011,27.818,4,0,4,0
Utah,,Confirmed (per 100k),90.987,3.075,0.033792,17.044,4,0,4,-1
Missouri,,Confirmed (per 100k),90.901,3.431,0.037744,15.157,4,0,4,-1
South Carolina,,Confirmed (per 100k),82.506,2.863,0.034705,16.550,4,0,4,-1
California,,Confirmed (per 100k),77.169,2.920,0.037838,14.869,4,0,4,0
Wisconsin,,Confirmed (per 100k),72.118,2.417,0.033511,17.375,4,0,4,0
North Dakota,,Confirmed (per 100k),69.286,2.156,0.031115,14.261,4,0,4,-1
Maine,,Confirmed (per 100k),63.011,2.561,0.040648,14.247,4,0,4,-1
Oklahoma,,Confirmed (per 100k),62.295,2.422,0.038887,15.328,4,0,4,-1
Wyoming,,Confirmed (per 100k),53.390,1.629,0.030513,20.404,4,0,4,0
West Virginia,,Confirmed (per 100k),43.802,1.602,0.036579,15.604,4,0,4,-1
Oregon,,Confirmed (per 100k),43.720,1.568,0.035869,16.566,4,0,4,0
Alaska,,Confirmed (per 100k),42.923,1.230,0.028662,21.579,4,0,4,0
Guam,,Confirmed (per 100k),80.581,0.508,0.006303,108.015,3,0,3,-1
Hawaii,,Confirmed (per 100k),40.540,0.999,0.024639,24.675,3,0,3,-1
Montana,,Confirmed (per 100k),39.859,0.762,0.019115,33.677,3,0,3,0
Northern Mariana Islands,69000,Confirmed (per 100k),24.323,0.496,0.020408,28.418,3,0,3,0
