location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New Jersey,Deaths (per 100k),39.61,2.66,0.07,6.60,4,2,6,0
Connecticut,Deaths (per 100k),27.23,2.17,0.08,4.78,4,2,6,0
Massachusetts,Deaths (per 100k),16.08,1.40,0.09,5.13,4,2,6,0
Wyoming,Deaths (per 100k),0.35,0.02,0.07,1.71,1,5,6,0
New York,Deaths (per 100k),76.24,3.93,0.05,8.13,4,1,5,-1
Louisiana,Deaths (per 100k),24.87,1.39,0.06,9.03,4,1,5,0
Michigan,Deaths (per 100k),19.99,1.38,0.07,7.22,4,1,5,-1
District of Columbia,Deaths (per 100k),11.48,0.91,0.08,5.16,3,2,5,0
Illinois,Deaths (per 100k),8.46,0.55,0.06,6.87,3,2,5,0
Rhode Island,Deaths (per 100k),8.21,0.61,0.07,6.24,3,2,5,0
Indiana,Deaths (per 100k),7.09,0.49,0.07,6.76,3,2,5,0
Pennsylvania,Deaths (per 100k),6.57,0.51,0.08,5.48,3,2,5,0
Delaware,Deaths (per 100k),5.65,0.40,0.07,6.14,3,2,5,0
Maryland,Deaths (per 100k),5.28,0.44,0.08,5.67,3,2,5,0
Virginia,Deaths (per 100k),2.44,0.22,0.09,5.01,3,2,5,1
Colorado,Deaths (per 100k),6.16,0.33,0.05,9.50,3,1,4,-1
Georgia,Deaths (per 100k),5.53,0.26,0.05,11.32,3,1,4,0
Nevada,Deaths (per 100k),4.45,0.27,0.06,8.53,3,1,4,-1
Mississippi,Deaths (per 100k),4.33,0.26,0.06,8.19,3,1,4,0
Ohio,Deaths (per 100k),3.48,0.21,0.06,7.46,3,1,4,1
Wisconsin,Deaths (per 100k),3.38,0.20,0.06,8.23,3,1,4,1
New Hampshire,Deaths (per 100k),2.35,0.20,0.08,5.74,2,2,4,0
Idaho,Deaths (per 100k),2.29,0.19,0.08,5.22,2,2,4,0
New Mexico,Deaths (per 100k),1.72,0.16,0.09,4.80,2,2,4,0
Minnesota,Deaths (per 100k),1.54,0.12,0.08,6.54,2,2,4,0
North Carolina,Deaths (per 100k),1.43,0.09,0.06,6.94,2,2,4,1
North Dakota,Deaths (per 100k),1.18,0.09,0.08,6.58,2,2,4,1
Washington,Deaths (per 100k),7.60,0.24,0.03,19.10,3,0,3,0
Oklahoma,Deaths (per 100k),3.31,0.16,0.05,10.49,2,1,3,0
Florida,Deaths (per 100k),3.11,0.19,0.06,7.64,2,1,3,-1
Kentucky,Deaths (per 100k),2.89,0.16,0.06,9.23,2,1,3,-2
Missouri,Deaths (per 100k),2.75,0.16,0.06,8.45,2,1,3,-1
Kansas,Deaths (per 100k),2.75,0.18,0.07,7.09,2,1,3,-1
Alabama,Deaths (per 100k),2.71,0.15,0.06,8.53,2,1,3,0
California,Deaths (per 100k),2.42,0.13,0.05,8.60,2,1,3,0
South Carolina,Deaths (per 100k),2.16,0.15,0.07,7.03,2,1,3,0
Arizona,Deaths (per 100k),2.06,0.12,0.06,8.64,2,1,3,0
Maine,Deaths (per 100k),2.01,0.11,0.05,8.94,2,1,3,0
Tennessee,Deaths (per 100k),1.99,0.09,0.05,11.64,2,1,3,0
Iowa,Deaths (per 100k),1.90,0.12,0.06,7.06,2,1,3,-1
Puerto Rico,Deaths (per 100k),1.75,0.12,0.07,7.32,2,1,3,-1
Oregon,Deaths (per 100k),1.52,0.08,0.06,9.46,2,1,3,0
Texas,Deaths (per 100k),1.43,0.09,0.06,7.17,2,1,3,-1
Arkansas,Deaths (per 100k),1.23,0.07,0.06,8.34,2,1,3,0
Nebraska,Deaths (per 100k),1.09,0.06,0.05,10.05,2,1,3,0
West Virginia,Deaths (per 100k),0.67,0.05,0.07,5.19,1,2,3,0
Vermont,Deaths (per 100k),5.29,0.14,0.03,21.02,2,0,2,0
Guam,Deaths (per 100k),2.96,0.08,0.03,22.53,2,0,2,0
Hawaii,Deaths (per 100k),0.64,0.04,0.06,9.35,1,1,2,0
Utah,Deaths (per 100k),0.62,0.03,0.05,11.73,1,1,2,1
Alaska,Deaths (per 100k),1.23,0.04,0.03,19.06,1,0,1,-2
Montana,Deaths (per 100k),0.65,0.01,0.02,30.84,1,0,1,0
