location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New York,,Deaths (per 100k),94.060,6.641,0.070609,6.663,5,2,7,0
Connecticut,,Deaths (per 100k),31.610,2.372,0.075041,6.424,4,2,6,0
Massachusetts,,Deaths (per 100k),24.752,1.488,0.060124,6.703,4,2,6,0
Rhode Island,,Deaths (per 100k),14.159,1.092,0.077143,5.019,4,2,6,2
New Jersey,,Deaths (per 100k),49.110,3.035,0.061800,7.796,4,1,5,-1
Louisiana,,Deaths (per 100k),27.878,1.417,0.050816,10.890,4,1,5,0
Michigan,,Deaths (per 100k),23.941,1.322,0.055207,9.627,4,1,5,0
Pennsylvania,,Deaths (per 100k),9.967,0.601,0.060345,6.617,3,2,5,0
Maryland,,Deaths (per 100k),7.625,0.508,0.066625,6.692,3,2,5,1
Delaware,,Deaths (per 100k),6.881,0.499,0.072495,6.742,3,2,5,1
Virginia,,Deaths (per 100k),3.245,0.214,0.066013,6.882,3,2,5,2
New Mexico,,Deaths (per 100k),2.623,0.232,0.088312,4.783,3,2,5,1
Wyoming,,Deaths (per 100k),0.346,0.049367,0.143,2.758,1,4,5,-1
District of Columbia,,Deaths (per 100k),13.603,0.891,0.065476,7.509,3,1,4,-1
Illinois,,Deaths (per 100k),10.180,0.656,0.064452,7.745,3,1,4,-1
Indiana,,Deaths (per 100k),8.348,0.456,0.054652,9.514,3,1,4,0
Colorado,,Deaths (per 100k),7.293,0.345,0.047279,11.448,3,1,4,0
Georgia,,Deaths (per 100k),6.470,0.328,0.050738,10.686,3,1,4,0
Vermont,,Deaths (per 100k),6.090,0.298,0.048872,11.327,3,1,4,0
Mississippi,,Deaths (per 100k),5.342,0.283,0.053010,9.612,3,1,4,0
Nevada,,Deaths (per 100k),5.130,0.227,0.044304,12.565,3,1,4,0
Ohio,,Deaths (per 100k),4.029,0.249,0.061874,8.106,3,1,4,0
Florida,,Deaths (per 100k),3.604,0.206,0.057217,9.192,3,1,4,0
Iowa,,Deaths (per 100k),2.377,0.181,0.076190,6.267,2,2,4,0
North Carolina,,Deaths (per 100k),1.907,0.133,0.070000,6.289,2,2,4,0
West Virginia,,Deaths (per 100k),1.004,0.087684,0.087302,4.497,2,2,4,-1
Washington,,Deaths (per 100k),8.352,0.221,0.026505,22.537,3,0,3,0
Wisconsin,,Deaths (per 100k),3.778,0.184,0.048701,11.350,2,1,3,-1
Oklahoma,,Deaths (per 100k),3.538,0.152,0.042857,13.332,2,1,3,0
Kentucky,,Deaths (per 100k),3.268,0.173,0.052838,10.535,2,1,3,0
Missouri,,Deaths (per 100k),3.242,0.189,0.058148,9.002,2,1,3,0
Alabama,,Deaths (per 100k),3.202,0.178,0.055505,9.399,2,1,3,0
Kansas,,Deaths (per 100k),3.192,0.147,0.046083,11.318,2,1,3,0
California,,Deaths (per 100k),2.979,0.194,0.065056,7.555,2,1,3,0
New Hampshire,,Deaths (per 100k),2.795,0.168,0.060150,8.746,2,1,3,0
Maine,,Deaths (per 100k),2.529,0.138,0.054622,8.713,2,1,3,0
Arizona,,Deaths (per 100k),2.528,0.141,0.055901,9.363,2,1,3,0
Idaho,,Deaths (per 100k),2.462,0.144,0.058442,9.315,2,1,3,-1
Minnesota,,Deaths (per 100k),2.376,0.144,0.060768,7.248,2,1,3,-1
South Carolina,,Deaths (per 100k),2.331,0.108,0.046429,12.322,2,1,3,0
Puerto Rico,,Deaths (per 100k),1.941,0.080516,0.041475,13.475,2,1,3,0
Oregon,,Deaths (per 100k),1.754,0.081289,0.046332,11.896,2,1,3,0
Texas,,Deaths (per 100k),1.690,0.103,0.061224,8.382,2,1,3,0
Nebraska,,Deaths (per 100k),1.447,0.051695,0.035714,13.811,2,1,3,0
Arkansas,,Deaths (per 100k),1.292,0.061540,0.047619,12.073,2,1,3,0
Montana,,Deaths (per 100k),0.936,0.053466,0.057143,8.660,2,1,3,2
Tennessee,,Deaths (per 100k),2.167,0.075307,0.034749,16.633,2,0,2,-1
Utah,,Deaths (per 100k),0.842,0.031192,0.037037,13.711,1,1,2,1
Alaska,,Deaths (per 100k),1.230,0.019528,0.015873,41.934,1,0,1,0
North Dakota,,Deaths (per 100k),1.181,0.037492,0.031746,20.099,1,0,1,-2
South Dakota,,Deaths (per 100k),0.791,0.016148,0.020408,30.844,1,0,1,0
