location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Guadeloupe,Confirmed (per 100k),13.25,1.50,0.11,1.86,4,5,9,1
Cabo Verde,Confirmed (per 100k),10.07,1.26,0.12,1.13,4,5,9,6
Ireland,Confirmed (per 100k),268.76,18.73,0.07,6.92,5,2,7,1
"Bermuda, United Kingdom",Confirmed (per 100k),130.06,9.63,0.07,6.18,5,2,7,2
Bahrain,Confirmed (per 100k),99.91,7.12,0.07,6.63,5,2,7,1
Singapore,Confirmed (per 100k),75.67,5.07,0.07,5.90,5,2,7,1
Djibouti,Confirmed (per 100k),59.82,4.34,0.07,3.76,4,3,7,0
Martinique,Confirmed (per 100k),8.53,0.76,0.09,2.90,3,4,7,0
Reunion,Confirmed (per 100k),5.03,0.37,0.07,2.20,3,4,7,3
"Isle of Man, United Kingdom",Confirmed (per 100k),333.99,16.46,0.05,10.95,5,1,6,0
Belgium,Confirmed (per 100k),300.35,12.54,0.04,13.59,5,1,6,1
US,Confirmed (per 100k),201.75,8.95,0.04,12.57,5,1,6,0
"Quebec, Canada",Confirmed (per 100k),185.73,8.08,0.04,12.62,5,1,6,0
United Kingdom,Confirmed (per 100k),151.86,7.94,0.05,10.36,5,1,6,0
Qatar,Confirmed (per 100k),142.41,7.44,0.05,9.33,5,1,6,0
Turkey,Confirmed (per 100k),87.97,5.28,0.06,8.41,5,1,6,0
Belarus,Confirmed (per 100k),44.49,4.02,0.09,4.38,4,2,6,-1
Peru,Confirmed (per 100k),37.88,3.09,0.08,5.19,4,2,6,-1
Oman,Confirmed (per 100k),19.95,1.37,0.07,6.05,4,2,6,0
Russia,Confirmed (per 100k),19.14,1.55,0.08,4.70,4,2,6,0
Equatorial Guinea,Confirmed (per 100k),3.64,0.34,0.09,3.59,3,3,6,4
Timor-Leste,Confirmed (per 100k),1.37,0.08,0.06,2.11,2,4,6,1
Bangladesh,Confirmed (per 100k),0.95,0.09,0.09,2.99,2,4,6,0
Somalia,Confirmed (per 100k),0.50,0.06,0.12,2.48,2,4,6,1
San Marino,Confirmed (per 100k),1255.49,39.16,0.03,18.19,5,0,5,0
Andorra,Confirmed (per 100k),871.03,20.15,0.02,27.64,5,0,5,0
Luxembourg,Confirmed (per 100k),550.18,7.74,0.01,46.40,5,0,5,0
Spain,Confirmed (per 100k),395.57,8.99,0.02,27.02,5,0,5,0
Switzerland,Confirmed (per 100k),308.88,5.04,0.02,39.82,5,0,5,0
Italy,Confirmed (per 100k),279.42,6.08,0.02,28.93,5,0,5,0
"Channel Islands, United Kingdom",Confirmed (per 100k),262.85,7.89,0.03,20.73,5,0,5,0
France,Confirmed (per 100k),223.61,5.22,0.02,26.27,5,0,5,0
"Montserrat, United Kingdom",Confirmed (per 100k),220.35,5.72,0.03,23.57,5,0,5,-1
Portugal,Confirmed (per 100k),184.78,6.94,0.04,15.68,5,0,5,-1
Netherlands,Confirmed (per 100k),170.49,6.34,0.04,15.78,5,0,5,0
Israel,Confirmed (per 100k),147.40,5.11,0.03,17.20,5,0,5,1
Panama,Confirmed (per 100k),86.93,4.39,0.05,11.12,4,1,5,0
Canada,Confirmed (per 100k),81.30,3.42,0.04,12.74,4,1,5,0
"Ontario, Canada",Confirmed (per 100k),66.88,3.08,0.05,10.48,4,1,5,0
Serbia,Confirmed (per 100k),60.86,3.61,0.06,7.93,4,1,5,0
"Nova Scotia, Canada",Confirmed (per 100k),59.24,3.49,0.06,8.82,4,1,5,0
United Arab Emirates,Confirmed (per 100k),58.90,3.91,0.07,7.08,4,1,5,-1
Moldova,Confirmed (per 100k),53.40,3.10,0.06,8.87,4,1,5,0
North Macedonia,Confirmed (per 100k),51.89,2.45,0.05,10.71,4,1,5,0
Ecuador,Confirmed (per 100k),46.62,2.76,0.06,9.79,4,1,5,0
Chile,Confirmed (per 100k),46.07,2.04,0.04,12.44,4,1,5,0
Romania,Confirmed (per 100k),40.06,1.82,0.05,11.98,4,1,5,0
Kuwait,Confirmed (per 100k),35.69,1.84,0.05,10.17,4,1,5,0
Dominican Republic,Confirmed (per 100k),34.61,1.98,0.06,9.22,4,1,5,0
"Tasmania, Australia",Confirmed (per 100k),31.56,1.79,0.06,9.72,4,1,5,0
Saudi Arabia,Confirmed (per 100k),18.33,1.20,0.07,7.12,4,1,5,1
Hungary,Confirmed (per 100k),17.10,1.01,0.06,9.21,4,1,5,0
Ukraine,Confirmed (per 100k),9.51,0.68,0.07,6.14,3,2,5,0
French Guiana,Confirmed (per 100k),6.03,0.48,0.08,4.43,3,2,5,0
Jamaica,Confirmed (per 100k),4.83,0.30,0.06,5.58,3,2,5,4
