location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Ecuador,,Confirmed (per 100k),128.770,11.091,0.086127,3.975,5,3,8,4
Guadeloupe,,Confirmed (per 100k),13.246,1.785,0.135,2.200,4,4,8,-1
Martinique,,Confirmed (per 100k),8.527,1.104,0.129,2.578,4,4,8,1
Reunion,,Confirmed (per 100k),5.026,0.622,0.124,1.836,3,5,8,4
Equatorial Guinea,,Confirmed (per 100k),15.253,1.375,0.090120,3.271,4,3,7,5
Qatar,,Confirmed (per 100k),295.899,17.439,0.058936,9.221,5,1,6,0
Singapore,,Confirmed (per 100k),206.398,14.854,0.071967,7.312,5,1,6,-1
Bahrain,,Confirmed (per 100k),147.981,6.255,0.042267,13.188,5,1,6,2
Belarus,,Confirmed (per 100k),92.843,6.038,0.065037,8.174,5,1,6,1
Maldives,,Confirmed (per 100k),23.865,2.484,0.104,4.164,4,2,6,0
San Marino,,Confirmed (per 100k),1511.892,24.419,0.016151,40.154,5,0,5,0
Spain,,Confirmed (per 100k),470.035,8.567,0.018226,35.564,5,0,5,0
Belgium,,Confirmed (per 100k),382.178,8.764,0.022932,27.953,5,0,5,0
Ireland,,Confirmed (per 100k),368.262,9.912,0.026915,23.136,5,0,5,0
US,,Confirmed (per 100k),273.512,7.472,0.027320,22.913,5,0,5,0
"Quebec, Canada",,Confirmed (per 100k),264.897,8.525,0.032183,19.212,5,0,5,0
United Kingdom,,Confirmed (per 100k),211.331,6.155,0.029123,21.512,5,0,5,0
Sweden,,Confirmed (per 100k),173.943,5.297,0.030455,20.162,5,0,5,1
"Mayotte, France",,Confirmed (per 100k),129.758,5.236,0.040355,14.796,5,0,5,1
United Arab Emirates,,Confirmed (per 100k),93.838,4.303,0.045854,12.753,4,1,5,1
"Alberta, Canada",,Confirmed (per 100k),91.024,4.710,0.051744,10.771,4,1,5,0
Peru,,Confirmed (per 100k),65.656,3.132,0.047698,12.199,4,1,5,0
Kuwait,,Confirmed (per 100k),61.210,2.887,0.047164,12.099,4,1,5,0
