State,Metric,Date,Value
"Ontario, Canada",Confirmed,2020-03-22T04:00:00Z,425
"Ontario, Canada",Confirmed,2020-03-23T04:00:00Z,503
"Ontario, Canada",Confirmed,2020-03-24T04:00:00Z,588
"Ontario, Canada",Confirmed,2020-03-25T04:00:00Z,688
"Ontario, Canada",Confirmed,2020-03-26T04:00:00Z,858
"Ontario, Canada",Confirmed,2020-03-27T04:00:00Z,994
"Ontario, Canada",Confirmed,2020-03-28T04:00:00Z,1144
"Ontario, Canada",Confirmed,2020-03-29T04:00:00Z,1355
"Ontario, Canada",Confirmed,2020-03-30T04:00:00Z,1706
"Ontario, Canada",Confirmed,2020-03-31T04:00:00Z,1966
"Ontario, Canada",Confirmed,2020-04-01T04:00:00Z,2392
"Ontario, Canada",Confirmed,2020-04-02T04:00:00Z,2793
"Ontario, Canada",Confirmed,2020-04-03T04:00:00Z,3255
"Ontario, Canada",Confirmed,2020-04-04T04:00:00Z,3630
"Ontario, Canada",Confirmed,2020-04-05T04:00:00Z,4354
"Ontario, Canada",Confirmed,2020-04-06T04:00:00Z,4354
"Ontario, Canada",Confirmed,2020-04-07T04:00:00Z,4726
"Ontario, Canada",Confirmed,2020-04-08T04:00:00Z,5276
"Ontario, Canada",Confirmed,2020-04-09T04:00:00Z,5759
"Ontario, Canada",Confirmed,2020-04-10T04:00:00Z,6237
"Ontario, Canada",Confirmed,2020-04-11T04:00:00Z,6648
"Ontario, Canada",Confirmed (per 100k),2020-03-22T04:00:00Z,2.89
"Ontario, Canada",Confirmed (per 100k),2020-03-23T04:00:00Z,3.42
"Ontario, Canada",Confirmed (per 100k),2020-03-24T04:00:00Z,4.00
"Ontario, Canada",Confirmed (per 100k),2020-03-25T04:00:00Z,4.68
"Ontario, Canada",Confirmed (per 100k),2020-03-26T04:00:00Z,5.83
"Ontario, Canada",Confirmed (per 100k),2020-03-27T04:00:00Z,6.76
"Ontario, Canada",Confirmed (per 100k),2020-03-28T04:00:00Z,7.78
"Ontario, Canada",Confirmed (per 100k),2020-03-29T04:00:00Z,9.21
"Ontario, Canada",Confirmed (per 100k),2020-03-30T04:00:00Z,11.60
"Ontario, Canada",Confirmed (per 100k),2020-03-31T04:00:00Z,13.36
"Ontario, Canada",Confirmed (per 100k),2020-04-01T04:00:00Z,16.26
"Ontario, Canada",Confirmed (per 100k),2020-04-02T04:00:00Z,18.98
"Ontario, Canada",Confirmed (per 100k),2020-04-03T04:00:00Z,22.13
"Ontario, Canada",Confirmed (per 100k),2020-04-04T04:00:00Z,24.67
"Ontario, Canada",Confirmed (per 100k),2020-04-05T04:00:00Z,29.60
"Ontario, Canada",Confirmed (per 100k),2020-04-06T04:00:00Z,29.60
"Ontario, Canada",Confirmed (per 100k),2020-04-07T04:00:00Z,32.12
"Ontario, Canada",Confirmed (per 100k),2020-04-08T04:00:00Z,35.86
"Ontario, Canada",Confirmed (per 100k),2020-04-09T04:00:00Z,39.15
"Ontario, Canada",Confirmed (per 100k),2020-04-10T04:00:00Z,42.39
"Ontario, Canada",Confirmed (per 100k),2020-04-11T04:00:00Z,45.19
"Ontario, Canada",Deaths,2020-03-22T04:00:00Z,5
"Ontario, Canada",Deaths,2020-03-23T04:00:00Z,6
"Ontario, Canada",Deaths,2020-03-24T04:00:00Z,7
"Ontario, Canada",Deaths,2020-03-25T04:00:00Z,8
"Ontario, Canada",Deaths,2020-03-26T04:00:00Z,13
"Ontario, Canada",Deaths,2020-03-27T04:00:00Z,18
"Ontario, Canada",Deaths,2020-03-28T04:00:00Z,18
"Ontario, Canada",Deaths,2020-03-29T04:00:00Z,21
"Ontario, Canada",Deaths,2020-03-30T04:00:00Z,31
"Ontario, Canada",Deaths,2020-03-31T04:00:00Z,33
"Ontario, Canada",Deaths,2020-04-01T04:00:00Z,37
"Ontario, Canada",Deaths,2020-04-02T04:00:00Z,53
"Ontario, Canada",Deaths,2020-04-03T04:00:00Z,67
"Ontario, Canada",Deaths,2020-04-04T04:00:00Z,94
"Ontario, Canada",Deaths,2020-04-05T04:00:00Z,119
"Ontario, Canada",Deaths,2020-04-06T04:00:00Z,150
"Ontario, Canada",Deaths,2020-04-07T04:00:00Z,153
"Ontario, Canada",Deaths,2020-04-08T04:00:00Z,153
"Ontario, Canada",Deaths,2020-04-09T04:00:00Z,200
"Ontario, Canada",Deaths,2020-04-10T04:00:00Z,222
"Ontario, Canada",Deaths,2020-04-11T04:00:00Z,253
"Ontario, Canada",Deaths (per 100k),2020-03-22T04:00:00Z,0.03
"Ontario, Canada",Deaths (per 100k),2020-03-23T04:00:00Z,0.04
"Ontario, Canada",Deaths (per 100k),2020-03-24T04:00:00Z,0.05
"Ontario, Canada",Deaths (per 100k),2020-03-25T04:00:00Z,0.05
"Ontario, Canada",Deaths (per 100k),2020-03-26T04:00:00Z,0.09
"Ontario, Canada",Deaths (per 100k),2020-03-27T04:00:00Z,0.12
"Ontario, Canada",Deaths (per 100k),2020-03-28T04:00:00Z,0.12
"Ontario, Canada",Deaths (per 100k),2020-03-29T04:00:00Z,0.14
"Ontario, Canada",Deaths (per 100k),2020-03-30T04:00:00Z,0.21
"Ontario, Canada",Deaths (per 100k),2020-03-31T04:00:00Z,0.22
"Ontario, Canada",Deaths (per 100k),2020-04-01T04:00:00Z,0.25
"Ontario, Canada",Deaths (per 100k),2020-04-02T04:00:00Z,0.36
"Ontario, Canada",Deaths (per 100k),2020-04-03T04:00:00Z,0.46
"Ontario, Canada",Deaths (per 100k),2020-04-04T04:00:00Z,0.64
"Ontario, Canada",Deaths (per 100k),2020-04-05T04:00:00Z,0.81
"Ontario, Canada",Deaths (per 100k),2020-04-06T04:00:00Z,1.02
"Ontario, Canada",Deaths (per 100k),2020-04-07T04:00:00Z,1.04
"Ontario, Canada",Deaths (per 100k),2020-04-08T04:00:00Z,1.04
"Ontario, Canada",Deaths (per 100k),2020-04-09T04:00:00Z,1.36
"Ontario, Canada",Deaths (per 100k),2020-04-10T04:00:00Z,1.51
"Ontario, Canada",Deaths (per 100k),2020-04-11T04:00:00Z,1.72
"British Columbia, Canada",Confirmed,2020-03-22T04:00:00Z,424
"British Columbia, Canada",Confirmed,2020-03-23T04:00:00Z,472
"British Columbia, Canada",Confirmed,2020-03-24T04:00:00Z,617
"British Columbia, Canada",Confirmed,2020-03-25T04:00:00Z,617
"British Columbia, Canada",Confirmed,2020-03-26T04:00:00Z,725
"British Columbia, Canada",Confirmed,2020-03-27T04:00:00Z,725
"British Columbia, Canada",Confirmed,2020-03-28T04:00:00Z,884
"British Columbia, Canada",Confirmed,2020-03-29T04:00:00Z,884
"British Columbia, Canada",Confirmed,2020-03-30T04:00:00Z,970
"British Columbia, Canada",Confirmed,2020-03-31T04:00:00Z,1013
"British Columbia, Canada",Confirmed,2020-04-01T04:00:00Z,1013
"British Columbia, Canada",Confirmed,2020-04-02T04:00:00Z,1121
"British Columbia, Canada",Confirmed,2020-04-03T04:00:00Z,1174
"British Columbia, Canada",Confirmed,2020-04-04T04:00:00Z,1203
"British Columbia, Canada",Confirmed,2020-04-05T04:00:00Z,1203
"British Columbia, Canada",Confirmed,2020-04-06T04:00:00Z,1266
"British Columbia, Canada",Confirmed,2020-04-07T04:00:00Z,1266
"British Columbia, Canada",Confirmed,2020-04-08T04:00:00Z,1291
"British Columbia, Canada",Confirmed,2020-04-09T04:00:00Z,1336
"British Columbia, Canada",Confirmed,2020-04-10T04:00:00Z,1370
"British Columbia, Canada",Confirmed,2020-04-11T04:00:00Z,1445
"British Columbia, Canada",Confirmed (per 100k),2020-03-22T04:00:00Z,8.30
"British Columbia, Canada",Confirmed (per 100k),2020-03-23T04:00:00Z,9.24
"British Columbia, Canada",Confirmed (per 100k),2020-03-24T04:00:00Z,12.07
"British Columbia, Canada",Confirmed (per 100k),2020-03-25T04:00:00Z,12.07
"British Columbia, Canada",Confirmed (per 100k),2020-03-26T04:00:00Z,14.19
"British Columbia, Canada",Confirmed (per 100k),2020-03-27T04:00:00Z,14.19
"British Columbia, Canada",Confirmed (per 100k),2020-03-28T04:00:00Z,17.30
"British Columbia, Canada",Confirmed (per 100k),2020-03-29T04:00:00Z,17.30
"British Columbia, Canada",Confirmed (per 100k),2020-03-30T04:00:00Z,18.98
"British Columbia, Canada",Confirmed (per 100k),2020-03-31T04:00:00Z,19.82
"British Columbia, Canada",Confirmed (per 100k),2020-04-01T04:00:00Z,19.82
"British Columbia, Canada",Confirmed (per 100k),2020-04-02T04:00:00Z,21.93
"British Columbia, Canada",Confirmed (per 100k),2020-04-03T04:00:00Z,22.97
"British Columbia, Canada",Confirmed (per 100k),2020-04-04T04:00:00Z,23.54
"British Columbia, Canada",Confirmed (per 100k),2020-04-05T04:00:00Z,23.54
"British Columbia, Canada",Confirmed (per 100k),2020-04-06T04:00:00Z,24.77
"British Columbia, Canada",Confirmed (per 100k),2020-04-07T04:00:00Z,24.77
"British Columbia, Canada",Confirmed (per 100k),2020-04-08T04:00:00Z,25.26
"British Columbia, Canada",Confirmed (per 100k),2020-04-09T04:00:00Z,26.14
"British Columbia, Canada",Confirmed (per 100k),2020-04-10T04:00:00Z,26.81
"British Columbia, Canada",Confirmed (per 100k),2020-04-11T04:00:00Z,28.27
"British Columbia, Canada",Deaths,2020-03-22T04:00:00Z,10
"British Columbia, Canada",Deaths,2020-03-23T04:00:00Z,13
"British Columbia, Canada",Deaths,2020-03-24T04:00:00Z,13
"British Columbia, Canada",Deaths,2020-03-25T04:00:00Z,13
"British Columbia, Canada",Deaths,2020-03-26T04:00:00Z,14
"British Columbia, Canada",Deaths,2020-03-27T04:00:00Z,14
"British Columbia, Canada",Deaths,2020-03-28T04:00:00Z,17
"British Columbia, Canada",Deaths,2020-03-29T04:00:00Z,17
"British Columbia, Canada",Deaths,2020-03-30T04:00:00Z,19
"British Columbia, Canada",Deaths,2020-03-31T04:00:00Z,24
"British Columbia, Canada",Deaths,2020-04-01T04:00:00Z,24
"British Columbia, Canada",Deaths,2020-04-02T04:00:00Z,31
"British Columbia, Canada",Deaths,2020-04-03T04:00:00Z,31
"British Columbia, Canada",Deaths,2020-04-04T04:00:00Z,38
"British Columbia, Canada",Deaths,2020-04-05T04:00:00Z,38
"British Columbia, Canada",Deaths,2020-04-06T04:00:00Z,38
"British Columbia, Canada",Deaths,2020-04-07T04:00:00Z,39
"British Columbia, Canada",Deaths,2020-04-08T04:00:00Z,43
"British Columbia, Canada",Deaths,2020-04-09T04:00:00Z,48
"British Columbia, Canada",Deaths,2020-04-10T04:00:00Z,50
"British Columbia, Canada",Deaths,2020-04-11T04:00:00Z,58
"British Columbia, Canada",Deaths (per 100k),2020-03-22T04:00:00Z,0.20
"British Columbia, Canada",Deaths (per 100k),2020-03-23T04:00:00Z,0.25
"British Columbia, Canada",Deaths (per 100k),2020-03-24T04:00:00Z,0.25
"British Columbia, Canada",Deaths (per 100k),2020-03-25T04:00:00Z,0.25
"British Columbia, Canada",Deaths (per 100k),2020-03-26T04:00:00Z,0.27
"British Columbia, Canada",Deaths (per 100k),2020-03-27T04:00:00Z,0.27
"British Columbia, Canada",Deaths (per 100k),2020-03-28T04:00:00Z,0.33
"British Columbia, Canada",Deaths (per 100k),2020-03-29T04:00:00Z,0.33
"British Columbia, Canada",Deaths (per 100k),2020-03-30T04:00:00Z,0.37
"British Columbia, Canada",Deaths (per 100k),2020-03-31T04:00:00Z,0.47
"British Columbia, Canada",Deaths (per 100k),2020-04-01T04:00:00Z,0.47
"British Columbia, Canada",Deaths (per 100k),2020-04-02T04:00:00Z,0.61
"British Columbia, Canada",Deaths (per 100k),2020-04-03T04:00:00Z,0.61
"British Columbia, Canada",Deaths (per 100k),2020-04-04T04:00:00Z,0.74
"British Columbia, Canada",Deaths (per 100k),2020-04-05T04:00:00Z,0.74
"British Columbia, Canada",Deaths (per 100k),2020-04-06T04:00:00Z,0.74
"British Columbia, Canada",Deaths (per 100k),2020-04-07T04:00:00Z,0.76
"British Columbia, Canada",Deaths (per 100k),2020-04-08T04:00:00Z,0.84
"British Columbia, Canada",Deaths (per 100k),2020-04-09T04:00:00Z,0.94
"British Columbia, Canada",Deaths (per 100k),2020-04-10T04:00:00Z,0.98
"British Columbia, Canada",Deaths (per 100k),2020-04-11T04:00:00Z,1.13
"Alberta, Canada",Confirmed,2020-03-22T04:00:00Z,259
"Alberta, Canada",Confirmed,2020-03-23T04:00:00Z,301
"Alberta, Canada",Confirmed,2020-03-24T04:00:00Z,359
"Alberta, Canada",Confirmed,2020-03-25T04:00:00Z,359
"Alberta, Canada",Confirmed,2020-03-26T04:00:00Z,486
"Alberta, Canada",Confirmed,2020-03-27T04:00:00Z,542
"Alberta, Canada",Confirmed,2020-03-28T04:00:00Z,542
"Alberta, Canada",Confirmed,2020-03-29T04:00:00Z,621
"Alberta, Canada",Confirmed,2020-03-30T04:00:00Z,661
"Alberta, Canada",Confirmed,2020-03-31T04:00:00Z,690
"Alberta, Canada",Confirmed,2020-04-01T04:00:00Z,754
"Alberta, Canada",Confirmed,2020-04-02T04:00:00Z,969
"Alberta, Canada",Confirmed,2020-04-03T04:00:00Z,969
"Alberta, Canada",Confirmed,2020-04-04T04:00:00Z,1075
"Alberta, Canada",Confirmed,2020-04-05T04:00:00Z,1181
"Alberta, Canada",Confirmed,2020-04-06T04:00:00Z,1250
"Alberta, Canada",Confirmed,2020-04-07T04:00:00Z,1373
"Alberta, Canada",Confirmed,2020-04-08T04:00:00Z,1373
"Alberta, Canada",Confirmed,2020-04-09T04:00:00Z,1423
"Alberta, Canada",Confirmed,2020-04-10T04:00:00Z,1451
"Alberta, Canada",Confirmed,2020-04-11T04:00:00Z,1567
