location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Isle of Man, United Kingdom",,Deaths (per 100k),21.168,2.016,0.095238,4.728,4,2,6,-1
Ireland,,Deaths (per 100k),20.536,1.282,0.062412,8.055,4,1,5,1
"Channel Islands, United Kingdom",,Deaths (per 100k),19.556,1.068,0.054622,9.673,4,1,5,1
"Quebec, Canada",,Deaths (per 100k),15.695,1.091,0.069510,7.785,4,1,5,1
"Nova Scotia, Canada",,Deaths (per 100k),1.637,0.175,0.107,3.976,2,3,5,1
Equatorial Guinea,,Deaths (per 100k),0.071277,0.010182,0.143,2.409,1,4,5,-1
Belgium,,Deaths (per 100k),57.629,1.511,0.026223,24.077,4,0,4,0
Sweden,,Deaths (per 100k),21.308,0.907,0.042552,13.635,3,1,4,0
"St Martin, France",,Deaths (per 100k),7.759,0.369,0.047619,10.047,3,1,4,4
Canada,,Deaths (per 100k),6.296,0.372,0.059035,9.477,3,1,4,0
"Ontario, Canada",,Deaths (per 100k),5.859,0.289,0.049387,11.515,3,1,4,0
"Martinique, France",,Deaths (per 100k),3.731,0.228,0.061224,10.509,3,1,4,0
Finland,,Deaths (per 100k),3.195,0.224,0.070218,7.456,3,1,4,1
Mexico,,Deaths (per 100k),0.947,0.074790,0.078975,5.861,2,2,4,2
Latvia,,Deaths (per 100k),0.636,0.053017,0.083333,5.984,2,2,4,1
Martinique,,Deaths (per 100k),0.266,0.038068,0.143,3.106,1,3,4,-2
Gabon,,Deaths (per 100k),0.135,0.012837,0.095238,3.106,1,3,4,4
San Marino,,Deaths (per 100k),117.886,0.421,0.003571,192.348,3,0,3,0
Andorra,,Deaths (per 100k),51.770,0.924,0.017857,35.835,3,0,3,0
Spain,,Deaths (per 100k),48.175,0.758,0.015736,41.756,3,0,3,0
Italy,,Deaths (per 100k),42.951,0.648,0.015084,43.666,3,0,3,0
France,,Deaths (per 100k),34.080,0.640,0.018765,34.656,3,0,3,0
