State,Metric,Date,Value
Diamond Princess,Confirmed,2020-03-22T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-23T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-24T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-25T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-26T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-27T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-28T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-29T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-30T04:00:00Z,49
Diamond Princess,Confirmed,2020-03-31T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-01T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-02T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-03T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-04T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-05T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-06T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-07T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-08T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-09T04:00:00Z,49
Diamond Princess,Confirmed,2020-04-10T04:00:00Z,49
Grand Princess,Confirmed,2020-03-22T04:00:00Z,30
Grand Princess,Confirmed,2020-03-23T04:00:00Z,30
Grand Princess,Confirmed,2020-03-24T04:00:00Z,30
Grand Princess,Confirmed,2020-03-25T04:00:00Z,30
Grand Princess,Confirmed,2020-03-26T04:00:00Z,30
Grand Princess,Confirmed,2020-03-27T04:00:00Z,30
Grand Princess,Confirmed,2020-03-28T04:00:00Z,103
Grand Princess,Confirmed,2020-03-29T04:00:00Z,103
Grand Princess,Confirmed,2020-03-30T04:00:00Z,103
Grand Princess,Confirmed,2020-03-31T04:00:00Z,103
Grand Princess,Confirmed,2020-04-01T04:00:00Z,103
Grand Princess,Confirmed,2020-04-02T04:00:00Z,103
Grand Princess,Confirmed,2020-04-03T04:00:00Z,103
Grand Princess,Confirmed,2020-04-04T04:00:00Z,103
Grand Princess,Confirmed,2020-04-05T04:00:00Z,103
Grand Princess,Confirmed,2020-04-06T04:00:00Z,103
Grand Princess,Confirmed,2020-04-07T04:00:00Z,103
Grand Princess,Confirmed,2020-04-08T04:00:00Z,103
Grand Princess,Confirmed,2020-04-09T04:00:00Z,103
Grand Princess,Confirmed,2020-04-10T04:00:00Z,103
Grand Princess,Deaths,2020-03-22T04:00:00Z,1
Grand Princess,Deaths,2020-03-23T04:00:00Z,1
Grand Princess,Deaths,2020-03-24T04:00:00Z,1
Grand Princess,Deaths,2020-03-25T04:00:00Z,1
Grand Princess,Deaths,2020-03-26T04:00:00Z,1
Grand Princess,Deaths,2020-03-27T04:00:00Z,3
Grand Princess,Deaths,2020-03-28T04:00:00Z,3
Grand Princess,Deaths,2020-03-29T04:00:00Z,3
Grand Princess,Deaths,2020-03-30T04:00:00Z,3
Grand Princess,Deaths,2020-03-31T04:00:00Z,3
Grand Princess,Deaths,2020-04-01T04:00:00Z,3
Grand Princess,Deaths,2020-04-02T04:00:00Z,3
Grand Princess,Deaths,2020-04-03T04:00:00Z,3
Grand Princess,Deaths,2020-04-04T04:00:00Z,3
Grand Princess,Deaths,2020-04-05T04:00:00Z,3
Grand Princess,Deaths,2020-04-06T04:00:00Z,3
Grand Princess,Deaths,2020-04-07T04:00:00Z,3
Grand Princess,Deaths,2020-04-08T04:00:00Z,3
Grand Princess,Deaths,2020-04-09T04:00:00Z,3
Grand Princess,Deaths,2020-04-10T04:00:00Z,3
Guam,Confirmed,2020-03-22T04:00:00Z,27
Guam,Confirmed,2020-03-23T04:00:00Z,29
Guam,Confirmed,2020-03-24T04:00:00Z,32
Guam,Confirmed,2020-03-25T04:00:00Z,37
