location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Adair, Kentucky",Confirmed (per 100k),223.94,29.76,0.13,1.11,5,5,10,2
"Butler, Kentucky",Confirmed (per 100k),186.35,23.29,0.13,1.31,5,5,10,0
"Jackson, Kentucky",Confirmed (per 100k),172.56,12.86,0.07,1.42,5,5,10,1
"DeKalb, Indiana",Confirmed (per 100k),138.01,18.40,0.13,1.41,5,5,10,7
"Sanborn, South Dakota",Confirmed (per 100k),127.99,12.19,0.10,1.71,5,5,10,0
"Franklin, Nebraska",Confirmed (per 100k),100.70,14.39,0.14,1.94,5,5,10,0
"Stanton, Kansas",Confirmed (per 100k),99.70,14.24,0.14,1.36,5,5,10,0
"Colonial Heights, Virginia",Confirmed (per 100k),97.87,13.16,0.13,1.58,5,5,10,1
"Walworth, South Dakota",Confirmed (per 100k),92.00,5.26,0.06,1.36,5,5,10,0
"Dawson, Nebraska",Confirmed (per 100k),76.29,10.29,0.13,1.75,5,5,10,0
"Sully, South Dakota",Confirmed (per 100k),71.89,10.27,0.14,1.71,5,5,10,0
"Buchanan, Virginia",Confirmed (per 100k),57.13,7.48,0.13,0.93,5,5,10,3
"Brunswick, Virginia",Confirmed (per 100k),55.45,7.04,0.13,1.53,5,5,10,4
"Louisa, Iowa",Confirmed (per 100k),1504.30,167.00,0.11,2.33,5,4,9,1
"Upson, Georgia",Confirmed (per 100k),512.92,54.28,0.11,2.49,5,4,9,2
"Lincoln, Arkansas",Confirmed (per 100k),453.01,50.46,0.11,2.15,5,4,9,4
"Macon, Georgia",Confirmed (per 100k),363.02,43.03,0.12,2.41,5,4,9,1
"Wilcox, Georgia",Confirmed (per 100k),335.84,43.01,0.13,2.06,5,4,9,-1
"Fluvanna, Virginia",Confirmed (per 100k),227.36,16.24,0.07,2.93,5,4,9,2
"Newton, Indiana",Confirmed (per 100k),207.38,23.50,0.11,2.95,5,4,9,-1
"Custer, Nebraska",Confirmed (per 100k),176.30,23.86,0.14,2.45,5,4,9,-1
"Delaware, Oklahoma",Confirmed (per 100k),167.41,19.27,0.12,2.72,5,4,9,0
"Wayne, West Virginia",Confirmed (per 100k),154.81,6.89,0.04,2.81,5,4,9,-1
"Saline, Missouri",Confirmed (per 100k),153.77,18.83,0.12,2.69,5,4,9,1
"Jerauld, South Dakota",Confirmed (per 100k),149.03,21.29,0.14,2.87,5,4,9,-1
"Oglethorpe, Georgia",Confirmed (per 100k),124.52,15.92,0.13,2.53,5,4,9,0
"Golden Valley, Montana",Confirmed (per 100k),121.80,17.40,0.14,2.41,5,4,9,-1
"Washington, Colorado",Confirmed (per 100k),101.87,11.64,0.11,2.23,5,4,9,4
"Ford, Kansas",Confirmed (per 100k),95.18,6.80,0.07,2.10,5,4,9,-1
"Pulaski, Illinois",Confirmed (per 100k),93.72,13.39,0.14,2.83,5,4,9,-1
"Perquimans, North Carolina",Confirmed (per 100k),89.13,6.37,0.07,2.76,5,4,9,3
"Gadsden, Florida",Confirmed (per 100k),87.60,10.01,0.11,2.61,5,4,9,2
"Crawford, Georgia",Confirmed (per 100k),80.62,8.06,0.10,2.31,5,4,9,3
"Perry, Alabama",Confirmed (per 100k),78.45,9.61,0.12,2.87,5,4,9,-1
