location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Jackson, Kentucky",Confirmed (per 100k),277.59,24.65,0.09,1.25,5,5,10,1
"Adair, Kentucky",Confirmed (per 100k),234.35,29.76,0.13,1.81,5,5,10,2
"Butler, Kentucky",Confirmed (per 100k),209.64,25.51,0.12,1.86,5,5,10,0
"Wayne, West Virginia",Confirmed (per 100k),175.12,22.12,0.13,1.30,5,5,10,1
"Caddo, Oklahoma",Confirmed (per 100k),166.89,14.40,0.09,1.69,5,5,10,5
"Ford, Kansas",Confirmed (per 100k),151.70,12.75,0.08,1.64,5,5,10,1
"Sanborn, South Dakota",Confirmed (per 100k),127.99,18.28,0.14,1.71,5,5,10,0
"Walworth, South Dakota",Confirmed (per 100k),92.00,13.14,0.14,1.00,5,5,10,0
"Motley, Texas",Confirmed (per 100k),83.33,11.90,0.14,1.71,5,5,10,0
"Hyde, South Dakota",Confirmed (per 100k),76.86,10.98,0.14,1.71,5,5,10,0
"Buchanan, Virginia",Confirmed (per 100k),57.13,7.48,0.13,1.65,5,5,10,3
"Lake, Tennessee",Confirmed (per 100k),57.01,8.14,0.14,1.71,5,5,10,0
"Louisa, Iowa",Confirmed (per 100k),1504.30,176.06,0.12,2.89,5,4,9,1
"Lincoln, Arkansas",Confirmed (per 100k),468.37,52.65,0.11,2.74,5,4,9,-1
"Marion, Ohio",Confirmed (per 100k),424.01,28.97,0.07,2.52,5,4,9,1
"Wilcox, Georgia",Confirmed (per 100k),393.75,44.67,0.11,2.67,5,4,9,-1
"Pickaway, Ohio",Confirmed (per 100k),335.29,33.48,0.10,2.39,5,4,9,2
"Moore, Texas",Confirmed (per 100k),281.76,29.34,0.10,2.69,5,4,9,2
"Fluvanna, Virginia",Confirmed (per 100k),234.69,26.19,0.11,2.37,5,4,9,2
"DeKalb, Indiana",Confirmed (per 100k),138.01,18.40,0.13,2.11,5,4,9,-1
"Colonial Heights, Virginia",Confirmed (per 100k),103.63,13.16,0.13,2.28,5,4,9,-1
"Washington, Colorado",Confirmed (per 100k),101.87,11.64,0.11,2.93,5,4,9,4
"Franklin, Nebraska",Confirmed (per 100k),100.70,14.39,0.14,2.64,5,4,9,-1
"Stanton, Kansas",Confirmed (per 100k),99.70,14.24,0.14,2.06,5,4,9,-1
"Coryell, Texas",Confirmed (per 100k),92.16,9.03,0.10,2.98,5,4,9,3
"Perquimans, North Carolina",Confirmed (per 100k),89.13,10.61,0.12,2.20,5,4,9,3
"Dawson, Nebraska",Confirmed (per 100k),89.00,10.29,0.12,2.45,5,4,9,-1
