location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Marion, Ohio",39101,Confirmed (per 100k),1510.147,84.714,0.056096,1.733,5,5,10,1
"Butler, Kentucky",21031,Confirmed (per 100k),481.404,54.352,0.113,1.724,5,5,10,1
"Golden Valley, Montana",30037,Confirmed (per 100k),365.408,52.201,0.143,1.710,5,5,10,2
"Jackson, Kentucky",21109,Confirmed (per 100k),322.605,42.871,0.133,1.850,5,5,10,0
"Ford, Kansas",20057,Confirmed (per 100k),318.272,34.844,0.109,1.469,5,5,10,0
"Moniteau, Missouri",29135,Confirmed (per 100k),223.159,13.283,0.059524,1.990,5,5,10,10
"Nobles, Minnesota",27105,Confirmed (per 100k),166.443,7.265,0.043651,1.131,5,5,10,2
"Seward, Kansas",20175,Confirmed (per 100k),163.338,14.000,0.085714,1.743,5,5,10,4
"Dakota, Nebraska",31043,Confirmed (per 100k),109.857,6.420,0.058442,1.000,5,5,10,1
"Bremer, Iowa",19017,Confirmed (per 100k),103.743,11.970,0.115,1.643,5,5,10,3
"Tyrrell, North Carolina",37177,Confirmed (per 100k),99.602,14.229,0.143,1.885,5,5,10,0
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,1.932,5,5,10,7
"Smith, Kansas",20183,Confirmed (per 100k),55.819,7.974,0.143,1.357,5,5,10,1
"Putnam, Ohio",39137,Confirmed (per 100k),41.346,5.063,0.122,1.120,5,5,10,2
"Lincoln, Arkansas",5079,Confirmed (per 100k),844.595,91.041,0.108,2.544,5,4,9,1
"Pickaway, Ohio",39129,Confirmed (per 100k),516.619,51.075,0.098865,2.656,5,4,9,0
"Wayne, North Carolina",37191,Confirmed (per 100k),306.990,22.508,0.073318,2.222,5,4,9,2
"Wayne, West Virginia",54099,Confirmed (per 100k),190.346,20.666,0.109,2.972,5,4,9,-1
"Caddo, Oklahoma",40015,Confirmed (per 100k),166.887,19.867,0.119,2.549,5,4,9,-1
"Habersham, Georgia",13137,Confirmed (per 100k),158.842,16.073,0.101,2.519,5,4,9,1
"Stanton, Kansas",20187,Confirmed (per 100k),149.551,21.364,0.143,2.409,5,4,9,0
"LaPorte, Indiana",18091,Confirmed (per 100k),121.942,12.740,0.104,2.587,5,4,9,4
"Graves, Kentucky",21083,Confirmed (per 100k),110.020,8.817,0.080139,2.773,5,4,9,0
"Walworth, South Dakota",46129,Confirmed (per 100k),91.996,13.142,0.143,2.409,5,4,9,-1
"Armstrong, Texas",48011,Confirmed (per 100k),52.994,7.571,0.143,2.409,5,4,9,-1
"Lee, North Carolina",37105,Confirmed (per 100k),48.560,5.781,0.119,2.883,5,4,9,3
"Owsley, Kentucky",21189,Confirmed (per 100k),45.300,6.471,0.143,2.409,5,4,9,-1
"Montmorency, Michigan",26119,Confirmed (per 100k),42.882,4.594,0.107,1.475,4,5,9,0
"Norman, Minnesota",27107,Confirmed (per 100k),31.373,4.482,0.143,1.000,4,5,9,0
"Union, Illinois",17181,Confirmed (per 100k),30.025,3.431,0.114,1.357,4,5,9,0
"Saline, Nebraska",31151,Confirmed (per 100k),28.121,3.013,0.107,0.756,4,5,9,0
"Garrard, Kentucky",21079,Confirmed (per 100k),16.982,2.426,0.143,1.239,4,5,9,0
"Pondera, Montana",30073,Confirmed (per 100k),16.918,2.417,0.143,1.710,4,5,9,0
"Lincoln, Kentucky",21137,Confirmed (per 100k),16.294,2.328,0.143,1.534,4,5,9,2
"Knox, Kentucky",21121,Confirmed (per 100k),12.843,1.835,0.143,1.534,4,5,9,2
"Yoakum, Texas",48501,Confirmed (per 100k),11.477,1.640,0.143,1.710,4,5,9,0
"Livingston, Kentucky",21139,Confirmed (per 100k),10.877,1.554,0.143,1.710,4,5,9,0
"Nome, Alaska",2180,Confirmed (per 100k),9.996,1.428,0.143,1.710,4,5,9,0
"Benton, Minnesota",27009,Confirmed (per 100k),9.783,1.048,0.107,1.943,4,5,9,9
"Alcona, Michigan",26001,Confirmed (per 100k),9.611,1.373,0.143,1.710,4,5,9,0
"Washita, Oklahoma",40149,Confirmed (per 100k),9.161,1.309,0.143,1.710,4,5,9,0
"Mingo, West Virginia",54059,Confirmed (per 100k),8.538,1.220,0.143,1.710,4,5,9,2
"Moore, Texas",48341,Confirmed (per 100k),472.779,36.840,0.077922,3.325,5,3,8,-1
"Wilcox, Georgia",13315,Confirmed (per 100k),463.231,51.286,0.111,3.622,5,3,8,-1
"Harrisonburg, Virginia",51660,Confirmed (per 100k),439.490,42.305,0.096260,3.066,5,3,8,1
"Adair, Kentucky",21001,Confirmed (per 100k),244.766,29.015,0.119,3.267,5,3,8,-2
"Fluvanna, Virginia",51065,Confirmed (per 100k),242.024,25.145,0.104,3.874,5,3,8,-1
"Marshall, Iowa",19127,Confirmed (per 100k),210.826,19.958,0.094664,3.498,5,3,8,1
"Noxubee, Mississippi",28103,Confirmed (per 100k),191.994,19.199,0.100000,3.206,5,3,8,1
"Crawford, Michigan",26039,Confirmed (per 100k),185.330,17.311,0.093407,3.843,5,3,8,1
"Panola, Texas",48365,Confirmed (per 100k),163.835,16.014,0.097744,3.615,5,3,8,0
"Lawrence, Arkansas",5075,Confirmed (per 100k),152.383,13.061,0.085714,3.802,5,3,8,4
"DeKalb, Indiana",18033,Confirmed (per 100k),138.010,18.073,0.131,3.549,5,3,8,-1
"Wicomico, Maryland",24045,Confirmed (per 100k),133.193,10.341,0.077640,3.913,5,3,8,0
"Colonial Heights, Virginia",51570,Confirmed (per 100k),132.412,12.337,0.093168,3.894,5,3,8,-1
"Sanborn, South Dakota",46111,Confirmed (per 100k),127.986,18.284,0.143,3.106,5,3,8,-2
"Dawson, Nebraska",31047,Confirmed (per 100k),127.146,12.715,0.100000,3.239,5,3,8,-1
"Black Hawk, Iowa",19013,Confirmed (per 100k),126.497,11.213,0.088640,3.410,5,3,8,0
"Bibb, Georgia",13021,Confirmed (per 100k),125.360,12.312,0.098214,3.286,5,3,8,3
"Crawford, Georgia",13079,Confirmed (per 100k),104.805,11.517,0.110,3.245,5,3,8,0
"Polk, Nebraska",31143,Confirmed (per 100k),95.914,8.221,0.085714,3.106,5,3,8,0
"Walker, Texas",48471,Confirmed (per 100k),93.188,10.180,0.109,3.053,5,3,8,2
"Perquimans, North Carolina",37143,Confirmed (per 100k),89.133,9.550,0.107,3.956,5,3,8,-1
"Daviess, Indiana",18027,Confirmed (per 100k),86.954,7.710,0.088670,3.995,5,3,8,0
"Motley, Texas",48345,Confirmed (per 100k),83.333,11.905,0.143,3.106,5,3,8,-2
"Towns, Georgia",13281,Confirmed (per 100k),83.077,8.308,0.100000,3.901,5,3,8,0
"Butler, Alabama",1013,Confirmed (per 100k),82.271,9.549,0.116,3.106,5,3,8,1
"Brown, Wisconsin",55009,Confirmed (per 100k),77.114,6.750,0.087535,3.718,5,3,8,2
"Hyde, South Dakota",46069,Confirmed (per 100k),76.864,10.981,0.143,3.106,5,3,8,-2
"Brunswick, Virginia",51025,Confirmed (per 100k),73.933,7.041,0.095238,3.715,5,3,8,-1
"Hancock, Georgia",13141,Confirmed (per 100k),70.947,8.446,0.119,3.941,5,3,8,0
"Hancock, Kentucky",21091,Confirmed (per 100k),68.792,6.552,0.095238,3.454,5,3,8,3
"Charlotte, Virginia",51037,Confirmed (per 100k),67.340,7.215,0.107,3.686,5,3,8,1
"Musselshell, Montana",30065,Confirmed (per 100k),64.753,6.167,0.095238,3.454,5,3,8,8
"Buchanan, Virginia",51027,Confirmed (per 100k),57.132,7.482,0.131,3.043,5,3,8,-2
"Lake, Tennessee",47095,Confirmed (per 100k),57.013,8.145,0.143,3.106,5,3,8,-2
"Ballard, Kentucky",21007,Confirmed (per 100k),50.710,5.433,0.107,3.106,5,3,8,-1
"Kewaunee, Wisconsin",55061,Confirmed (per 100k),39.150,4.894,0.125,2.708,4,4,8,0
"Jeff Davis, Georgia",13161,Confirmed (per 100k),33.080,3.781,0.114,2.060,4,4,8,3
"Rock, Minnesota",27133,Confirmed (per 100k),32.206,4.601,0.143,2.642,4,4,8,1
"Trigg, Kentucky",21221,Confirmed (per 100k),27.302,3.900,0.143,2.409,4,4,8,-1
"Salem, Virginia",51775,Confirmed (per 100k),23.714,2.823,0.119,2.270,4,4,8,1
"Knott, Kentucky",21119,Confirmed (per 100k),20.262,1.930,0.095238,2.060,4,4,8,2
"Evans, Georgia",13109,Confirmed (per 100k),18.772,2.682,0.143,2.758,4,4,8,-1
"Carter, Kentucky",21043,Confirmed (per 100k),18.659,2.132,0.114,2.932,4,4,8,1
"Johnston, Oklahoma",40069,Confirmed (per 100k),18.042,2.577,0.143,2.409,4,4,8,-1
"Washington, Missouri",29221,Confirmed (per 100k),16.175,1.733,0.107,2.409,4,4,8,3
"Johnson, Illinois",17087,Confirmed (per 100k),16.107,2.301,0.143,2.409,4,4,8,-1
"Freestone, Texas",48161,Confirmed (per 100k),15.215,0.725,0.047619,1.710,3,5,8,0
"Floyd, Kentucky",21071,Confirmed (per 100k),11.239,1.204,0.107,2.642,4,4,8,8
"McDonough, Illinois",17109,Confirmed (per 100k),10.107,1.444,0.143,2.874,4,4,8,1
"Cooke, Texas",48097,Confirmed (per 100k),9.695,1.039,0.107,2.642,4,4,8,2
"Duval, Texas",48131,Confirmed (per 100k),8.963,1.280,0.143,2.409,4,4,8,-1
"Rowan, Kentucky",21205,Confirmed (per 100k),8.177,1.168,0.143,2.060,4,4,8,2
"Wilbarger, Texas",48487,Confirmed (per 100k),7.831,1.119,0.143,2.409,4,4,8,-1
"Clay, Illinois",17025,Confirmed (per 100k),7.585,1.084,0.143,2.409,4,4,8,-1
"Morgan, Kentucky",21175,Confirmed (per 100k),7.514,1.073,0.143,2.409,4,4,8,-1
"Alpena, Michigan",26007,Confirmed (per 100k),7.041,1.006,0.143,2.758,4,4,8,2
"Casey, Kentucky",21045,Confirmed (per 100k),6.189,0.884,0.143,1.710,3,5,8,0
"Bosque, Texas",48035,Confirmed (per 100k),5.352,0.765,0.143,1.710,3,5,8,0
"Lincoln, West Virginia",54043,Confirmed (per 100k),4.900,0.700,0.143,1.710,3,5,8,0
"Louisa, Iowa",19115,Confirmed (per 100k),1603.987,146.288,0.091203,5.013,5,2,7,-2
"Minnehaha, South Dakota",46099,Confirmed (per 100k),660.681,59.544,0.090125,4.417,5,2,7,-1
"Hall, Nebraska",31079,Confirmed (per 100k),656.855,30.503,0.046437,6.817,5,2,7,0
"Upson, Georgia",13293,Confirmed (per 100k),645.897,62.419,0.096639,4.050,5,2,7,-1
"McKinley, New Mexico",35031,Confirmed (per 100k),498.830,30.426,0.060995,5.762,5,2,7,0
"Bienville, Louisiana",22013,Confirmed (per 100k),490.899,33.446,0.068132,5.952,5,2,7,1
"Morgan, Colorado",8087,Confirmed (per 100k),464.428,38.334,0.082540,4.870,5,2,7,0
"Tallapoosa, Alabama",1123,Confirmed (per 100k),443.432,37.867,0.085395,5.009,5,2,7,0
"Wilcox, Alabama",1131,Confirmed (per 100k),433.819,30.298,0.069841,6.863,5,2,7,0
"Providence, Rhode Island",44007,Confirmed (per 100k),423.050,39.083,0.092384,4.341,5,2,7,0
"Berks, Pennsylvania",42011,Confirmed (per 100k),415.040,27.712,0.066770,6.989,5,2,7,0
"Muscatine, Iowa",19139,Confirmed (per 100k),412.526,27.792,0.067370,6.788,5,2,7,0
"Sussex, Delaware",10005,Confirmed (per 100k),378.269,28.971,0.076588,5.841,5,2,7,0
"Scott, Mississippi",28123,Confirmed (per 100k),376.902,26.922,0.071429,6.252,5,2,7,0
"Hinsdale, Colorado",8053,Confirmed (per 100k),365.854,34.843,0.095238,5.538,5,2,7,0
"Macon, Georgia",13193,Confirmed (per 100k),363.018,31.999,0.088146,5.694,5,2,7,-1
"Johnson, Georgia",13167,Confirmed (per 100k),342.217,26.666,0.077922,5.422,5,2,7,1
"Marion, Georgia",13197,Confirmed (per 100k),311.042,25.635,0.082418,4.497,5,2,7,0
"Lincoln, Mississippi",28085,Confirmed (per 100k),298.656,22.587,0.075630,5.474,5,2,7,0
"Hall, Georgia",13139,Confirmed (per 100k),296.907,21.871,0.073664,5.308,5,2,7,1
"Columbia, Pennsylvania",42037,Confirmed (per 100k),283.234,18.692,0.065994,6.873,5,2,7,0
"Leake, Mississippi",28079,Confirmed (per 100k),280.874,23.824,0.084821,4.478,5,2,7,0
"Lowndes, Alabama",1085,Confirmed (per 100k),277.606,19.095,0.068783,6.632,5,2,7,0
"Juniata, Pennsylvania",42067,Confirmed (per 100k),266.527,19.038,0.071429,6.453,5,2,7,0
"Saline, Missouri",29195,Confirmed (per 100k),263.609,21.967,0.083333,4.417,5,2,7,-2
"St. Francis, Arkansas",5123,Confirmed (per 100k),256.061,18.290,0.071429,6.427,5,2,7,1
"Calhoun, Mississippi",28013,Confirmed (per 100k),250.679,18.900,0.075397,5.848,5,2,7,0
"Pike, Mississippi",28113,Confirmed (per 100k),246.895,19.635,0.079529,5.666,5,2,7,0
"Smith, Mississippi",28129,Confirmed (per 100k),245.036,18.849,0.076923,6.777,5,2,7,0
"Baldwin, Georgia",13009,Confirmed (per 100k),242.816,24.504,0.101,4.271,5,2,7,-1
"Goochland, Virginia",51075,Confirmed (per 100k),231.550,15.637,0.067532,6.792,5,2,7,1
"Stewart, Georgia",13259,Confirmed (per 100k),226.552,15.103,0.066667,5.488,5,2,7,0
"Red River, Louisiana",22081,Confirmed (per 100k),225.065,18.614,0.082707,5.380,5,2,7,0
"Randolph, Alabama",1111,Confirmed (per 100k),224.452,18.233,0.081232,6.579,5,2,7,0
