location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Quitman, Georgia",13239,Deaths (per 100k),43.497,6.214,0.143,1.710,5,5,10,0
"Coffey, Kansas",20031,Deaths (per 100k),73.359,8.733,0.119,2.549,5,4,9,2
"Bienville, Louisiana",22013,Deaths (per 100k),67.971,8.631,0.127,2.584,5,4,9,-1
"Upson, Georgia",13293,Deaths (per 100k),30.395,4.342,0.143,1.973,4,5,9,1
"Seminole, Georgia",13253,Deaths (per 100k),24.722,3.532,0.143,1.710,4,5,9,1
"Crosby, Texas",48107,Deaths (per 100k),17.431,2.490,0.143,1.710,4,5,9,0
"Adair, Kentucky",21001,Deaths (per 100k),15.623,2.232,0.143,1.475,4,5,9,0
"Oconee, Georgia",13219,Deaths (per 100k),14.896,1.773,0.119,1.990,4,5,9,9
"Suwannee, Florida",12121,Deaths (per 100k),13.508,1.608,0.119,1.990,4,5,9,1
"San Juan, New Mexico",35045,Deaths (per 100k),11.294,1.498,0.133,1.979,4,5,9,0
"Blackford, Indiana",18009,Deaths (per 100k),8.505,1.215,0.143,1.710,4,5,9,0
"Screven, Georgia",13251,Deaths (per 100k),7.160,1.023,0.143,1.710,4,5,9,0
"Thomas, Georgia",13275,Deaths (per 100k),31.495,3.535,0.112,2.600,4,4,8,0
"Newton, Indiana",18111,Deaths (per 100k),28.604,3.065,0.107,2.642,4,4,8,2
"Turner, Georgia",13287,Deaths (per 100k),25.047,1.789,0.071429,2.409,4,4,8,-1
"Lyon, Kentucky",21143,Deaths (per 100k),24.361,3.480,0.143,2.409,4,4,8,-1
"St. Mary, Louisiana",22101,Deaths (per 100k),22.291,2.316,0.104,2.147,4,4,8,-1
"Monroe, Illinois",17133,Deaths (per 100k),20.210,2.062,0.102,2.549,4,4,8,0
"Adams, Mississippi",28001,Deaths (per 100k),19.548,1.862,0.095238,2.409,4,4,8,-1
"Butler, Kentucky",21031,Deaths (per 100k),15.529,1.109,0.071429,2.409,4,4,8,-1
"Kit Carson, Colorado",8063,Deaths (per 100k),14.090,2.013,0.143,2.409,4,4,8,-1
"Major, Oklahoma",40093,Deaths (per 100k),13.108,1.873,0.143,2.409,4,4,8,-1
"Lee, Arkansas",5077,Deaths (per 100k),11.291,1.613,0.143,2.409,4,4,8,-1
"Allen, Ohio",39003,Deaths (per 100k),10.747,1.117,0.104,2.235,4,4,8,2
"Wayne, Ohio",39169,Deaths (per 100k),10.371,1.358,0.131,2.916,4,4,8,-1
"Twin Falls, Idaho",16083,Deaths (per 100k),10.359,1.151,0.111,2.808,4,4,8,0
"Franklin, North Carolina",37069,Deaths (per 100k),10.045,1.025,0.102,2.270,4,4,8,2
"Washington, Ohio",39167,Deaths (per 100k),10.015,1.192,0.119,2.130,4,4,8,-1
"Lanier, Georgia",13173,Deaths (per 100k),9.594,1.371,0.143,2.409,4,4,8,-1
"Coosa, Alabama",1037,Deaths (per 100k),9.378,1.340,0.143,2.409,4,4,8,-1
"Rowan, North Carolina",37159,Deaths (per 100k),8.445,1.005,0.119,2.200,4,4,8,1
"Granville, North Carolina",37077,Deaths (per 100k),8.272,0.945,0.114,1.000,3,5,8,1
"Cibola, New Mexico",35006,Deaths (per 100k),7.498,1.071,0.143,2.060,4,4,8,2
"Grundy, Tennessee",47061,Deaths (per 100k),7.448,1.064,0.143,2.409,4,4,8,-1
"Bradford, Florida",12007,Deaths (per 100k),7.092,1.013,0.143,2.060,4,4,8,2
"Caddo, Oklahoma",40015,Deaths (per 100k),6.954,0.993,0.143,1.357,3,5,8,0
"Arlington, Virginia",51013,Deaths (per 100k),6.756,0.844,0.125,1.710,3,5,8,8
"Clayton, Iowa",19043,Deaths (per 100k),5.698,0.814,0.143,1.710,3,5,8,0
"Dallas, Alabama",1047,Deaths (per 100k),5.377,0.768,0.143,1.710,3,5,8,0
