Region,Metric,Date,Value
Alabama,Confirmed,2020-03-11T04:00:00Z,5
Alabama,Confirmed,2020-03-12T04:00:00Z,5
Alabama,Confirmed,2020-03-13T04:00:00Z,5
Alabama,Confirmed,2020-03-14T04:00:00Z,6
Alabama,Confirmed,2020-03-15T04:00:00Z,12
Alabama,Confirmed,2020-03-16T04:00:00Z,29
Alabama,Confirmed,2020-03-17T04:00:00Z,39
Alabama,Confirmed,2020-03-18T04:00:00Z,46
Alabama,Confirmed,2020-03-19T04:00:00Z,78
Alabama,Confirmed,2020-03-20T04:00:00Z,83
Alabama,Confirmed,2020-03-21T04:00:00Z,131
Alabama,Confirmed,2020-03-22T04:00:00Z,157
Alabama,Confirmed,2020-03-23T04:00:00Z,196
Alabama,Confirmed,2020-03-24T04:00:00Z,242
Alabama,Confirmed,2020-03-25T04:00:00Z,381
Alabama,Confirmed,2020-03-26T04:00:00Z,517
Alabama,Confirmed,2020-03-27T04:00:00Z,587
Alabama,Confirmed,2020-03-28T04:00:00Z,694
Alabama,Confirmed,2020-03-29T04:00:00Z,825
Alabama,Confirmed,2020-03-30T04:00:00Z,899
Alabama,Confirmed,2020-03-31T04:00:00Z,987
Alabama,Confirmed,2020-04-01T04:00:00Z,1060
Alabama,Confirmed,2020-04-02T04:00:00Z,1233
Alabama,Confirmed,2020-04-03T04:00:00Z,1495
Alabama,Confirmed,2020-04-04T04:00:00Z,1614
Alabama,Confirmed,2020-04-05T04:00:00Z,1765
Alabama,Confirmed,2020-04-06T04:00:00Z,1952
Alabama,Confirmed,2020-04-07T04:00:00Z,2169
Alabama,Confirmed,2020-04-08T04:00:00Z,2328
Alabama,Confirmed,2020-04-09T04:00:00Z,2703
Alabama,Confirmed,2020-04-10T04:00:00Z,2947
Alabama,Confirmed,2020-04-11T04:00:00Z,3217
Alabama,Confirmed,2020-04-12T04:00:00Z,3563
Alabama,Confirmed,2020-04-13T04:00:00Z,3734
Alabama,Confirmed,2020-04-14T04:00:00Z,3953
Alabama,Confirmed,2020-04-15T04:00:00Z,4075
Alabama,Confirmed,2020-04-16T04:00:00Z,4345
Alabama,Confirmed,2020-04-17T04:00:00Z,4571
Alabama,Confirmed,2020-04-18T04:00:00Z,4712
Alabama,Confirmed (per 100k),2020-03-11T04:00:00Z,0.102
Alabama,Confirmed (per 100k),2020-03-12T04:00:00Z,0.102
