FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-10-18 04:21:10,33.93911,67.709953,155764,7243,,,Afghanistan,400.1300748983883,4.649983308081457
,,,Albania,2021-10-18 04:21:10,41.1533,20.1683,177971,2820,,,Albania,6184.272708318855,1.5845278163296268
,,,Algeria,2021-10-18 04:21:10,28.0339,1.6596,205286,5872,,,Algeria,468.1439390164562,2.8603996375787926
,,,Andorra,2021-10-18 04:21:10,42.5063,1.5218,15338,130,,,Andorra,19851.161586746908,0.8475681314382579
,,,Angola,2021-10-18 04:21:10,-11.2027,17.8739,62842,1664,,,Angola,191.20515904026584,2.6479106330161355
,,,Antigua and Barbuda,2021-10-18 04:21:10,17.0608,-61.7964,3888,95,,,Antigua and Barbuda,3970.2638673311,2.4434156378600824
,,,Argentina,2021-10-18 04:21:10,-38.4161,-63.6167,5272551,115666,,,Argentina,11666.025788205832,2.193738856200727
,,,Armenia,2021-10-18 04:21:10,40.0691,45.0382,281991,5778,,,Armenia,9516.325744102558,2.049001563879698
,,Australian Capital Territory,Australia,2021-10-18 04:21:10,-35.4735,149.0124,1588,11,,,"Australian Capital Territory, Australia",370.94136883905634,0.6926952141057935
,,New South Wales,Australia,2021-10-18 04:21:10,-33.8688,151.2093,71658,529,,,"New South Wales, Australia",882.7050997782706,0.7382288090652823
,,Northern Territory,Australia,2021-10-18 04:21:10,-12.4634,130.8456,225,0,,,"Northern Territory, Australia",91.61237785016287,0.0
,,Queensland,Australia,2021-10-18 04:21:10,-27.4698,153.0251,2071,7,,,"Queensland, Australia",40.48480109471215,0.3380009657170449
,,South Australia,Australia,2021-10-18 04:21:10,-34.9285,138.6007,915,4,,,"South Australia, Australia",52.09222886421862,0.4371584699453552
,,Tasmania,Australia,2021-10-18 04:21:10,-42.8821,147.3272,237,13,,,"Tasmania, Australia",44.25770308123249,5.485232067510548
,,Victoria,Australia,2021-10-18 04:21:10,-37.8136,144.9631,67457,970,,,"Victoria, Australia",1017.4663267922592,1.4379530663978535
,,Western Australia,Australia,2021-10-18 04:21:10,-31.9505,115.8605,1112,9,,,"Western Australia, Australia",42.2717250817304,0.8093525179856115
,,,Austria,2021-10-18 04:21:10,47.5162,14.5501,775782,11167,,,Austria,8613.67472019897,1.4394507735420519
,,,Azerbaijan,2021-10-18 04:21:10,40.1431,47.5769,502207,6765,,,Azerbaijan,4953.13474715645,1.347054103188526
,,,Bahamas,2021-10-18 04:21:10,25.025885,-78.035889,21580,590,,,Bahamas,5487.631214907641,2.7340129749768303
,,,Bahrain,2021-10-18 04:21:10,26.0275,50.55,276118,1391,,,Bahrain,16227.124977153628,0.5037701272644304
,,,Bangladesh,2021-10-18 04:21:10,23.685,90.3563,1565488,27768,,,Bangladesh,950.5700801611481,1.7737600032705456
,,,Barbados,2021-10-18 04:21:10,13.1939,-59.5432,12968,119,,,Barbados,4512.633494681092,0.917643429981493
,,,Belarus,2021-10-18 04:21:10,53.7098,27.9534,571987,4402,,,Belarus,6053.207420935323,0.7695979104420205
,,Antwerp,Belgium,2021-10-18 04:21:10,51.2195,4.4024,168222,0,,,"Antwerp, Belgium",9053.997177589066,0.0
,,Brussels,Belgium,2021-10-18 04:21:10,50.8503,4.3517,173552,0,,,"Brussels, Belgium",14360.444237767493,0.0
,,East Flanders,Belgium,2021-10-18 04:21:10,51.0362,3.7373,143363,0,,,"East Flanders, Belgium",9462.504554263054,0.0
,,Flemish Brabant,Belgium,2021-10-18 04:21:10,50.9167,4.5833,103133,0,,,"Flemish Brabant, Belgium",8998.015137304514,0.0
,,Hainaut,Belgium,2021-10-18 04:21:10,50.5257,4.0621,176918,0,,,"Hainaut, Belgium",13161.181663109517,0.0
