Region,Nation,Model,Metric,Forecast Date,Peak Day,Peak Value,May 1,June 1,July 1,May 1 Total,June 1 Total,July 1 Total,Total,Curve,Parameters,k,First Fit Day,Last Fit Day,SE Totals,SE Deltas
Alabama,US,Gompertz21,Deaths,2020-04-26,2020-04-06,6.7,0.9,0.0,0.0,147,155,155,155,Gompertz,154.78616831054688; 0.11795432950612005; 12.355217594053032,0.118,2020-03-22,2020-04-11,3.3,4.1
Alabama,US,Gompertz21,Deaths,2020-04-26,2020-04-21,10.1,9.1,2.9,0.6,280,458,504,516,Gompertz,516.1990304732961; 0.0529898018328813; 27.771987471842564,0.053,2020-03-29,2020-04-18,3.8,4.8
Alabama,US,Gompertz21,Deaths,2020-04-26,2020-04-19,9.5,8.0,2.1,0.4,268,414,446,453,Gompertz,453.0490277313252; 0.05703912899280132; 25.660458488000657,0.057,2020-04-05,2020-04-25,4.3,5.5
Alaska,US,Gompertz21,Deaths,2020-04-26,2020-04-04,0.5,0.1,0.0,0.0,13,13,14,14,Gompertz,13.52008928840614; 0.09757393042023083; 10.60949745795005,0.098,2020-03-22,2020-04-11,0.5,0.6
Alaska,US,Gompertz21,Deaths,2020-04-26,2020-04-04,0.4,0.1,0.0,0.0,12,12,13,13,Gompertz,12.535254313604689; 0.09746529744242954; 10.0,0.097,2020-03-29,2020-04-18,0.5,0.6
Alaska,US,Gompertz21,Deaths,2020-04-26,2020-04-04,0.7,0.0,0.0,0.0,10,10,10,10,Gompertz,10.0; 0.18937333896729378; 10.0,0.189,2020-04-05,2020-04-25,0.6,0.4
Arizona,US,Gompertz21,Deaths,2020-04-26,2020-04-11,8.8,4.2,0.5,0.0,246,300,306,306,Gompertz,306.12152961986635; 0.07827824851275955; 21.617082668407193,0.078,2020-03-22,2020-04-11,2.2,2.4
Arizona,US,Gompertz21,Deaths,2020-04-26,2020-04-16,10.0,7.2,1.4,0.2,289,404,423,427,Gompertz,426.5246580958359; 0.06344185398129484; 26.18709918649509,0.063,2020-03-29,2020-04-18,3.3,3.2
Arizona,US,Gompertz21,Deaths,2020-04-26,2020-04-30,14.1,14.1,8.3,3.1,354,719,880,960,Gompertz,960.1561350563069; 0.04; 40.96621474837191,0.040,2020-04-05,2020-04-25,5.2,4.6
Arkansas,US,Gompertz21,Deaths,2020-04-26,2020-04-04,1.5,0.2,0.0,0.0,36,38,38,38,Gompertz,38.3577875035376; 0.10297828866196732; 11.219205689421937,0.103,2020-03-22,2020-04-11,0.7,1.1
Arkansas,US,Gompertz21,Deaths,2020-04-26,2020-04-21,2.2,2.0,0.7,0.2,67,108,120,125,Gompertz,124.79789099861988; 0.04708163326336391; 28.085558254620896,0.047,2020-03-29,2020-04-18,0.9,1.2
Arkansas,US,Gompertz21,Deaths,2020-04-26,2020-04-10,1.9,0.8,0.1,0.0,53,63,64,64,Gompertz,64.05623859450768; 0.08159380867637349; 17.10395950835269,0.082,2020-04-05,2020-04-25,1.1,1.2
California,US,Gompertz21,Deaths,2020-04-26,2020-04-19,60.8,52.6,15.8,3.5,1791,2797,3044,3110,Gompertz,3110.104136128177; 0.05318301947139731; 40.82638094657027,0.053,2020-03-22,2020-04-11,9.5,10.4
California,US,Gompertz21,Deaths,2020-04-26,2020-05-01,92.9,92.8,56.3,20.9,2232,4673,5767,6314,Gompertz,6314.30216604673; 0.04; 52.97751193778848,0.040,2020-03-29,2020-04-18,22.0,16.3
California,US,Gompertz21,Deaths,2020-04-26,2020-05-02,93.5,93.5,56.8,21.1,2236,4698,5804,6357,Gompertz,6357.347755081758; 0.04; 53.09816001865244,0.040,2020-04-05,2020-04-25,27.1,24.6
Colorado,US,Gompertz21,Deaths,2020-04-26,2020-04-11,20.1,10.1,1.2,0.1,568,701,715,717,Gompertz,716.9422479078448; 0.07611209693663099; 28.849420642872857,0.076,2020-03-22,2020-04-11,5.4,8.2
Colorado,US,Gompertz21,Deaths,2020-04-26,2020-04-11,20.8,9.4,0.9,0.1,574,692,703,704,Gompertz,703.726094412814; 0.08047218260877756; 28.264016116185143,0.080,2020-03-29,2020-04-18,7.9,10.1
Colorado,US,Gompertz21,Deaths,2020-04-26,2020-05-01,34.2,34.2,20.5,7.6,838,1731,2128,2326,Gompertz,2326.230680084714; 0.04; 48.52095263982667,0.040,2020-04-05,2020-04-25,28.3,24.8
Connecticut,US,Gompertz21,Deaths,2020-04-26,2020-05-01,148.3,148.2,70.9,18.8,2902,6501,7703,8091,Gompertz,8090.87723872738; 0.04982258559395131; 43.501351200198606,0.050,2020-03-22,2020-04-11,8.0,10.8
Connecticut,US,Gompertz21,Deaths,2020-04-26,2020-05-01,147.7,147.7,71.6,19.2,2874,6483,7703,8101,Gompertz,8101.184009393643; 0.049578431845219643; 43.719970667231244,0.050,2020-03-29,2020-04-18,26.0,30.6
Connecticut,US,Gompertz21,Deaths,2020-04-26,2020-04-25,114.8,110.3,33.8,6.5,2553,4749,5254,5367,Gompertz,5367.305158910793; 0.058165872075944376; 37.89514993410993,0.058,2020-04-05,2020-04-25,32.0,39.7
Delaware,US,Gompertz21,Deaths,2020-04-26,2020-05-05,6.3,6.2,4.1,1.6,131,303,384,426,Gompertz,425.9374316699135; 0.04; 40.04432614395591,0.040,2020-03-22,2020-04-11,2.3,2.1
Delaware,US,Gompertz21,Deaths,2020-04-26,2020-05-07,8.4,8.1,5.9,2.3,157,392,509,569,Gompertz,569.1899641859846; 0.04; 42.358811971821986,0.040,2020-03-29,2020-04-18,2.3,2.1
Delaware,US,Gompertz21,Deaths,2020-04-26,2020-05-04,7.7,7.6,4.7,1.6,153,358,446,484,Gompertz,483.674293014713; 0.043290093571264364; 39.285632088834866,0.043,2020-04-05,2020-04-25,2.3,2.8
District of Columbia,US,Gompertz21,Deaths,2020-04-26,2020-05-07,11.9,11.4,8.4,3.3,218,553,720,807,Gompertz,807.3270064318134; 0.04; 48.7552832742762,0.040,2020-03-22,2020-04-11,1.7,1.8
District of Columbia,US,Gompertz21,Deaths,2020-04-26,2020-05-08,13.6,12.9,9.8,3.9,238,625,823,927,Gompertz,926.7762051986241; 0.04; 49.69836743763718,0.040,2020-03-29,2020-04-18,2.4,2.9
District of Columbia,US,Gompertz21,Deaths,2020-04-26,2020-05-08,13.3,12.6,9.6,3.8,232,611,805,906,Gompertz,905.992513005075; 0.04; 49.69600066505069,0.040,2020-04-05,2020-04-25,3.4,3.2
Florida,US,Gompertz21,Deaths,2020-04-26,2020-04-15,43.3,29.4,4.9,0.7,1213,1659,1723,1732,Gompertz,1732.4792151223546; 0.06788776107984887; 36.80955038302255,0.068,2020-03-22,2020-04-11,10.5,14.9
Florida,US,Gompertz21,Deaths,2020-04-26,2020-04-19,48.8,40.1,9.5,1.7,1353,2055,2192,2221,Gompertz,2220.8899473354672; 0.059779365808478924; 40.268323851370994,0.060,2020-03-29,2020-04-18,13.3,18.9
Florida,US,Gompertz21,Deaths,2020-04-26,2020-04-18,46.5,37.5,8.7,1.5,1306,1954,2079,2104,Gompertz,2104.318242811475; 0.06010514059239643; 39.69475069779671,0.060,2020-04-05,2020-04-25,15.3,19.7
Georgia,US,Gompertz21,Deaths,2020-04-26,2020-04-23,52.6,49.0,17.4,4.3,1449,2461,2745,2831,Gompertz,2830.993357143382; 0.05047356708723853; 43.06497059403345,0.050,2020-03-22,2020-04-11,14.8,17.8
Georgia,US,Gompertz21,Deaths,2020-04-26,2020-04-12,34.3,19.7,2.9,0.4,1005,1289,1325,1330,Gompertz,1330.4744092327485; 0.070057602769055; 32.83926287671404,0.070,2020-03-29,2020-04-18,19.2,20.5
Georgia,US,Gompertz21,Deaths,2020-04-26,2020-04-18,37.5,31.3,9.0,2.0,1136,1724,1864,1901,Gompertz,1901.2412717004092; 0.05355087772064886; 38.60556733448687,0.054,2020-04-05,2020-04-25,22.7,25.1
Hawaii,US,Gompertz21,Deaths,2020-04-26,2020-04-19,0.9,0.7,0.2,0.0,25,38,40,41,Gompertz,40.528652738731786; 0.06098449820920011; 26.567837374789487,0.061,2020-03-22,2020-04-11,0.6,0.6
Hawaii,US,Gompertz21,Deaths,2020-04-26,2020-04-05,0.7,0.0,0.0,0.0,10,11,11,11,Gompertz,10.542154500532796; 0.1802387860989078; 12.108221112470826,0.180,2020-03-29,2020-04-18,0.6,0.6
Hawaii,US,Gompertz21,Deaths,2020-04-26,2020-04-09,0.5,0.2,0.0,0.0,14,17,18,18,Gompertz,17.611130062665065; 0.06970054358381517; 16.708776504642614,0.070,2020-04-05,2020-04-25,0.7,0.7
Idaho,US,Gompertz21,Deaths,2020-04-26,2020-05-03,4.1,4.1,2.6,1.0,92,204,255,282,Gompertz,281.640246604644; 0.04; 38.85440117495839,0.040,2020-03-22,2020-04-11,1.7,1.3
Idaho,US,Gompertz21,Deaths,2020-04-26,2020-05-05,4.8,4.8,3.2,1.2,101,234,297,329,Gompertz,328.97063345300137; 0.04; 40.06559225871573,0.040,2020-03-29,2020-04-18,2.0,1.8
Idaho,US,Gompertz21,Deaths,2020-04-26,2020-04-11,2.9,0.7,0.0,0.0,61,67,67,67,Gompertz,67.03053962831345; 0.11815443588833335; 16.04080769040267,0.118,2020-04-05,2020-04-25,1.5,1.8
Illinois,US,Gompertz21,Deaths,2020-04-26,2020-05-07,239.3,228.3,162.9,58.9,4003,10686,13836,15291,Gompertz,15291.107888980458; 0.04254531779140267; 51.8809018864153,0.043,2020-03-22,2020-04-11,20.2,31.6
Illinois,US,Gompertz21,Deaths,2020-04-26,2020-04-22,99.9,89.4,23.4,4.2,2508,4152,4492,4564,Gompertz,4564.162625679724; 0.05950991271266047; 36.37759108052479,0.060,2020-03-29,2020-04-18,23.3,35.3
Illinois,US,Gompertz21,Deaths,2020-04-26,2020-04-20,91.6,75.8,16.1,2.5,2351,3629,3850,3889,Gompertz,3888.9464294584723; 0.06406326683007971; 34.282279287633614,0.064,2020-04-05,2020-04-25,29.2,39.3
Indiana,US,Gompertz21,Deaths,2020-04-26,2020-05-11,147.0,132.2,113.8,46.7,2155,6410,8740,9990,Gompertz,9990.436065769463; 0.04; 56.692871921898366,0.040,2020-03-22,2020-04-11,6.2,6.5
Indiana,US,Gompertz21,Deaths,2020-04-26,2020-04-15,35.1,22.2,2.9,0.3,926,1236,1271,1276,Gompertz,1275.7012701897033; 0.07485276240578163; 30.811559826495305,0.075,2020-03-29,2020-04-18,12.1,11.4
Indiana,US,Gompertz21,Deaths,2020-04-26,2020-04-16,34.8,23.4,3.5,0.4,927,1270,1314,1320,Gompertz,1319.780244520111; 0.07160628755250131; 31.451640189240674,0.072,2020-04-05,2020-04-25,15.1,14.0
Iowa,US,Gompertz21,Deaths,2020-04-26,2020-04-06,2.7,0.4,0.0,0.0,59,62,62,62,Gompertz,61.79245301560568; 0.11899075962204918; 12.545273549633016,0.119,2020-03-22,2020-04-11,1.3,1.5
Iowa,US,Gompertz21,Deaths,2020-04-26,2020-05-06,8.4,8.2,5.7,2.2,165,400,514,572,Gompertz,572.186079230467; 0.04; 42.403449339281934,0.040,2020-03-29,2020-04-18,1.9,2.2
Iowa,US,Gompertz21,Deaths,2020-04-26,2020-05-04,7.1,7.1,4.7,1.8,152,347,439,485,Gompertz,485.3473035299028; 0.04; 40.736866123866896,0.040,2020-04-05,2020-04-25,2.2,2.7
Kansas,US,Gompertz21,Deaths,2020-04-26,2020-05-09,17.9,16.7,13.2,5.3,296,808,1076,1217,Gompertz,1217.2995170220795; 0.04; 59.68552210283879,0.040,2020-03-22,2020-04-11,1.5,2.3
Kansas,US,Gompertz21,Deaths,2020-04-26,2020-04-13,5.3,2.9,0.3,0.0,140,177,180,180,Gompertz,180.46138662444304; 0.0804816053059503; 33.951203519796614,0.080,2020-03-29,2020-04-18,2.0,2.9
Kansas,US,Gompertz21,Deaths,2020-04-26,2020-04-13,5.7,2.7,0.2,0.0,142,174,177,177,Gompertz,176.96921328564497; 0.08693427884361433; 33.58755025067632,0.087,2020-04-05,2020-04-25,2.3,3.2
Kentucky,US,Gompertz21,Deaths,2020-04-26,2020-04-13,9.1,4.7,0.5,0.0,243,304,310,310,Gompertz,310.3900850629968; 0.07990690631092218; 28.326750719400067,0.080,2020-03-22,2020-04-11,3.4,5.0
Kentucky,US,Gompertz21,Deaths,2020-04-26,2020-04-09,8.0,2.3,0.1,0.0,194,216,217,217,Gompertz,217.47396194434842; 0.1006518482505899; 24.557244235036226,0.101,2020-03-29,2020-04-18,3.8,5.8
Kentucky,US,Gompertz21,Deaths,2020-04-26,2020-04-20,8.6,7.5,2.3,0.5,253,399,435,445,Gompertz,445.47015153450053; 0.05267046893142837; 35.142039910473486,0.053,2020-04-05,2020-04-25,4.9,6.1
Louisiana,US,Gompertz21,Deaths,2020-04-26,2020-04-09,58.8,25.4,2.7,0.3,1686,2010,2042,2045,Gompertz,2045.038633383964; 0.07813884892805661; 26.94824519346789,0.078,2020-03-22,2020-04-11,7.4,10.7
Louisiana,US,Gompertz21,Deaths,2020-04-26,2020-04-14,65.8,45.0,8.9,1.4,1996,2720,2843,2865,Gompertz,2865.4612622331315; 0.06239368864525282; 31.688179910066506,0.062,2020-03-29,2020-04-18,19.6,20.2
Louisiana,US,Gompertz21,Deaths,2020-04-26,2020-04-18,64.8,54.2,16.6,3.9,2043,3084,3349,3425,Gompertz,3424.819427294472; 0.051403216486776836; 35.14515077866401,0.051,2020-04-05,2020-04-25,27.5,26.3
Maine,US,Gompertz21,Deaths,2020-04-26,2020-04-08,1.4,0.4,0.0,0.0,35,39,39,39,Gompertz,38.99910418491544; 0.09753762469585926; 12.03613920725549,0.098,2020-03-22,2020-04-11,0.8,0.9
Maine,US,Gompertz21,Deaths,2020-04-26,2020-04-27,2.2,2.2,1.1,0.3,59,111,130,138,Gompertz,138.36077188225326; 0.043422621283068; 31.534992211264093,0.043,2020-03-29,2020-04-18,1.2,1.1
Maine,US,Gompertz21,Deaths,2020-04-26,2020-05-02,2.6,2.6,1.6,0.6,63,132,164,179,Gompertz,179.12312763659995; 0.04; 36.049581243856416,0.040,2020-04-05,2020-04-25,1.2,1.3
Maryland,US,Gompertz21,Deaths,2020-04-26,2020-04-30,67.9,67.9,28.1,6.5,1306,2860,3310,3432,Gompertz,3432.255351936638; 0.053791172355753855; 42.362944517986385,0.054,2020-03-22,2020-04-11,3.0,4.2
Maryland,US,Gompertz21,Deaths,2020-04-26,2020-04-15,28.2,14.6,1.1,0.1,672,843,855,856,Gompertz,855.7355424814514; 0.08970480294854584; 27.16302487726081,0.090,2020-03-29,2020-04-18,12.0,15.5
Maryland,US,Gompertz21,Deaths,2020-04-26,2020-05-13,103.4,89.6,82.9,34.8,1370,4379,6096,7030,Gompertz,7030.022180846033; 0.04; 55.29914995155198,0.040,2020-04-05,2020-04-25,25.4,22.1
Massachusetts,US,Gompertz21,Deaths,2020-04-26,2020-05-13,424.7,361.5,345.2,146.0,5380,17751,24932,28864,Gompertz,28863.592234127846; 0.04; 54.968108746184924,0.040,2020-03-22,2020-04-11,12.9,13.7
Massachusetts,US,Gompertz21,Deaths,2020-04-26,2020-04-24,129.0,120.9,34.7,6.5,3015,5343,5854,5966,Gompertz,5966.076502914174; 0.058778528764569606; 35.50083368545725,0.059,2020-03-29,2020-04-18,31.9,50.8
Massachusetts,US,Gompertz21,Deaths,2020-04-26,2020-05-11,286.5,257.1,222.3,91.4,4174,12468,17024,19470,Gompertz,19469.85515445575; 0.04; 52.795499828034664,0.040,2020-04-05,2020-04-25,49.0,73.0
Michigan,US,Gompertz21,Deaths,2020-04-26,2020-04-17,162.4,119.1,21.0,2.9,4372,6230,6506,6549,Gompertz,6548.972350032123; 0.06742250759584235; 29.557280659880625,0.067,2020-03-22,2020-04-11,18.4,20.2
Michigan,US,Gompertz21,Deaths,2020-04-26,2020-04-14,139.5,84.1,10.9,1.2,3778,4945,5078,5094,Gompertz,5094.157271225191; 0.0744348055331881; 26.77723857376376,0.074,2020-03-29,2020-04-18,25.5,36.0
Michigan,US,Gompertz21,Deaths,2020-04-26,2020-04-14,136.8,82.4,10.8,1.2,3722,4869,5001,5018,Gompertz,5017.543363524713; 0.07412812175872797; 26.69582916356078,0.074,2020-04-05,2020-04-25,43.0,47.6
Minnesota,US,Gompertz21,Deaths,2020-04-26,2020-05-06,17.6,17.1,11.5,4.2,326,810,1032,1136,Gompertz,1136.497204639455; 0.04203828819703504; 46.26211809087683,0.042,2020-03-22,2020-04-11,1.8,1.7
Minnesota,US,Gompertz21,Deaths,2020-04-26,2020-05-06,13.7,13.4,9.4,3.6,271,653,838,934,Gompertz,933.8371390189791; 0.04; 46.35048674913635,0.040,2020-03-29,2020-04-18,3.5,4.5
Minnesota,US,Gompertz21,Deaths,2020-04-26,2020-05-11,23.3,21.1,17.8,7.3,350,1022,1386,1581,Gompertz,1580.5645772618118; 0.04; 51.261060757867526,0.040,2020-04-05,2020-04-25,6.6,5.0
Mississippi,US,Gompertz21,Deaths,2020-04-26,2020-04-20,12.0,10.3,2.6,0.5,319,506,545,553,Gompertz,553.2359023507729; 0.05880366385712496; 32.826028800719676,0.059,2020-03-22,2020-04-11,1.6,1.5
Mississippi,US,Gompertz21,Deaths,2020-04-26,2020-04-15,8.7,5.7,0.9,0.1,243,328,340,342,Gompertz,341.5167861389332; 0.06910651349904724; 27.37165906613229,0.069,2020-03-29,2020-04-18,2.8,2.7
Mississippi,US,Gompertz21,Deaths,2020-04-26,2020-04-24,10.4,10.0,4.2,1.2,283,504,575,601,Gompertz,600.8224407075761; 0.046865203593421834; 36.965165134006945,0.047,2020-04-05,2020-04-25,2.5,2.9
Missouri,US,Gompertz21,Deaths,2020-04-26,2020-05-13,65.3,56.8,52.2,21.9,873,2773,3854,4441,Gompertz,4440.702527030263; 0.04; 55.165555182228246,0.040,2020-03-22,2020-04-11,4.1,4.0
Missouri,US,Gompertz21,Deaths,2020-04-26,2020-04-13,12.3,5.5,0.4,0.0,303,366,370,371,Gompertz,370.66469658065427; 0.09015902495940611; 25.205949148163416,0.090,2020-03-29,2020-04-18,5.1,6.0
Missouri,US,Gompertz21,Deaths,2020-04-26,2020-04-18,12.5,9.5,1.9,0.3,339,494,520,524,Gompertz,524.1713580388096; 0.06460188081200546; 30.110057839913942,0.065,2020-04-05,2020-04-25,6.8,7.6
Montana,US,Gompertz21,Deaths,2020-04-26,2020-04-06,0.3,0.2,0.0,0.0,12,15,15,15,Gompertz,15.452644680232503; 0.05374452310552611; 10.0,0.054,2020-03-22,2020-04-11,1.3,1.0
Montana,US,Gompertz21,Deaths,2020-04-26,2020-04-06,0.2,0.2,0.1,0.0,11,14,15,15,Gompertz,15.399172762411329; 0.04; 10.0,0.040,2020-03-29,2020-04-18,1.0,1.0
Montana,US,Gompertz21,Deaths,2020-04-26,2020-04-25,0.6,0.5,0.3,0.1,17,30,36,38,Gompertz,38.25274712595396; 0.04; 29.357030212643583,0.040,2020-04-05,2020-04-25,1.1,0.7
Nebraska,US,Gompertz21,Deaths,2020-04-26,2020-04-16,1.9,1.3,0.2,0.0,51,71,74,75,Gompertz,74.50927341602358; 0.06932792851206224; 19.700392059832478,0.069,2020-03-22,2020-04-11,0.3,0.5
Nebraska,US,Gompertz21,Deaths,2020-04-26,2020-04-08,1.3,0.3,0.0,0.0,32,35,36,36,Gompertz,35.61493476042446; 0.10138917603150323; 11.92889983845166,0.101,2020-03-29,2020-04-18,0.6,0.9
Nebraska,US,Gompertz21,Deaths,2020-04-26,2020-05-07,3.7,3.6,2.6,1.0,69,175,227,254,Gompertz,254.11843469197277; 0.04; 40.51826574476552,0.040,2020-04-05,2020-04-25,2.6,2.0
Nevada,US,Gompertz21,Deaths,2020-04-26,2020-04-19,11.0,9.3,2.4,0.5,309,479,515,523,Gompertz,523.3140568644978; 0.057245527738993704; 34.81616005705223,0.057,2020-03-22,2020-04-11,3.9,5.4
Nevada,US,Gompertz21,Deaths,2020-04-26,2020-04-10,8.0,3.5,0.3,0.0,220,263,266,267,Gompertz,266.5902614987645; 0.0820315804383702; 25.947808188825963,0.082,2020-03-29,2020-04-18,4.3,5.7
Nevada,US,Gompertz21,Deaths,2020-04-26,2020-04-11,8.2,4.0,0.4,0.0,227,278,283,283,Gompertz,283.42237402300856; 0.07870493742721493; 26.92480303494279,0.079,2020-04-05,2020-04-25,5.8,6.7
New Hampshire,US,Gompertz21,Deaths,2020-04-26,2020-05-06,10.5,10.2,6.3,1.9,171,453,567,609,Gompertz,609.0461919858257; 0.04699736798460339; 44.132472690768786,0.047,2020-03-22,2020-04-11,1.4,1.7
New Hampshire,US,Gompertz21,Deaths,2020-04-26,2020-04-14,2.5,1.3,0.1,0.0,62,77,78,78,Gompertz,77.93829930688813; 0.08662646711759461; 22.232648339756018,0.087,2020-03-29,2020-04-18,1.8,2.2
New Hampshire,US,Gompertz21,Deaths,2020-04-26,2020-04-16,2.5,1.6,0.2,0.0,65,89,91,92,Gompertz,91.83077890824879; 0.07356695126780398; 24.485777347701088,0.074,2020-04-05,2020-04-25,2.0,2.5
New Jersey,US,Gompertz21,Deaths,2020-04-26,2020-04-18,298.5,218.5,34.9,4.3,7667,10966,11409,11470,Gompertz,11470.28633223755; 0.0707628607958763; 39.149507669286294,0.071,2020-03-22,2020-04-11,34.8,39.8
New Jersey,US,Gompertz21,Deaths,2020-04-26,2020-04-20,303.4,248.4,51.2,7.8,7788,11932,12630,12751,Gompertz,12751.012957263176; 0.06468206473827279; 41.06804579890765,0.065,2020-03-29,2020-04-18,66.7,66.9
New Jersey,US,Gompertz21,Deaths,2020-04-26,2020-04-18,282.7,207.9,34.1,4.3,7323,10490,10926,10988,Gompertz,10987.92026395381; 0.06994827206295148; 39.106280543326456,0.070,2020-04-05,2020-04-25,70.4,75.1
New Mexico,US,Gompertz21,Deaths,2020-04-26,2020-04-04,1.4,0.1,0.0,0.0,25,26,26,26,Gompertz,25.62052458947749; 0.15124046310104824; 10.0,0.151,2020-03-22,2020-04-11,0.8,1.1
New Mexico,US,Gompertz21,Deaths,2020-04-26,2020-05-10,8.5,7.8,6.4,2.6,133,378,509,578,Gompertz,578.4066332836151; 0.04; 46.66327625813379,0.040,2020-03-29,2020-04-18,2.0,2.2
New Mexico,US,Gompertz21,Deaths,2020-04-26,2020-05-11,9.3,8.4,7.2,3.0,137,407,554,633,Gompertz,633.465687293888; 0.04; 47.60249368698784,0.040,2020-04-05,2020-04-25,2.4,3.0
New York,US,Gompertz21,Deaths,2020-04-26,2020-04-14,897.9,514.8,61.5,6.3,24083,31010,31739,31822,Gompertz,31821.670368990057; 0.07671694837395601; 31.34382286314808,0.077,2020-03-22,2020-04-11,33.2,45.3
New York,US,Gompertz21,Deaths,2020-04-26,2020-04-21,1123.9,975.6,252.3,46.7,29800,47552,51248,52050,Gompertz,52049.74813908727; 0.0587054194355433; 38.05246230171599,0.059,2020-03-29,2020-04-18,395.1,487.1
New York,US,Gompertz21,Deaths,2020-04-26,2020-04-16,1101.1,721.0,96.4,10.5,28584,38749,39919,40061,Gompertz,40060.59877689728; 0.0747323711422803; 33.46733348694709,0.075,2020-04-05,2020-04-25,755.8,655.0
North Carolina,US,Gompertz21,Deaths,2020-04-26,2020-04-11,9.5,3.4,0.2,0.0,230,266,268,268,Gompertz,268.14595234080804; 0.09664717640192963; 17.74322641719675,0.097,2020-03-22,2020-04-11,1.6,2.0
North Carolina,US,Gompertz21,Deaths,2020-04-26,2020-05-09,28.6,26.8,21.0,8.4,478,1294,1719,1942,Gompertz,1942.2964127289338; 0.04; 45.45764627547398,0.040,2020-03-29,2020-04-18,6.4,4.9
North Carolina,US,Gompertz21,Deaths,2020-04-26,2020-05-04,23.4,23.1,14.1,4.7,450,1074,1338,1450,Gompertz,1449.7176446510587; 0.04385399487026729; 40.55927509544722,0.044,2020-04-05,2020-04-25,7.4,5.9
North Dakota,US,Gompertz21,Deaths,2020-04-26,2020-04-28,0.7,0.7,0.4,0.1,19,36,44,47,Gompertz,46.95236418178092; 0.040529487369381736; 32.48199532759982,0.041,2020-03-22,2020-04-11,0.6,0.5
North Dakota,US,Gompertz21,Deaths,2020-04-26,2020-04-27,0.6,0.6,0.3,0.1,18,34,40,44,Gompertz,43.54833238161623; 0.04004487320128586; 31.686605034968238,0.040,2020-03-29,2020-04-18,0.6,0.5
North Dakota,US,Gompertz21,Deaths,2020-04-26,2020-05-01,0.8,0.8,0.5,0.2,20,42,51,56,Gompertz,56.230872138677704; 0.04; 35.311901987104804,0.040,2020-04-05,2020-04-25,1.0,0.9
Ohio,US,Gompertz21,Deaths,2020-04-26,2020-04-13,23.4,12.3,1.4,0.1,639,801,817,819,Gompertz,818.8532315142028; 0.07786367502870925; 24.06266062929728,0.078,2020-03-22,2020-04-11,3.5,3.4
Ohio,US,Gompertz21,Deaths,2020-04-26,2020-04-24,33.9,32.2,11.6,2.8,884,1557,1745,1801,Gompertz,1800.7963264617626; 0.0512124620263134; 35.35995610531819,0.051,2020-03-29,2020-04-18,10.3,9.5
Ohio,US,Gompertz21,Deaths,2020-04-26,2020-05-03,44.4,44.1,28.4,10.7,978,2178,2735,3017,Gompertz,3016.830769974125; 0.04; 44.97766235704326,0.040,2020-04-05,2020-04-25,12.1,11.7
Oklahoma,US,Gompertz21,Deaths,2020-04-26,2020-04-13,8.4,4.8,0.6,0.1,238,305,312,313,Gompertz,313.46158046437773; 0.07274327284704955; 25.3076909280085,0.073,2020-03-22,2020-04-11,2.7,3.2
Oklahoma,US,Gompertz21,Deaths,2020-04-26,2020-04-09,7.2,2.8,0.2,0.0,195,228,231,231,Gompertz,231.1756520142449; 0.0842504776844218; 21.99107065102612,0.084,2020-03-29,2020-04-18,3.8,4.1
Oklahoma,US,Gompertz21,Deaths,2020-04-26,2020-04-20,7.5,6.8,2.6,0.7,235,378,422,438,Gompertz,437.7016750726746; 0.04671573547225322; 32.83346662662368,0.047,2020-04-05,2020-04-25,5.2,5.2
Oregon,US,Gompertz21,Deaths,2020-04-26,2020-04-25,4.1,4.0,2.1,0.7,123,219,259,278,Gompertz,277.69000118572666; 0.04; 41.815616830799165,0.040,2020-03-22,2020-04-11,2.2,2.3
Oregon,US,Gompertz21,Deaths,2020-04-26,2020-04-26,4.4,4.4,2.3,0.8,129,236,281,302,Gompertz,302.10100289913; 0.04; 42.893030133560806,0.040,2020-03-29,2020-04-18,2.2,2.4
