location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Guadeloupe,Confirmed (per 100k),13.25,1.50,0.11,1.86,4,5,9,1
Djibouti,Confirmed (per 100k),44.03,3.95,0.09,3.40,4,3,7,1
Martinique,Confirmed (per 100k),8.53,0.76,0.09,2.90,3,4,7,0
Reunion,Confirmed (per 100k),5.03,0.37,0.07,2.20,3,4,7,3
"Isle of Man, United Kingdom",Confirmed (per 100k),301.06,17.47,0.06,9.64,5,1,6,0
Ireland,Confirmed (per 100k),254.10,16.69,0.07,7.03,5,1,6,-1
US,Confirmed (per 100k),192.25,9.13,0.05,11.64,5,1,6,0
"Quebec, Canada",Confirmed (per 100k),174.05,8.21,0.05,11.73,5,1,6,0
United Kingdom,Confirmed (per 100k),145.06,8.13,0.06,9.43,5,1,6,0
Qatar,Confirmed (per 100k),128.81,6.80,0.05,9.49,5,1,6,0
Sweden,Confirmed (per 100k),118.10,5.31,0.04,12.63,5,1,6,0
Bahrain,Confirmed (per 100k),98.20,6.02,0.06,7.09,5,1,6,1
Turkey,Confirmed (per 100k),82.28,5.25,0.06,7.76,5,1,6,-1
Singapore,Confirmed (per 100k),63.23,4.32,0.07,6.16,4,2,6,1
United Arab Emirates,Confirmed (per 100k),54.24,3.72,0.07,6.74,4,2,6,0
Belarus,Confirmed (per 100k),39.45,3.66,0.09,4.09,4,2,6,-1
Peru,Confirmed (per 100k),34.80,3.18,0.09,4.36,4,2,6,-1
Oman,Confirmed (per 100k),17.82,1.24,0.07,5.99,4,2,6,2
Russia,Confirmed (per 100k),16.78,1.33,0.08,4.71,4,2,6,0
Equatorial Guinea,Confirmed (per 100k),3.64,0.25,0.07,3.94,3,3,6,4
Bangladesh,Confirmed (per 100k),0.75,0.07,0.10,2.82,2,4,6,1
Timor-Leste,Confirmed (per 100k),0.61,0.05,0.09,2.13,2,4,6,3
San Marino,Confirmed (per 100k),1096.34,38.73,0.04,17.70,5,0,5,0
Andorra,Confirmed (per 100k),871.03,21.08,0.02,25.75,5,0,5,0
Luxembourg,Confirmed (per 100k),538.84,7.69,0.01,45.98,5,0,5,0
Iceland,Confirmed (per 100k),506.09,5.61,0.01,60.48,5,0,5,0
"Gibraltar, United Kingdom",Confirmed (per 100k),388.83,6.78,0.02,38.04,5,0,5,0
Spain,Confirmed (per 100k),379.95,9.35,0.02,25.30,5,0,5,0
Switzerland,Confirmed (per 100k),304.30,6.08,0.02,32.40,5,0,5,0
Belgium,Confirmed (per 100k),289.68,11.00,0.04,14.75,5,0,5,-1
Italy,Confirmed (per 100k),273.16,6.36,0.02,27.00,5,0,5,0
"Channel Islands, United Kingdom",Confirmed (per 100k),257.10,8.63,0.03,18.29,5,0,5,0
Monaco,Confirmed (per 100k),236.99,5.10,0.02,30.65,5,0,5,0
"Montserrat, United Kingdom",Confirmed (per 100k),220.35,5.72,0.03,22.87,5,0,5,-1
France,Confirmed (per 100k),209.55,6.06,0.03,21.95,5,0,5,0
Portugal,Confirmed (per 100k),177.42,7.01,0.04,14.82,5,0,5,-1
Netherlands,Confirmed (per 100k),164.30,6.54,0.04,14.63,5,0,5,-1
"Bermuda, United Kingdom",Confirmed (per 100k),130.06,4.13,0.03,13.28,4,1,5,0
Panama,Confirmed (per 100k),82.83,4.54,0.05,10.06,4,1,5,0
Canada,Confirmed (per 100k),74.44,3.45,0.05,11.92,4,1,5,0
"Ontario, Canada",Confirmed (per 100k),57.42,3.13,0.05,9.61,4,1,5,0
"Nova Scotia, Canada",Confirmed (per 100k),56.17,3.03,0.05,9.44,4,1,5,0
Serbia,Confirmed (per 100k),55.77,3.30,0.06,7.95,4,1,5,0
Moldova,Confirmed (per 100k),50.79,3.11,0.06,8.15,4,1,5,0
North Macedonia,Confirmed (per 100k),46.75,2.12,0.05,11.63,4,1,5,0
Ecuador,Confirmed (per 100k),44.54,3.12,0.07,7.99,4,1,5,-1
Chile,Confirmed (per 100k),43.28,2.09,0.05,11.43,4,1,5,0
Romania,Confirmed (per 100k),37.51,1.83,0.05,11.26,4,1,5,0
Dominican Republic,Confirmed (per 100k),33.32,1.75,0.05,9.69,4,1,5,0
Kuwait,Confirmed (per 100k),32.90,2.05,0.06,8.48,4,1,5,-1
"Tasmania, Australia",Confirmed (per 100k),30.81,2.03,0.07,7.91,4,1,5,0
Saudi Arabia,Confirmed (per 100k),16.84,1.06,0.06,7.37,4,1,5,1
Hungary,Confirmed (per 100k),16.35,1.03,0.06,8.38,4,1,5,0
Ukraine,Confirmed (per 100k),8.61,0.62,0.07,6.01,3,2,5,0
French Guiana,Confirmed (per 100k),6.03,0.48,0.08,4.43,3,2,5,0
Belize,Confirmed (per 100k),4.53,0.40,0.09,5.32,3,2,5,0
Mexico,Confirmed (per 100k),4.19,0.29,0.07,6.95,3,2,5,0
Uzbekistan,Confirmed (per 100k),3.89,0.28,0.07,5.61,3,2,5,0
Guinea,Confirmed (per 100k),3.08,0.24,0.08,5.19,3,2,5,1
Somalia,Confirmed (per 100k),0.50,0.05,0.09,2.45,1,4,5,1
Germany,Confirmed (per 100k),160.83,4.04,0.03,25.04,4,0,4,0
Austria,Confirmed (per 100k),159.18,2.52,0.02,41.48,4,0,4,0
Israel,Confirmed (per 100k),144.43,4.62,0.03,18.31,4,0,4,0
Norway,Confirmed (per 100k),124.33,1.42,0.01,57.44,4,0,4,0
"Sint Maarten, Netherlands",Confirmed (per 100k),123.61,4.00,0.03,19.00,4,0,4,-2
Denmark,Confirmed (per 100k),115.34,3.55,0.03,19.80,4,0,4,0
Estonia,Confirmed (per 100k),105.54,2.41,0.02,27.40,4,0,4,0
Iran,Confirmed (per 100k),90.95,2.09,0.02,27.23,4,0,4,0
Malta,Confirmed (per 100k),90.36,3.24,0.04,17.06,4,0,4,-1
"Aruba, Netherlands",Confirmed (per 100k),87.11,2.41,0.03,23.26,4,0,4,-1
"Cayman Islands, United Kingdom",Confirmed (per 100k),82.16,1.96,0.02,25.84,4,0,4,-1
"Mayotte, France",Confirmed (per 100k),79.54,2.41,0.03,20.17,4,0,4,0
Slovenia,Confirmed (per 100k),60.03,1.11,0.02,34.96,4,0,4,0
Cyprus,Confirmed (per 100k),59.22,2.38,0.04,14.45,4,0,4,0
Finland,Confirmed (per 100k),58.42,2.20,0.04,15.87,4,0,4,-1
Czechia,Confirmed (per 100k),58.04,1.46,0.03,25.38,4,0,4,0
Croatia,Confirmed (per 100k),42.41,1.47,0.03,17.28,4,0,4,0
"Alberta, Canada",Confirmed (per 100k),42.37,1.61,0.04,14.97,4,0,4,0
Armenia,Confirmed (per 100k),37.49,1.03,0.03,21.76,4,0,4,1
Bosnia and Herzegovina,Confirmed (per 100k),33.83,1.39,0.04,14.07,4,0,4,-1
Global,Confirmed (per 100k),26.44,1.01,0.04,15.16,4,0,4,-1
Poland,Confirmed (per 100k),20.03,0.89,0.04,12.58,3,1,4,0
