location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Ecuador,,Confirmed (per 100k),128.770,11.554,0.089724,3.712,5,3,8,4
Guadeloupe,,Confirmed (per 100k),13.246,1.785,0.135,2.200,4,4,8,-1
Martinique,,Confirmed (per 100k),8.527,1.104,0.129,2.578,4,4,8,1
Reunion,,Confirmed (per 100k),5.026,0.622,0.124,1.836,3,5,8,4
Singapore,,Confirmed (per 100k),206.398,17.154,0.083112,5.874,5,2,7,0
Maldives,,Confirmed (per 100k),23.865,2.669,0.112,3.499,4,3,7,0
Equatorial Guinea,,Confirmed (per 100k),15.253,1.375,0.090120,3.245,4,3,7,3
Qatar,,Confirmed (per 100k),295.899,19.150,0.064717,7.982,5,1,6,0
Bahrain,,Confirmed (per 100k),147.981,6.532,0.044139,12.387,5,1,6,2
"Mayotte, France",,Confirmed (per 100k),129.758,5.708,0.043987,13.087,5,1,6,2
Belarus,,Confirmed (per 100k),92.843,6.038,0.065037,7.739,5,1,6,0
"Alberta, Canada",,Confirmed (per 100k),91.024,5.244,0.057612,9.279,5,1,6,1
Russia,,Confirmed (per 100k),47.022,3.584,0.076223,6.632,4,2,6,0
Saudi Arabia,,Confirmed (per 100k),43.379,3.266,0.075298,6.749,4,2,6,0
San Marino,,Confirmed (per 100k),1511.892,32.840,0.021721,29.475,5,0,5,0
Holy See,,Confirmed (per 100k),1123.596,17.835,0.015873,41.934,5,0,5,0
Andorra,,Confirmed (per 100k),946.095,6.471,0.006840,99.229,5,0,5,0
Spain,,Confirmed (per 100k),470.035,8.838,0.018803,34.063,5,0,5,0
Belgium,,Confirmed (per 100k),382.178,10.052,0.026302,23.927,5,0,5,0
Ireland,,Confirmed (per 100k),368.262,12.163,0.033027,18.474,5,0,5,0
US,,Confirmed (per 100k),273.512,8.875,0.032447,18.873,5,0,5,0
"Quebec, Canada",,Confirmed (per 100k),264.897,9.735,0.036750,16.370,5,0,5,0
Portugal,,Confirmed (per 100k),223.572,5.289,0.023656,27.059,5,0,5,1
Netherlands,,Confirmed (per 100k),213.220,5.074,0.023797,26.860,5,0,5,0
United Kingdom,,Confirmed (per 100k),211.331,7.317,0.034625,17.654,5,0,5,0
Sweden,,Confirmed (per 100k),173.943,6.155,0.035383,16.957,5,0,5,0
"Sint Maarten, Netherlands",,Confirmed (per 100k),170.258,5.331,0.031311,20.533,5,0,5,0
United Arab Emirates,,Confirmed (per 100k),93.838,4.303,0.045854,12.303,4,1,5,0
"Nova Scotia, Canada",,Confirmed (per 100k),84.607,3.625,0.042840,13.589,4,1,5,1
Peru,,Confirmed (per 100k),65.656,3.535,0.053842,10.356,4,1,5,0
Kuwait,,Confirmed (per 100k),61.210,3.198,0.052246,10.527,4,1,5,0
Oman,,Confirmed (per 100k),35.052,2.017,0.057542,9.728,4,1,5,0
Brazil,,Confirmed (per 100k),25.425,1.368,0.053822,10.168,4,1,5,0
Ukraine,,Confirmed (per 100k),18.578,1.131,0.060888,8.511,4,1,5,1
Mexico,,Confirmed (per 100k),9.983,0.729,0.072971,6.543,3,2,5,1
Guinea,,Confirmed (per 100k),7.264,0.519,0.071429,6.890,3,2,5,1
French Guiana,,Confirmed (per 100k),6.026,0.622,0.103,4.016,3,2,5,0
Aruba,,Confirmed (per 100k),3.747,0.268,0.071429,5.538,3,2,5,0
Eswatini,,Confirmed (per 100k),3.103,0.246,0.079365,6.475,3,2,5,2
Bangladesh,,Confirmed (per 100k),2.847,0.247,0.086860,5.378,3,2,5,0
Luxembourg,,Confirmed (per 100k),590.276,4.907,0.008312,81.144,4,0,4,-1
Iceland,,Confirmed (per 100k),524.260,1.465,0.002795,246.117,4,0,4,0
"Isle of Man, United Kingdom",,Confirmed (per 100k),362.212,2.856,0.007885,86.256,4,0,4,-1
Switzerland,,Confirmed (per 100k),331.349,2.639,0.007966,84.873,4,0,4,0
Italy,,Confirmed (per 100k),319.200,4.858,0.015219,43.155,4,0,4,-1
"Channel Islands, United Kingdom",,Confirmed (per 100k),300.812,4.355,0.014477,45.400,4,0,4,-1
France,,Confirmed (per 100k),243.033,2.335,0.009606,70.420,4,0,4,0
Germany,,Confirmed (per 100k),184.998,2.319,0.012536,52.786,4,0,4,0
Israel,,Confirmed (per 100k),173.970,3.426,0.019695,32.630,4,0,4,0
"Bermuda, United Kingdom",,Confirmed (per 100k),158.965,3.670,0.023088,27.291,4,0,4,0
Denmark,,Confirmed (per 100k),141.742,2.804,0.019784,32.591,4,0,4,0
Norway,,Confirmed (per 100k),137.662,1.386,0.010069,66.415,4,0,4,0
Turkey,,Confirmed (per 100k),124.393,4.466,0.035902,17.017,4,0,4,0
Panama,,Confirmed (per 100k),123.715,4.377,0.035380,16.918,4,0,4,0
Estonia,,Confirmed (per 100k),120.992,1.572,0.012995,51.321,4,0,4,0
Canada,,Confirmed (per 100k),116.259,4.238,0.036454,16.671,4,0,4,-2
"Cayman Islands, United Kingdom",,Confirmed (per 100k),106.509,1.956,0.018367,34.772,4,0,4,0
Iran,,Confirmed (per 100k),105.002,1.480,0.014092,46.866,4,0,4,0
Djibouti,,Confirmed (per 100k),101.113,3.861,0.038181,16.079,4,0,4,-3
"Ontario, Canada",,Confirmed (per 100k),98.900,3.975,0.040196,14.836,4,0,4,-2
"St Martin, France",,Confirmed (per 100k),98.278,1.108,0.011278,60.188,4,0,4,0
Finland,,Confirmed (per 100k),79.322,2.336,0.029449,21.191,4,0,4,0
Moldova,,Confirmed (per 100k),77.095,2.996,0.038861,15.075,4,0,4,0
Serbia,,Confirmed (per 100k),75.881,1.537,0.020254,33.175,4,0,4,0
Chile,,Confirmed (per 100k),64.375,2.282,0.035453,17.030,4,0,4,0
North Macedonia,,Confirmed (per 100k),63.647,1.433,0.022517,28.565,4,0,4,0
Romania,,Confirmed (per 100k),54.149,1.745,0.032228,18.990,4,0,4,0
Armenia,,Confirmed (per 100k),53.860,1.904,0.035356,16.973,4,0,4,0
Dominican Republic,,Confirmed (per 100k),52.996,2.137,0.040330,14.861,4,0,4,-1
Lithuania,,Confirmed (per 100k),51.795,1.370,0.026444,24.592,4,0,4,0
Global,,Confirmed (per 100k),36.154,1.049,0.029017,21.362,4,0,4,0
"Yukon, Canada",,Confirmed (per 100k),26.778,1.043,0.038961,16.518,4,0,4,0
Hungary,,Confirmed (per 100k),25.289,1.006,0.039764,14.662,4,0,4,1
Bulgaria,,Confirmed (per 100k),17.759,0.798,0.044918,12.211,3,1,4,1
Cabo Verde,,Confirmed (per 100k),15.828,0.822,0.051948,10.415,3,1,4,1
South Korea,,Confirmed (per 100k),14.586,0.876,0.060043,9.644,3,1,4,-2
