location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Belgium,Deaths (per 100k),35.87,2.80,0.08,5.95,4,2,6,0
United Kingdom,Deaths (per 100k),17.83,1.25,0.07,6.86,4,2,6,0
Malta,Deaths (per 100k),0.68,0.10,0.14,2.87,2,4,6,-1
France,Deaths (per 100k),24.10,1.33,0.06,9.93,4,1,5,0
Ireland,Deaths (per 100k),8.22,0.55,0.07,6.96,3,2,5,0
"Bermuda, United Kingdom",Deaths (per 100k),8.03,0.69,0.09,5.65,3,2,5,-2
US,Deaths (per 100k),7.80,0.55,0.07,6.64,3,2,5,0
"Quebec, Canada",Deaths (per 100k),5.10,0.40,0.08,4.75,3,2,5,-1
"Nova Scotia, Canada",Deaths (per 100k),0.31,0.04,0.14,2.41,1,4,5,0
Martinique,Deaths (per 100k),0.27,0.04,0.14,2.41,1,4,5,-1
Djibouti,Deaths (per 100k),0.20,0.03,0.14,2.06,1,4,5,-1
New Zealand,Deaths (per 100k),0.19,0.01,0.06,2.76,1,4,5,1
San Marino,Deaths (per 100k),106.10,1.26,0.01,55.34,4,0,4,0
Andorra,Deaths (per 100k),40.12,1.48,0.04,15.25,4,0,4,-1
Spain,Deaths (per 100k),38.62,1.35,0.03,17.22,4,0,4,0
"Sint Maarten, Netherlands",Deaths (per 100k),20.99,1.00,0.05,11.90,3,1,4,-2
Netherlands,Deaths (per 100k),17.19,0.80,0.05,12.31,3,1,4,0
Switzerland,Deaths (per 100k),13.57,0.62,0.05,12.56,3,1,4,0
Luxembourg,Deaths (per 100k),11.02,0.64,0.06,9.38,3,1,4,0
Sweden,Deaths (per 100k),10.23,0.63,0.06,8.50,3,1,4,-1
Portugal,Deaths (per 100k),5.56,0.31,0.06,9.17,3,1,4,0
Denmark,Deaths (per 100k),5.16,0.24,0.05,11.84,3,1,4,0
Austria,Deaths (per 100k),4.26,0.23,0.06,9.88,3,1,4,0
Germany,Deaths (per 100k),3.93,0.24,0.06,9.03,3,1,4,0
Canada,Deaths (per 100k),2.37,0.17,0.07,5.92,2,2,4,0
"Isle of Man, United Kingdom",Deaths (per 100k),2.35,0.17,0.07,6.58,2,2,4,0
Dominican Republic,Deaths (per 100k),1.69,0.12,0.07,6.77,2,2,4,1
Hungary,Deaths (per 100k),1.26,0.10,0.08,4.93,2,2,4,0
Finland,Deaths (per 100k),1.16,0.08,0.07,6.98,2,2,4,1
"Tasmania, Australia",Deaths (per 100k),1.12,0.08,0.07,5.65,2,2,4,0
"Alberta, Canada",Deaths (per 100k),1.09,0.07,0.07,6.79,2,2,4,1
Brazil,Deaths (per 100k),0.72,0.05,0.07,6.17,2,2,4,1
Peru,Deaths (per 100k),0.70,0.05,0.08,5.94,2,2,4,1
Poland,Deaths (per 100k),0.69,0.05,0.07,6.32,2,2,4,1
"Newfoundland and Labrador, Canada",Deaths (per 100k),0.58,0.05,0.10,5.19,2,2,4,-1
Latvia,Deaths (per 100k),0.27,0.03,0.11,3.63,1,3,4,1
"South Australia, Australia",Deaths (per 100k),0.23,0.03,0.14,3.11,1,3,4,-1
Somalia,Deaths (per 100k),0.01,0.00,0.14,2.06,0,4,4,1
Italy,Deaths (per 100k),34.84,0.93,0.03,22.82,3,0,3,0
Slovenia,Deaths (per 100k),2.69,0.17,0.06,8.58,2,1,3,-1
Norway,Deaths (per 100k),2.56,0.15,0.06,9.11,2,1,3,0
Estonia,Deaths (per 100k),2.34,0.10,0.04,12.74,2,1,3,0
"Ontario, Canada",Deaths (per 100k),2.27,0.14,0.06,7.25,2,1,3,-1
Panama,Deaths (per 100k),2.18,0.11,0.05,9.79,2,1,3,0
North Macedonia,Deaths (per 100k),2.11,0.10,0.05,9.95,2,1,3,0
Ecuador,Deaths (per 100k),2.09,0.13,0.06,8.12,2,1,3,0
Bahamas,Deaths (per 100k),2.03,0.11,0.05,11.90,2,1,3,0
Romania,Deaths (per 100k),1.82,0.12,0.06,8.02,2,1,3,-1
Turkey,Deaths (per 100k),1.66,0.11,0.07,7.20,2,1,3,-1
Global,Deaths (per 100k),1.62,0.08,0.05,10.61,2,1,3,0
Czechia,Deaths (per 100k),1.50,0.09,0.06,8.48,2,1,3,-1
Israel,Deaths (per 100k),1.42,0.10,0.07,7.15,2,1,3,-1
Barbados,Deaths (per 100k),1.39,0.10,0.07,8.31,2,1,3,-2
"British Columbia, Canada",Deaths (per 100k),1.35,0.09,0.06,7.81,2,1,3,0
"Mayotte, France",Deaths (per 100k),1.10,0.05,0.05,11.43,2,1,3,0
Moldova,Deaths (per 100k),0.99,0.06,0.06,8.44,2,1,3,-1
Chile,Deaths (per 100k),0.48,0.03,0.07,6.55,1,2,3,0
Belarus,Deaths (per 100k),0.35,0.02,0.07,5.67,1,2,3,-1
United Arab Emirates,Deaths (per 100k),0.28,0.02,0.07,5.64,1,2,3,0
