location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Aruba, Netherlands",,Deaths (per 100k),1.873,0.268,0.143,2.758,3,4,7,-1
"Nova Scotia, Canada",,Deaths (per 100k),0.921,0.102,0.111,2.808,2,4,6,3
Belgium,,Deaths (per 100k),50.286,2.568,0.051059,10.849,4,1,5,0
United Kingdom,,Deaths (per 100k),24.319,1.146,0.047143,11.881,4,1,5,0
"Channel Islands, United Kingdom",,Deaths (per 100k),13.804,0.986,0.071429,6.463,3,2,5,0
"Quebec, Canada",,Deaths (per 100k),10.998,0.823,0.074852,5.434,3,2,5,0
"Isle of Man, United Kingdom",,Deaths (per 100k),10.584,0.672,0.063492,4.497,3,2,5,-1
Monaco,,Deaths (per 100k),7.645,0.728,0.095238,5.538,3,2,5,0
Canada,,Deaths (per 100k),4.555,0.321,0.070435,6.378,3,2,5,0
"Ontario, Canada",,Deaths (per 100k),4.241,0.308,0.072573,6.599,3,2,5,0
"Martinique, France",,Deaths (per 100k),3.198,0.228,0.071429,6.116,3,2,5,3
Martinique,,Deaths (per 100k),0.266,0.038068,0.143,2.409,1,4,5,-1
Kuwait,,Deaths (per 100k),0.211,0.020071,0.095238,2.990,1,4,5,0
Eswatini,,Deaths (per 100k),0.086195,0.012314,0.143,2.409,1,4,5,-1
Guinea,,Deaths (per 100k),0.038073,0.005439,0.143,1.428,0,5,5,0
San Marino,,Deaths (per 100k),114.939,1.684,0.014652,45.054,4,0,4,0
Andorra,,Deaths (per 100k),47.887,1.294,0.027027,22.625,4,0,4,0
France,,Deaths (per 100k),31.046,1.165,0.037538,15.727,4,0,4,-1
Sweden,,Deaths (per 100k),15.645,0.907,0.057957,9.315,3,1,4,0
Ireland,,Deaths (per 100k),13.913,0.799,0.057392,8.217,3,1,4,0
US,,Deaths (per 100k),12.717,0.805,0.063267,8.078,3,1,4,-1
"Hubei, China",,Deaths (per 100k),7.645,0.313,0.040938,13.815,3,1,4,0
Germany,,Deaths (per 100k),5.803,0.267,0.045954,11.945,3,1,4,0
Moldova,,Deaths (per 100k),1.735,0.127,0.073469,6.482,2,2,4,1
Peru,,Deaths (per 100k),1.350,0.089687,0.066453,6.418,2,2,4,1
Croatia,,Deaths (per 100k),1.145,0.083516,0.072948,6.752,2,2,4,1
Slovakia,,Deaths (per 100k),0.238,0.026166,0.110,3.106,1,3,4,-1
Cameroon,,Deaths (per 100k),0.158,0.016145,0.102,3.129,1,3,4,3
Spain,,Deaths (per 100k),44.599,0.991,0.022225,28.355,3,0,3,-1
Italy,,Deaths (per 100k),39.883,0.889,0.022281,28.214,3,0,3,0
"Sint Maarten, Netherlands",,Deaths (per 100k),23.323,0.333,0.014286,44.014,3,0,3,3
Netherlands,,Deaths (per 100k),21.891,0.790,0.036067,16.457,3,0,3,0
Switzerland,,Deaths (per 100k),16.511,0.474,0.028691,21.195,3,0,3,0
Portugal,,Deaths (per 100k),7.208,0.294,0.040816,14.134,3,0,3,-1
Denmark,,Deaths (per 100k),6.284,0.202,0.032182,18.679,3,0,3,0
Antigua and Barbuda,,Deaths (per 100k),3.063,0.146,0.047619,12.127,2,1,3,0
Estonia,,Deaths (per 100k),3.015,0.162,0.053571,11.017,2,1,3,0
Panama,,Deaths (per 100k),2.920,0.136,0.046485,11.890,2,1,3,0
Ecuador,,Deaths (per 100k),2.874,0.114,0.039730,13.740,2,1,3,1
North Macedonia,,Deaths (per 100k),2.592,0.117,0.044974,12.779,2,1,3,0
Turkey,,Deaths (per 100k),2.537,0.139,0.054673,9.412,2,1,3,0
Romania,,Deaths (per 100k),2.485,0.100,0.040347,13.662,2,1,3,0
Global,,Deaths (per 100k),2.186,0.093618,0.042823,13.278,2,1,3,0
Hungary,,Deaths (per 100k),2.060,0.133,0.064609,7.535,2,1,3,0
Israel,,Deaths (per 100k),2.045,0.114,0.055690,9.675,2,1,3,0
Finland,,Deaths (per 100k),1.769,0.097976,0.055394,9.426,2,1,3,0
Serbia,,Deaths (per 100k),1.431,0.068671,0.048000,11.698,2,1,3,0
Lithuania,,Deaths (per 100k),1.359,0.062972,0.046332,12.127,2,1,3,0
Brazil,,Deaths (per 100k),1.217,0.083271,0.068419,7.187,2,1,3,-1
Mexico,,Deaths (per 100k),0.532,0.041771,0.078509,5.465,1,2,3,0
Russia,,Deaths (per 100k),0.278,0.022613,0.081481,4.731,1,2,3,0
New Zealand,,Deaths (per 100k),0.249,0.023700,0.095238,5.364,1,2,3,-1
Japan,,Deaths (per 100k),0.187,0.014458,0.077482,6.351,1,2,3,1
Somalia,,Deaths (per 100k),0.050336,0.005393,0.107,3.570,0,3,3,-1
Sudan,,Deaths (per 100k),0.027366,0.002606,0.095238,3.541,0,3,3,1
Luxembourg,,Deaths (per 100k),11.981,0.160,0.013333,48.470,2,0,2,-1
Iran,,Deaths (per 100k),6.202,0.110,0.017662,36.270,2,0,2,0
Austria,,Deaths (per 100k),5.219,0.162,0.031003,19.229,2,0,2,0
Slovenia,,Deaths (per 100k),3.704,0.144,0.038961,14.273,2,0,2,-1
Norway,,Deaths (per 100k),3.339,0.097500,0.029203,19.603,2,0,2,-1
Dominican Republic,,Deaths (per 100k),2.166,0.069796,0.032219,17.804,2,0,2,-1
Czechia,,Deaths (per 100k),1.812,0.064032,0.035346,16.676,2,0,2,-1
"British Columbia, Canada",,Deaths (per 100k),1.604,0.064288,0.040070,15.352,2,0,2,-1
"Mayotte, France",,Deaths (per 100k),1.466,0.052364,0.035714,16.287,2,0,2,-1
