location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Marion, Ohio",39101,Confirmed (per 100k),3184.674,390.869,0.123,1.131,5,5,10,0
"Dawson, Nebraska",31047,Confirmed (per 100k),728.968,67.811,0.093023,1.154,5,5,10,2
"Seward, Kansas",20175,Confirmed (per 100k),368.676,28.001,0.075949,1.910,5,5,10,0
"Nobles, Minnesota",27105,Confirmed (per 100k),351.380,38.969,0.111,1.000,5,5,10,0
"Gosper, Nebraska",31073,Confirmed (per 100k),301.508,28.715,0.095238,1.885,5,5,10,10
"Dakota, Nebraska",31043,Confirmed (per 100k),254.669,20.687,0.081232,1.271,5,5,10,0
"Moniteau, Missouri",29135,Confirmed (per 100k),241.756,30.994,0.128,1.970,5,5,10,0
"Roberts, Texas",48393,Confirmed (per 100k),234.192,33.456,0.143,1.710,5,5,10,0
"Sherman, Texas",48421,Confirmed (per 100k),231.635,33.091,0.143,1.609,5,5,10,0
"Jasper, Illinois",17079,Confirmed (per 100k),208.117,23.785,0.114,1.666,5,5,10,10
"Grand Forks, North Dakota",38035,Confirmed (per 100k),198.701,25.095,0.126,1.450,5,5,10,4
"Box Elder, Utah",49003,Confirmed (per 100k),96.349,10.451,0.108,1.932,5,5,10,7
"Warren, Illinois",17187,Confirmed (per 100k),89.052,9.329,0.105,1.325,5,5,10,4
"Fairfax City, Virginia",51600,Confirmed (per 100k),87.431,5.948,0.068027,1.000,5,5,10,5
"Norman, Minnesota",27107,Confirmed (per 100k),78.431,8.964,0.114,1.357,5,5,10,1
"Putnam, Ohio",39137,Confirmed (per 100k),62.018,7.172,0.116,1.916,5,5,10,0
"Saline, Nebraska",31151,Confirmed (per 100k),56.243,7.030,0.125,1.205,5,5,10,1
"Alpena, Michigan",26007,Confirmed (per 100k),52.808,6.538,0.124,0.832,5,5,10,5
"Howard, Nebraska",31093,Confirmed (per 100k),46.548,6.650,0.143,1.239,5,5,10,0
"Chase, Kansas",20017,Confirmed (per 100k),37.764,5.395,0.143,1.710,5,5,10,0
"Pickaway, Ohio",39129,Confirmed (per 100k),2131.481,102.395,0.048039,2.249,5,4,9,0
"Butler, Kentucky",21031,Confirmed (per 100k),566.814,68.772,0.121,2.657,5,4,9,-1
"Ford, Kansas",20057,Confirmed (per 100k),535.412,48.442,0.090476,2.275,5,4,9,-1
"Wayne, North Carolina",37191,Confirmed (per 100k),464.546,45.712,0.098402,2.145,5,4,9,-1
"Marshall, Iowa",19127,Confirmed (per 100k),439.432,44.996,0.102,2.347,5,4,9,2
"Jackson, Kentucky",21109,Confirmed (per 100k),427.639,53.589,0.125,2.661,5,4,9,-1
"Jackson, West Virginia",54035,Confirmed (per 100k),353.443,38.494,0.109,2.400,5,4,9,3
"Dunn, North Dakota",38025,Confirmed (per 100k),226.040,22.604,0.100,2.808,5,4,9,2
"Graves, Kentucky",21083,Confirmed (per 100k),169.055,16.100,0.095238,2.642,5,4,9,0
"Bremer, Iowa",19017,Confirmed (per 100k),111.723,13.110,0.117,2.864,5,4,9,-1
"Jefferson, Illinois",17081,Confirmed (per 100k),84.917,9.098,0.107,2.206,5,4,9,4
"Smith, Kansas",20183,Confirmed (per 100k),55.819,7.974,0.143,2.758,5,4,9,-1
"Montmorency, Michigan",26119,Confirmed (per 100k),42.882,6.126,0.143,2.409,5,4,9,-1
"Monroe, West Virginia",54063,Confirmed (per 100k),37.665,4.305,0.114,1.885,4,5,9,3
"Alexander, Illinois",17003,Confirmed (per 100k),34.716,4.959,0.143,1.000,4,5,9,0
"Pondera, Montana",30073,Confirmed (per 100k),33.835,4.834,0.143,1.710,4,5,9,1
"Moore, Tennessee",47127,Confirmed (per 100k),30.826,4.404,0.143,1.357,4,5,9,0
"Henderson, Illinois",17071,Confirmed (per 100k),30.093,4.299,0.143,1.357,4,5,9,0
"Nance, Nebraska",31125,Confirmed (per 100k),28.417,4.060,0.143,1.710,4,5,9,0
"Daviess, Missouri",29061,Confirmed (per 100k),24.160,3.451,0.143,1.710,4,5,9,0
"Freestone, Texas",48161,Confirmed (per 100k),15.215,2.174,0.143,1.710,4,5,9,1
"Churchill, Nevada",32001,Confirmed (per 100k),12.044,1.721,0.143,1.475,4,5,9,0
"Wilson, Kansas",20205,Confirmed (per 100k),11.730,1.676,0.143,1.710,4,5,9,0
"Washita, Oklahoma",40149,Confirmed (per 100k),9.161,1.309,0.143,1.710,4,5,9,0
"Zavala, Texas",48507,Confirmed (per 100k),8.446,1.207,0.143,1.710,4,5,9,0
"Lincoln, Arkansas",5079,Confirmed (per 100k),1980.958,109.688,0.055371,3.433,5,3,8,-1
"Moore, Texas",48341,Confirmed (per 100k),577.841,57.307,0.099174,3.347,5,3,8,-1
"Cass, Indiana",18017,Confirmed (per 100k),230.837,18.194,0.078818,3.961,5,3,8,1
"Habersham, Georgia",13137,Confirmed (per 100k),218.408,18.910,0.086580,3.454,5,3,8,-1
"Black Hawk, Iowa",19013,Confirmed (per 100k),197.366,15.785,0.079978,3.610,5,3,8,0
"Caddo, Oklahoma",40015,Confirmed (per 100k),180.794,20.861,0.115,3.752,5,3,8,-1
"Accomack, Virginia",51001,Confirmed (per 100k),160.911,11.936,0.074176,3.930,5,3,8,1
"Bedford, Tennessee",47003,Confirmed (per 100k),152.878,14.656,0.095865,3.243,5,3,8,1
"LaPorte, Indiana",18091,Confirmed (per 100k),127.402,13.910,0.109,3.704,5,3,8,-1
"Towns, Georgia",13281,Confirmed (per 100k),124.616,11.868,0.095238,3.802,5,3,8,1
"Merrick, Nebraska",31121,Confirmed (per 100k),116.054,9.211,0.079365,3.663,5,3,8,1
"Polk, Nebraska",31143,Confirmed (per 100k),115.097,10.962,0.095238,3.628,5,3,8,-1
"Walker, Texas",48471,Confirmed (per 100k),105.521,11.746,0.111,3.883,5,3,8,0
"Texas, Oklahoma",40139,Confirmed (per 100k),100.085,7.149,0.071429,3.802,5,3,8,2
"Tyrrell, North Carolina",37177,Confirmed (per 100k),99.602,14.229,0.143,3.280,5,3,8,-2
"Southampton, Virginia",51175,Confirmed (per 100k),96.421,8.913,0.092437,3.106,5,3,8,3
"Dillon, South Carolina",45033,Confirmed (per 100k),72.181,7.031,0.097403,3.106,5,3,8,2
"Delta, Colorado",8029,Confirmed (per 100k),70.599,7.335,0.104,3.715,5,3,8,2
"Boone, Illinois",17007,Confirmed (per 100k),61.632,6.136,0.099567,3.862,5,3,8,2
"Grayson, Kentucky",21085,Confirmed (per 100k),60.544,5.406,0.089286,3.106,5,3,8,2
"Washington, Illinois",17189,Confirmed (per 100k),50.407,5.144,0.102,3.663,5,3,8,2
"Bleckley, Georgia",13023,Confirmed (per 100k),46.609,5.549,0.119,3.524,5,3,8,1
"Jeff Davis, Georgia",13161,Confirmed (per 100k),46.312,4.726,0.102,2.828,4,4,8,0
"Noble, Ohio",39121,Confirmed (per 100k),41.597,4.952,0.119,2.688,4,4,8,2
"Grundy, Iowa",19075,Confirmed (per 100k),40.876,3.504,0.085714,2.409,4,4,8,2
"Marion, Texas",48315,Confirmed (per 100k),30.444,4.349,0.143,2.409,4,4,8,-1
"Union, Illinois",17181,Confirmed (per 100k),30.025,4.289,0.143,2.409,4,4,8,-1
"Ellis, Kansas",20051,Confirmed (per 100k),28.018,3.502,0.125,2.609,4,4,8,2
"Johnston, Oklahoma",40069,Confirmed (per 100k),27.064,3.866,0.143,2.642,4,4,8,1
"Holt, Missouri",29087,Confirmed (per 100k),22.712,3.245,0.143,2.409,4,4,8,-1
"Morrill, Nebraska",31123,Confirmed (per 100k),21.542,3.077,0.143,2.409,4,4,8,-1
"Knox, Illinois",17095,Confirmed (per 100k),20.121,2.012,0.100000,2.110,4,4,8,3
"Essex, Virginia",51057,Confirmed (per 100k),18.260,2.609,0.143,2.409,4,4,8,-1
"Garrard, Kentucky",21079,Confirmed (per 100k),16.982,2.426,0.143,2.642,4,4,8,-1
"Sherman, Kansas",20181,Confirmed (per 100k),16.900,2.414,0.143,2.409,4,4,8,-1
"Knox, Kentucky",21121,Confirmed (per 100k),16.054,1.835,0.114,2.932,4,4,8,-1
"Moody, South Dakota",46101,Confirmed (per 100k),15.207,2.172,0.143,2.409,4,4,8,-1
"Harrison, Ohio",39067,Confirmed (per 100k),13.298,1.900,0.143,2.060,4,4,8,-1
"La Salle, Texas",48283,Confirmed (per 100k),13.298,1.900,0.143,2.409,4,4,8,-1
"Sabine, Texas",48403,Confirmed (per 100k),9.486,1.355,0.143,2.409,4,4,8,-1
"Red River, Texas",48387,Confirmed (per 100k),8.317,1.188,0.143,2.409,4,4,8,-1
"Kodiak Island, Alaska",2150,Confirmed (per 100k),7.693,1.099,0.143,2.409,4,4,8,-1
"Aitkin, Minnesota",27001,Confirmed (per 100k),6.295,0.899,0.143,1.710,3,5,8,0
"Miller, Missouri",29131,Confirmed (per 100k),3.903,0.558,0.143,1.710,3,5,8,0
"Mille Lacs, Minnesota",27095,Confirmed (per 100k),3.806,0.544,0.143,1.710,3,5,8,0
"Louisa, Iowa",19115,Confirmed (per 100k),1948.346,176.063,0.090365,5.344,5,2,7,0
"Tama, Iowa",19171,Confirmed (per 100k),1168.862,85.609,0.073241,5.583,5,2,7,1
"Hall, Nebraska",31079,Confirmed (per 100k),865.483,69.388,0.080172,4.126,5,2,7,-1
"Minnehaha, South Dakota",46099,Confirmed (per 100k),727.474,61.763,0.084901,5.636,5,2,7,0
"Upson, Georgia",13293,Confirmed (per 100k),664.894,62.419,0.093878,5.463,5,2,7,0
"McKinley, New Mexico",35031,Confirmed (per 100k),582.902,43.838,0.075206,5.353,5,2,7,0
"Providence, Rhode Island",44007,Confirmed (per 100k),546.381,38.815,0.071040,5.637,5,2,7,0
"Morgan, Colorado",8087,Confirmed (per 100k),540.113,48.163,0.089172,5.092,5,2,7,0
"Scott, Mississippi",28123,Confirmed (per 100k),526.241,38.605,0.073359,5.437,5,2,7,0
"Muscatine, Iowa",19139,Confirmed (per 100k),510.969,37.168,0.072739,6.210,5,2,7,1
"Bienville, Louisiana",22013,Confirmed (per 100k),498.452,35.604,0.071429,6.999,5,2,7,0
"Harrisonburg, Virginia",51660,Confirmed (per 100k),475.328,41.766,0.087868,4.497,5,2,7,-1
"Leake, Mississippi",28079,Confirmed (per 100k),377.425,31.348,0.083056,4.524,5,2,7,0
"Leflore, Mississippi",28083,Confirmed (per 100k),372.565,23.317,0.062585,6.473,5,2,7,1
"Golden Valley, Montana",30037,Confirmed (per 100k),365.408,34.801,0.095238,4.149,5,2,7,-3
"Marion, Georgia",13197,Confirmed (per 100k),346.931,30.762,0.088670,4.998,5,2,7,0
"Hall, Georgia",13139,Confirmed (per 100k),343.375,23.898,0.069597,6.195,5,2,7,0
"Lincoln, Mississippi",28085,Confirmed (per 100k),313.296,23.424,0.074766,6.715,5,2,7,0
"Saline, Missouri",29195,Confirmed (per 100k),294.363,26.361,0.089552,4.943,5,2,7,0
"Calhoun, Mississippi",28013,Confirmed (per 100k),292.459,20.890,0.071429,6.678,5,2,7,0
"Otsego, Michigan",26137,Confirmed (per 100k),291.876,22.586,0.077381,5.298,5,2,7,1
"Adair, Kentucky",21001,Confirmed (per 100k),281.221,31.247,0.111,4.381,5,2,7,-1
"Apache, Arizona",4001,Confirmed (per 100k),280.997,19.872,0.070721,5.899,5,2,7,1
"Stewart, Georgia",13259,Confirmed (per 100k),256.759,19.419,0.075630,5.577,5,2,7,0
"Kit Carson, Colorado",8063,Confirmed (per 100k),253.628,20.129,0.079365,4.913,5,2,7,0
"Neshoba, Mississippi",28099,Confirmed (per 100k),250.704,16.681,0.066536,5.926,5,2,7,0
"Fluvanna, Virginia",51065,Confirmed (per 100k),249.358,23.574,0.094538,5.577,5,2,7,-1
