location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Bienville, Louisiana",Deaths (per 100k),60.42,6.47,0.11,1.83,5,5,10,4
"Upson, Georgia",Deaths (per 100k),19.00,2.71,0.14,1.57,4,5,9,0
"Adams, Mississippi",Deaths (per 100k),13.03,1.40,0.11,1.71,4,5,9,3
"Seminole, Georgia",Deaths (per 100k),12.36,1.77,0.14,1.71,4,5,9,0
"Johnson, Wyoming",Deaths (per 100k),11.84,1.69,0.14,1.71,4,5,9,0
"Jasper, Illinois",Deaths (per 100k),10.41,1.49,0.14,1.71,4,5,9,0
"Wayne, Ohio",Deaths (per 100k),9.51,1.23,0.13,1.71,4,5,9,2
"Jefferson Davis, Mississippi",Deaths (per 100k),8.99,1.28,0.14,1.71,4,5,9,0
"Pulaski, Georgia",Deaths (per 100k),8.98,1.28,0.14,1.71,4,5,9,0
"Linn, Missouri",Deaths (per 100k),8.39,1.20,0.14,1.71,4,5,9,0
"San Juan, New Mexico",Deaths (per 100k),8.07,1.15,0.14,1.07,4,5,9,1
"East Feliciana, Louisiana",Deaths (per 100k),36.58,4.48,0.12,2.06,4,4,8,1
"Pointe Coupee, Louisiana",Deaths (per 100k),23.01,2.63,0.11,2.58,4,4,8,-1
"Thomas, Georgia",Deaths (per 100k),22.50,2.25,0.10,2.41,4,4,8,2
"Washington, North Carolina",Deaths (per 100k),17.27,2.47,0.14,2.76,4,4,8,-1
"Henrico, Virginia",Deaths (per 100k),17.23,2.16,0.13,2.19,4,4,8,-1
"St. Mary, Louisiana",Deaths (per 100k),16.21,1.16,0.07,2.06,4,4,8,2
"Hale, Texas",Deaths (per 100k),14.97,2.14,0.14,2.55,4,4,8,-1
"Monroe, Illinois",Deaths (per 100k),14.44,1.24,0.09,2.41,4,4,8,2
"Panola, Texas",Deaths (per 100k),12.93,1.23,0.10,2.76,4,4,8,8
"Lancaster, Pennsylvania",Deaths (per 100k),12.64,1.44,0.11,2.59,4,4,8,3
"Suwannee, Florida",Deaths (per 100k),11.26,0.96,0.09,1.24,3,5,8,0
"Franklin, Louisiana",Deaths (per 100k),9.99,1.43,0.14,2.41,4,4,8,1
"Carbon, Pennsylvania",Deaths (per 100k),9.35,1.11,0.12,2.83,4,4,8,3
"Twin Falls, Idaho",Deaths (per 100k),9.21,0.99,0.11,1.71,3,5,8,4
"Jefferson, Arkansas",Deaths (per 100k),8.98,1.28,0.14,2.18,4,4,8,-1
"Burke, Georgia",Deaths (per 100k),8.94,1.28,0.14,2.41,4,4,8,-1
"Washington, Ohio",Deaths (per 100k),8.35,0.95,0.11,1.00,3,5,8,0
"Jefferson, Florida",Deaths (per 100k),7.02,1.00,0.14,2.41,4,4,8,-1
"Bates, Missouri",Deaths (per 100k),6.18,0.88,0.14,1.71,3,5,8,0
"Madison, Iowa",Deaths (per 100k),6.12,0.87,0.14,1.71,3,5,8,0
"Crawford, Iowa",Deaths (per 100k),5.95,0.85,0.14,1.71,3,5,8,0
"Wakulla, Florida",Deaths (per 100k),5.93,0.85,0.14,1.71,3,5,8,0
"Jackson, Wisconsin",Deaths (per 100k),4.84,0.69,0.14,1.71,3,5,8,0
"Macon, Illinois",Deaths (per 100k),4.81,0.55,0.11,1.53,3,5,8,4
"Fayette, Illinois",Deaths (per 100k),4.69,0.67,0.14,1.71,3,5,8,0
"Gaines, Texas",Deaths (per 100k),4.65,0.66,0.14,1.71,3,5,8,0
"Crisp, Georgia",Deaths (per 100k),4.47,0.64,0.14,1.71,3,5,8,0
"Starke, Indiana",Deaths (per 100k),4.35,0.62,0.14,1.71,3,5,8,0
"Somerset, Maryland",Deaths (per 100k),3.90,0.56,0.14,1.71,3,5,8,0
"Juneau, Wisconsin",Deaths (per 100k),3.75,0.54,0.14,1.71,3,5,8,0
"Dorchester, Maryland",Deaths (per 100k),3.13,0.45,0.14,1.71,3,5,8,0
"Logan, West Virginia",Deaths (per 100k),3.12,0.45,0.14,1.71,3,5,8,0
"Ashtabula, Ohio",Deaths (per 100k),3.09,0.44,0.14,1.71,3,5,8,0
"Shiawassee, Michigan",Deaths (per 100k),2.94,0.42,0.14,1.36,3,5,8,0
"Granville, North Carolina",Deaths (per 100k),1.65,0.24,0.14,1.71,3,5,8,0
"St. Joseph, Michigan",Deaths (per 100k),1.64,0.23,0.14,1.71,3,5,8,0
"Ward, North Dakota",Deaths (per 100k),1.48,0.21,0.14,1.71,3,5,8,0
"Essex, New Jersey",Deaths (per 100k),80.35,5.61,0.07,6.43,5,2,7,1
"Coffey, Kansas",Deaths (per 100k),73.36,3.49,0.05,3.45,4,3,7,7
"Clay, Georgia",Deaths (per 100k),70.57,5.04,0.07,5.19,5,2,7,7
"Westchester, New York",Deaths (per 100k),69.04,5.27,0.08,6.47,5,2,7,0
"Dooly, Georgia",Deaths (per 100k),29.87,2.13,0.07,3.45,4,3,7,1
"Hartford, Connecticut",Deaths (per 100k),27.25,2.64,0.10,3.33,4,3,7,1
"Nez Perce, Idaho",Deaths (per 100k),24.75,2.47,0.10,3.31,4,3,7,1
