location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Quitman, Georgia",13239,Deaths (per 100k),43.497,6.214,0.143,2.409,5,4,9,-1
"Turner, Georgia",13287,Deaths (per 100k),25.047,3.578,0.143,1.710,4,5,9,1
"Jackson, Kentucky",21109,Deaths (per 100k),22.507,2.144,0.095238,1.710,4,5,9,0
"Louisa, Iowa",19115,Deaths (per 100k),18.124,2.589,0.143,1.000,4,5,9,0
"Butler, Kentucky",21031,Deaths (per 100k),15.529,2.218,0.143,1.710,4,5,9,1
"Carroll, Mississippi",28015,Deaths (per 100k),10.053,1.436,0.143,1.710,4,5,9,0
"Navajo, Arizona",4017,Deaths (per 100k),9.917,1.288,0.130,0.781,4,5,9,9
"St. Helena, Louisiana",22091,Deaths (per 100k),9.870,1.410,0.143,1.710,4,5,9,0
"Bacon, Georgia",13005,Deaths (per 100k),8.957,1.280,0.143,1.710,4,5,9,0
"Granville, North Carolina",37077,Deaths (per 100k),8.272,1.182,0.143,1.428,4,5,9,2
"Coffey, Kansas",20031,Deaths (per 100k),73.359,8.733,0.119,3.245,5,3,8,-2
"Bienville, Louisiana",22013,Deaths (per 100k),67.971,8.631,0.127,3.280,5,3,8,-1
"Brooks, Georgia",13027,Deaths (per 100k),32.348,3.697,0.114,2.060,4,4,8,3
"Seminole, Georgia",13253,Deaths (per 100k),24.722,3.532,0.143,2.409,4,4,8,-1
"St. Mary, Louisiana",22101,Deaths (per 100k),22.291,2.605,0.117,2.564,4,4,8,-1
"Monroe, Illinois",17133,Deaths (per 100k),20.210,2.475,0.122,2.758,4,4,8,0
"Adams, Mississippi",28001,Deaths (per 100k),19.548,2.327,0.119,2.549,4,4,8,0
"Waldo, Maine",23027,Deaths (per 100k),17.626,1.799,0.102,2.828,4,4,8,4
"Crosby, Texas",48107,Deaths (per 100k),17.431,2.490,0.143,2.409,4,4,8,-1
"Adair, Kentucky",21001,Deaths (per 100k),15.623,2.232,0.143,2.177,4,4,8,-1
"Oconee, Georgia",13219,Deaths (per 100k),14.896,1.773,0.119,2.688,4,4,8,-1
"Suwannee, Florida",12121,Deaths (per 100k),13.508,1.930,0.143,2.293,4,4,8,-1
"San Juan, New Mexico",35045,Deaths (per 100k),12.101,1.613,0.133,2.509,4,4,8,-1
"Delaware, Oklahoma",40041,Deaths (per 100k),11.625,0.664,0.057143,1.710,3,5,8,0
"Franklin, North Carolina",37069,Deaths (per 100k),11.480,1.230,0.107,2.526,4,4,8,1
"Allen, Ohio",39003,Deaths (per 100k),10.747,1.396,0.130,2.409,4,4,8,1
"Washington, Ohio",39167,Deaths (per 100k),10.015,1.431,0.143,2.409,4,4,8,-1
"Crisp, Georgia",13081,Deaths (per 100k),8.940,1.277,0.143,2.060,4,4,8,2
"Blackford, Indiana",18009,Deaths (per 100k),8.505,1.215,0.143,2.409,4,4,8,-1
"Rowan, North Carolina",37159,Deaths (per 100k),8.445,1.005,0.119,2.897,4,4,8,1
"Routt, Colorado",8107,Deaths (per 100k),7.801,0.557,0.071429,1.710,3,5,8,0
"Cibola, New Mexico",35006,Deaths (per 100k),7.498,1.071,0.143,2.758,4,4,8,2
"Screven, Georgia",13251,Deaths (per 100k),7.160,1.023,0.143,2.409,4,4,8,-1
"Bradford, Florida",12007,Deaths (per 100k),7.092,1.013,0.143,2.758,4,4,8,2
"Pickaway, Ohio",39129,Deaths (per 100k),6.843,0.978,0.143,1.710,3,5,8,0
"Richland, Wisconsin",55103,Deaths (per 100k),5.796,0.828,0.143,1.710,3,5,8,0
"Walworth, Wisconsin",55127,Deaths (per 100k),5.777,0.550,0.095238,1.885,3,5,8,0
"Young, Texas",48503,Deaths (per 100k),5.552,0.793,0.143,1.710,3,5,8,0
"Graves, Kentucky",21083,Deaths (per 100k),5.367,0.767,0.143,1.357,3,5,8,0
"Smith, Tennessee",47159,Deaths (per 100k),4.961,0.709,0.143,1.710,3,5,8,0
"Indiana, Pennsylvania",42063,Deaths (per 100k),4.758,0.680,0.143,1.357,3,5,8,0
"Lincoln, Kentucky",21137,Deaths (per 100k),4.073,0.582,0.143,1.710,3,5,8,0
"Queen Anne's, Maryland",24035,Deaths (per 100k),3.970,0.567,0.143,1.357,3,5,8,0
"Warren, Ohio",39165,Deaths (per 100k),3.836,0.487,0.127,1.797,3,5,8,0
"Wyoming, Pennsylvania",42131,Deaths (per 100k),3.732,0.533,0.143,1.710,3,5,8,0
"Copiah, Mississippi",28029,Deaths (per 100k),3.563,0.509,0.143,1.710,3,5,8,0
"Grimes, Texas",48185,Deaths (per 100k),3.463,0.495,0.143,1.710,3,5,8,0
"Clay, Minnesota",27027,Deaths (per 100k),3.114,0.445,0.143,1.710,3,5,8,0
"Hall, Georgia",13139,Deaths (per 100k),2.935,0.419,0.143,1.710,3,5,8,0
"Wise, Texas",48497,Deaths (per 100k),2.858,0.408,0.143,1.357,3,5,8,0
"DeKalb, Alabama",1049,Deaths (per 100k),2.797,0.400,0.143,1.357,3,5,8,0
"Hill, Texas",48217,Deaths (per 100k),2.729,0.390,0.143,1.710,3,5,8,0
"Campbell, Tennessee",47013,Deaths (per 100k),2.510,0.359,0.143,1.710,3,5,8,0
"Orleans, New York",36073,Deaths (per 100k),2.478,0.354,0.143,1.710,3,5,8,0
"Fayette, Tennessee",47047,Deaths (per 100k),2.431,0.347,0.143,1.710,3,5,8,0
"Harford, Maryland",24025,Deaths (per 100k),2.349,0.224,0.095238,1.534,3,5,8,4
"Cleveland, North Carolina",37045,Deaths (per 100k),2.042,0.292,0.143,1.357,3,5,8,1
"Jefferson, Tennessee",47089,Deaths (per 100k),1.835,0.262,0.143,1.710,3,5,8,0
"Chesapeake, Virginia",51550,Deaths (per 100k),1.634,0.233,0.143,1.534,3,5,8,0
"Marion, Ohio",39101,Deaths (per 100k),1.536,0.219,0.143,1.710,3,5,8,0
"Randolph, Georgia",13243,Deaths (per 100k),191.797,14.754,0.076923,5.092,5,2,7,1
"Hudson, New Jersey",34017,Deaths (per 100k),91.018,5.333,0.058590,5.915,5,2,7,1
"Tama, Iowa",19171,Deaths (per 100k),35.600,3.390,0.095238,3.802,4,3,7,1
"Thomas, Georgia",13275,Deaths (per 100k),31.495,3.535,0.112,3.296,4,3,7,-1
"Upson, Georgia",13293,Deaths (per 100k),30.395,3.799,0.125,3.007,4,3,7,-2
"Newton, Indiana",18111,Deaths (per 100k),28.604,3.065,0.107,3.338,4,3,7,-1
"Lyon, Kentucky",21143,Deaths (per 100k),24.361,3.480,0.143,3.106,4,3,7,-2
"Lapeer, Michigan",26087,Deaths (per 100k),20.546,1.957,0.095238,3.976,4,3,7,1
"Otsego, Michigan",26137,Deaths (per 100k),20.269,1.737,0.085714,3.802,4,3,7,7
"Henrico, Virginia",51087,Deaths (per 100k),18.741,2.591,0.138,3.790,4,3,7,-1
"Kit Carson, Colorado",8063,Deaths (per 100k),14.090,2.013,0.143,3.106,4,3,7,-2
"Major, Oklahoma",40093,Deaths (per 100k),13.108,1.873,0.143,3.106,4,3,7,-2
"Boone, Indiana",18011,Deaths (per 100k),11.792,1.263,0.107,3.222,4,3,7,2
"Lee, Arkansas",5077,Deaths (per 100k),11.291,1.613,0.143,3.106,4,3,7,-2
"Twin Falls, Idaho",16083,Deaths (per 100k),10.359,1.315,0.127,3.106,4,3,7,-1
"Lanier, Georgia",13173,Deaths (per 100k),9.594,1.371,0.143,3.106,4,3,7,-2
"Coosa, Alabama",1037,Deaths (per 100k),9.378,1.340,0.143,3.106,4,3,7,-2
"Grundy, Tennessee",47061,Deaths (per 100k),7.448,1.064,0.143,3.106,4,3,7,-2
"Caddo, Oklahoma",40015,Deaths (per 100k),6.954,0.993,0.143,2.060,3,4,7,-1
"Arlington, Virginia",51013,Deaths (per 100k),6.756,0.844,0.125,2.409,3,4,7,-1
"Macon, Illinois",17115,Deaths (per 100k),6.730,0.824,0.122,2.526,3,4,7,0
"Harrison, Texas",48203,Deaths (per 100k),6.010,0.644,0.107,2.874,3,4,7,3
"Clayton, Iowa",19043,Deaths (per 100k),5.698,0.814,0.143,2.409,3,4,7,-1
"Livingston, Louisiana",22063,Deaths (per 100k),5.682,0.710,0.125,2.907,3,4,7,1
"Addison, Vermont",50001,Deaths (per 100k),5.438,0.777,0.143,2.409,3,4,7,1
"Dallas, Alabama",1047,Deaths (per 100k),5.377,0.768,0.143,2.409,3,4,7,-1
