location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New Jersey,Deaths (per 100k),35.53,2.53,0.07,6.22,4,2,6,0
Connecticut,Deaths (per 100k),24.35,1.58,0.06,5.76,4,2,6,0
Michigan,Deaths (per 100k),19.24,1.32,0.07,6.81,4,2,6,0
Massachusetts,Deaths (per 100k),16.08,1.01,0.06,6.27,4,2,6,0
New York,Deaths (per 100k),59.72,3.93,0.07,7.43,4,1,5,-1
Louisiana,Deaths (per 100k),23.73,1.32,0.06,8.74,4,1,5,0
District of Columbia,Deaths (per 100k),10.20,0.87,0.09,4.69,3,2,5,0
Rhode Island,Deaths (per 100k),7.55,0.67,0.09,4.95,3,2,5,0
Illinois,Deaths (per 100k),7.49,0.63,0.08,5.32,3,2,5,0
Indiana,Deaths (per 100k),6.48,0.45,0.07,6.64,3,2,5,0
Pennsylvania,Deaths (per 100k),6.08,0.50,0.08,4.99,3,2,5,0
Maryland,Deaths (per 100k),5.14,0.47,0.09,4.66,3,2,5,0
Delaware,Deaths (per 100k),4.72,0.40,0.08,5.45,3,2,5,0
Colorado,Deaths (per 100k),5.70,0.37,0.06,8.00,3,1,4,-1
Georgia,Deaths (per 100k),5.20,0.26,0.05,10.29,3,1,4,0
Nevada,Deaths (per 100k),4.25,0.25,0.06,8.60,3,1,4,-1
Mississippi,Deaths (per 100k),4.10,0.24,0.06,8.12,3,1,4,-1
Florida,Deaths (per 100k),2.77,0.19,0.07,6.92,2,2,4,0
Missouri,Deaths (per 100k),2.49,0.20,0.08,6.12,2,2,4,0
Kansas,Deaths (per 100k),2.44,0.20,0.08,5.88,2,2,4,0
New Hampshire,Deaths (per 100k),2.35,0.17,0.07,6.06,2,2,4,0
Virginia,Deaths (per 100k),2.28,0.15,0.06,6.50,2,2,4,0
Idaho,Deaths (per 100k),2.18,0.16,0.07,5.50,2,2,4,0
New Mexico,Deaths (per 100k),1.72,0.12,0.07,5.35,2,2,4,0
Iowa,Deaths (per 100k),1.68,0.11,0.06,6.93,2,2,4,1
Minnesota,Deaths (per 100k),1.54,0.11,0.07,6.26,2,2,4,0
Texas,Deaths (per 100k),1.29,0.09,0.07,6.63,2,2,4,1
North Carolina,Deaths (per 100k),1.24,0.08,0.06,6.80,2,2,4,1
Washington,Deaths (per 100k),7.25,0.24,0.03,17.83,3,0,3,-1
Wisconsin,Deaths (per 100k),3.14,0.19,0.06,8.04,2,1,3,0
Oklahoma,Deaths (per 100k),3.11,0.15,0.05,10.54,2,1,3,0
Ohio,Deaths (per 100k),3.10,0.19,0.06,7.31,2,1,3,0
Kentucky,Deaths (per 100k),2.57,0.15,0.06,8.91,2,1,3,-2
Alabama,Deaths (per 100k),2.41,0.15,0.06,8.16,2,1,3,0
California,Deaths (per 100k),2.18,0.12,0.06,8.62,2,1,3,0
South Carolina,Deaths (per 100k),2.06,0.13,0.06,7.65,2,1,3,0
Arizona,Deaths (per 100k),1.95,0.11,0.06,8.52,2,1,3,0
Tennessee,Deaths (per 100k),1.82,0.11,0.06,9.21,2,1,3,0
Maine,Deaths (per 100k),1.79,0.09,0.05,10.39,2,1,3,0
Puerto Rico,Deaths (per 100k),1.60,0.10,0.06,8.22,2,1,3,-1
Oregon,Deaths (per 100k),1.38,0.09,0.06,8.42,2,1,3,0
Alaska,Deaths (per 100k),1.23,0.06,0.05,12.13,2,1,3,2
North Dakota,Deaths (per 100k),1.18,0.07,0.06,7.45,2,1,3,-1
Arkansas,Deaths (per 100k),1.09,0.07,0.06,8.21,2,1,3,0
Nebraska,Deaths (per 100k),1.03,0.07,0.07,7.41,2,1,3,-1
West Virginia,Deaths (per 100k),0.56,0.04,0.07,5.47,1,2,3,1
Vermont,Deaths (per 100k),4.65,0.14,0.03,20.33,2,0,2,0
Guam,Deaths (per 100k),2.96,0.08,0.03,21.83,2,0,2,0
Hawaii,Deaths (per 100k),0.64,0.04,0.06,8.66,1,1,2,-2
Montana,Deaths (per 100k),0.65,0.01,0.02,30.15,1,0,1,1
Utah,Deaths (per 100k),0.62,0.02,0.04,15.59,1,0,1,-2
