location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Maryland,,Deaths (per 100k),14.473,1.073,0.074122,6.998,4,2,6,0
New Jersey,,Deaths (per 100k),66.583,2.966,0.044543,13.101,4,1,5,0
Connecticut,,Deaths (per 100k),52.310,3.121,0.059671,9.166,4,1,5,0
Massachusetts,,Deaths (per 100k),39.608,2.748,0.069388,7.594,4,1,5,-1
District of Columbia,,Deaths (per 100k),23.379,1.498,0.064069,8.051,4,1,5,0
Rhode Island,,Deaths (per 100k),20.295,1.052,0.051827,10.873,4,1,5,0
Minnesota,,Deaths (per 100k),4.327,0.312,0.072014,6.866,3,2,5,0
New York,,Deaths (per 100k),113.136,3.582,0.031662,19.272,4,0,4,-2
Louisiana,,Deaths (per 100k),36.719,1.352,0.036823,16.142,4,0,4,0
Michigan,,Deaths (per 100k),31.592,1.212,0.038352,15.579,4,0,4,-1
Illinois,,Deaths (per 100k),14.797,0.694,0.046933,12.061,3,1,4,0
Pennsylvania,,Deaths (per 100k),14.006,0.838,0.059836,9.964,3,1,4,0
Colorado,,Deaths (per 100k),11.878,0.732,0.061612,8.434,3,1,4,0
Indiana,,Deaths (per 100k),11.675,0.511,0.043802,13.091,3,1,4,0
Delaware,,Deaths (per 100k),11.502,0.660,0.057398,9.107,3,1,4,0
Mississippi,,Deaths (per 100k),7.426,0.331,0.044602,13.061,3,1,4,0
Ohio,,Deaths (per 100k),6.083,0.318,0.052240,10.857,3,1,4,0
Virginia,,Deaths (per 100k),5.120,0.300,0.058516,9.218,3,1,4,0
Oklahoma,,Deaths (per 100k),4.903,0.209,0.042710,13.729,3,1,4,2
New Mexico,,Deaths (per 100k),4.435,0.273,0.061444,8.261,3,1,4,-1
Wyoming,,Deaths (per 100k),1.209,0.123,0.102,4.219,2,2,4,-2
Washington,,Deaths (per 100k),9.678,0.233,0.024036,26.478,3,0,3,0
Georgia,,Deaths (per 100k),8.543,0.315,0.036856,16.817,3,0,3,-1
Nevada,,Deaths (per 100k),6.656,0.250,0.037631,15.683,3,0,3,-1
Florida,,Deaths (per 100k),4.912,0.204,0.041571,14.200,3,0,3,-1
Kentucky,,Deaths (per 100k),4.589,0.195,0.042509,13.877,2,1,3,-1
Missouri,,Deaths (per 100k),4.578,0.196,0.042705,13.398,2,1,3,-1
California,,Deaths (per 100k),4.275,0.198,0.046435,12.210,2,1,3,-1
Arizona,,Deaths (per 100k),3.751,0.183,0.048666,11.590,2,1,3,0
Iowa,,Deaths (per 100k),3.550,0.172,0.048469,11.360,2,1,3,0
Maine,,Deaths (per 100k),3.496,0.159,0.045593,12.681,2,1,3,0
North Carolina,,Deaths (per 100k),2.908,0.161,0.055269,10.270,2,1,3,0
Nebraska,,Deaths (per 100k),2.585,0.192,0.074286,7.086,2,1,3,-1
North Dakota,,Deaths (per 100k),2.100,0.131,0.062500,8.660,2,1,3,0
West Virginia,,Deaths (per 100k),1.786,0.128,0.071429,7.879,2,1,3,-1
Utah,,Deaths (per 100k),1.279,0.071296,0.055749,9.787,2,1,3,0
Vermont,,Deaths (per 100k),7.372,0.183,0.024845,24.692,2,0,2,-1
Wisconsin,,Deaths (per 100k),4.569,0.132,0.029001,21.845,2,0,2,0
Alabama,,Deaths (per 100k),4.263,0.163,0.038278,15.977,2,0,2,-2
Kansas,,Deaths (per 100k),4.119,0.172,0.041667,14.841,2,0,2,-1
New Hampshire,,Deaths (per 100k),3.898,0.158,0.040431,14.761,2,0,2,-1
South Carolina,,Deaths (per 100k),3.224,0.130,0.040448,14.103,2,0,2,0
Idaho,,Deaths (per 100k),3.134,0.104,0.033163,18.420,2,0,2,0
Puerto Rico,,Deaths (per 100k),2.599,0.103,0.039587,14.177,2,0,2,0
Tennessee,,Deaths (per 100k),2.592,0.073215,0.028249,22.090,2,0,2,0
Texas,,Deaths (per 100k),2.200,0.079814,0.036274,16.560,2,0,2,-1
Oregon,,Deaths (per 100k),2.063,0.050806,0.024631,25.576,2,0,2,0
Montana,,Deaths (per 100k),1.310,0.053466,0.040816,14.900,2,0,2,-1
South Dakota,,Deaths (per 100k),1.130,0.048445,0.042857,13.513,1,1,2,1
Hawaii,,Deaths (per 100k),0.918,0.040359,0.043956,13.513,1,1,2,1
Arkansas,,Deaths (per 100k),1.591,0.047338,0.029762,20.723,1,0,1,0
